node_id,class_name,parent_id,Generator
21144,100,-1,0
21145,74,21144,0
21146,75,21145,0
21147,74,21144,0
21148,75,21147,0
21149,95,21144,0
21150,12,21149,0
21151,13,21150,0
21152,65,21149,0
21153,12,21152,0
21154,14,21153,0
21155,0,21152,0
21156,87,21149,0
21157,89,21156,0
21158,90,21157,0
21159,90,21157,0
21160,12,21159,0
21161,13,21160,0
21162,12,21157,0
21163,13,21162,0
21164,17,21156,0
21165,0,21164,0
21166,17,21156,0
21167,52,21166,0
21168,55,21167,0
21169,12,21168,0
21170,13,21169,0
21171,13,21168,0
21172,12,21167,0
21173,13,21172,0
21174,76,21156,0
21175,19,21174,0
21176,22,21175,0
21177,52,21175,0
21178,12,21177,0
21179,13,21178,0
21180,12,21177,0
21181,13,21180,0
21182,12,21177,0
21183,13,21182,0
21184,69,21174,0
21185,52,21184,0
21186,12,21185,0
21187,13,21186,0
21188,0,21185,0
21189,65,21156,0
21190,55,21189,0
21191,12,21190,0
21192,13,21191,0
21193,14,21190,0
21194,12,21189,0
21195,13,21194,0
21196,87,21149,0
21197,89,21196,0
21198,90,21197,0
21199,90,21197,0
21200,12,21199,0
21201,13,21200,0
21202,17,21196,0
21203,0,21202,0
21204,65,21196,0
21205,12,21204,0
21206,14,21205,0
21207,0,21204,0
21208,77,21196,0
21209,12,21208,0
21210,14,21209,0
21211,12,21208,0
21212,13,21211,0
21213,76,21208,0
21214,41,21213,0
21215,12,21214,0
21216,13,21215,0
21217,42,21214,0
21218,0,21214,0
21219,67,21213,0
21220,12,21219,0
21221,14,21220,0
21222,25,21219,0
21223,0,21219,0
21224,80,21213,0
21225,76,21208,0
21226,41,21225,0
21227,12,21226,0
21228,13,21227,0
21229,42,21226,0
21230,0,21226,0
21231,67,21225,0
21232,12,21231,0
21233,14,21232,0
21234,25,21231,0
21235,24,21231,0
21236,55,21235,0
21237,12,21236,0
21238,13,21237,0
21239,13,21236,0
21240,26,21235,0
21241,24,21235,0
21242,12,21241,0
21243,13,21242,0
21244,30,21241,0
21245,55,21241,0
21246,12,21245,0
21247,13,21246,0
21248,13,21245,0
21249,80,21225,0
21250,79,21208,0
21251,91,21196,0
21252,12,21251,0
21253,13,21252,0
21254,12,21196,0
21255,13,21254,0
21256,87,21149,0
21257,89,21256,0
21258,90,21257,0
21259,90,21257,0
21260,12,21259,0
21261,13,21260,0
21262,17,21256,0
21263,0,21262,0
21264,77,21256,0
21265,7,21264,0
21266,12,21265,0
21267,14,21266,0
21268,12,21265,0
21269,14,21268,0
21270,14,21265,0
21271,52,21264,0
21272,12,21271,0
21273,13,21272,0
21274,52,21271,0
21275,55,21274,0
21276,12,21275,0
21277,13,21276,0
21278,13,21275,0
21279,12,21274,0
21280,13,21279,0
21281,53,21271,0
21282,0,21281,0
21283,65,21264,0
21284,12,21283,0
21285,14,21284,0
21286,24,21283,0
21287,24,21286,0
21288,56,21287,0
21289,12,21288,0
21290,13,21289,0
21291,58,21288,0
21292,12,21291,0
21293,13,21292,0
21294,13,21288,0
21295,25,21287,0
21296,24,21287,0
21297,12,21296,0
21298,13,21297,0
21299,27,21296,0
21300,0,21296,0
21301,25,21286,0
21302,56,21286,0
21303,12,21302,0
21304,13,21303,0
21305,58,21302,0
21306,24,21305,0
21307,12,21306,0
21308,13,21307,0
21309,25,21306,0
21310,0,21306,0
21311,13,21302,0
21312,91,21256,0
21313,12,21312,0
21314,13,21313,0
21315,12,21256,0
21316,13,21315,0
21317,87,21149,1
21318,89,21317,1
21319,90,21318,1
21320,90,21318,1
21321,12,21320,1
21322,13,21321,1
21323,17,21317,1
21324,0,21323,1
21325,65,21317,1
21326,12,21325,1
21327,14,21326,1
21328,0,21325,1
21329,77,21317,1
21330,7,21329,1
21331,12,21330,1
21332,14,21331,1
21333,12,21330,1
21334,14,21333,1
21335,14,21330,1
21336,52,21329,1
21337,12,21336,1
21338,13,21337,1
21339,12,21336,1
21340,13,21339,1
21341,76,21329,1
21342,41,21341,1
21343,12,21342,1
21344,13,21343,1
21345,42,21342,1
21346,0,21342,1
21347,65,21341,1
21348,12,21347,1
21349,14,21348,1
21350,24,21347,1
21351,55,21350,1
21352,12,21351,1
21353,13,21352,1
21354,13,21351,1
21355,26,21350,1
21356,24,21350,1
21357,12,21356,1
21358,13,21357,1
21359,30,21356,1
21360,55,21356,1
21361,12,21360,1
21362,13,21361,1
21363,13,21360,1
21364,17,21341,1
21365,92,21364,1
21366,7,21365,1
21367,12,21366,1
21368,13,21367,1
21369,12,21366,1
21370,13,21369,1
21371,13,21366,1
21372,67,21341,1
21373,12,21372,1
21374,14,21373,1
21375,25,21372,1
21376,12,21372,1
21377,13,21376,1
21378,80,21341,1
21379,67,21329,1
21380,12,21379,1
21381,14,21380,1
21382,25,21379,1
21383,0,21379,1
21384,12,21317,1
21385,13,21384,1
21386,87,21149,0
21387,89,21386,0
21388,90,21387,0
21389,90,21387,0
21390,12,21389,0
21391,13,21390,0
21392,17,21386,0
21393,0,21392,0
21394,65,21386,0
21395,12,21394,0
21396,14,21395,0
21397,0,21394,0
21398,65,21386,0
21399,12,21398,0
21400,14,21399,0
21401,0,21398,0
21402,65,21386,0
21403,12,21402,0
21404,14,21403,0
21405,0,21402,0
21406,77,21386,0
21407,12,21406,0
21408,14,21407,0
21409,12,21406,0
21410,13,21409,0
21411,76,21406,0
21412,41,21411,0
21413,12,21412,0
21414,13,21413,0
21415,42,21412,0
21416,0,21412,0
21417,67,21411,0
21418,12,21417,0
21419,14,21418,0
21420,25,21417,0
21421,0,21417,0
21422,67,21411,0
21423,12,21422,0
21424,14,21423,0
21425,25,21422,0
21426,0,21422,0
21427,76,21411,0
21428,41,21427,0
21429,12,21428,0
21430,13,21429,0
21431,42,21428,0
21432,0,21428,0
21433,65,21427,0
21434,12,21433,0
21435,14,21434,0
21436,24,21433,0
21437,55,21436,0
21438,12,21437,0
21439,13,21438,0
21440,13,21437,0
21441,26,21436,0
21442,24,21436,0
21443,12,21442,0
21444,13,21443,0
21445,30,21442,0
21446,55,21442,0
21447,12,21446,0
21448,13,21447,0
21449,13,21446,0
21450,67,21427,0
21451,12,21450,0
21452,14,21451,0
21453,25,21450,0
21454,12,21450,0
21455,13,21454,0
21456,67,21427,0
21457,12,21456,0
21458,14,21457,0
21459,25,21456,0
21460,12,21456,0
21461,13,21460,0
21462,67,21427,0
21463,12,21462,0
21464,14,21463,0
21465,25,21462,0
21466,24,21462,0
21467,24,21466,0
21468,12,21467,0
21469,13,21468,0
21470,27,21467,0
21471,0,21467,0
21472,25,21466,0
21473,12,21466,0
21474,13,21473,0
21475,65,21427,0
21476,12,21475,0
21477,14,21476,0
21478,0,21475,0
21479,67,21427,0
21480,12,21479,0
21481,14,21480,0
21482,25,21479,0
21483,0,21479,0
21484,76,21406,0
21485,38,21484,0
21486,39,21485,0
21487,41,21485,0
21488,24,21487,0
21489,12,21488,0
21490,13,21489,0
21491,30,21488,0
21492,55,21488,0
21493,12,21492,0
21494,13,21493,0
