node_id,class_name,parent_id,Generator
26959,100,-1,0
26960,95,26959,0
26961,12,26960,0
26962,13,26961,0
26963,17,26960,0
26964,0,26963,0
26965,87,26960,0
26966,89,26965,0
26967,90,26966,0
26968,90,26966,0
26969,0,26966,0
26970,17,26965,0
26971,0,26970,0
26972,76,26965,0
26973,12,26972,0
26974,13,26973,0
26975,65,26972,0
26976,12,26975,0
26977,14,26976,0
26978,52,26975,0
26979,55,26978,0
26980,0,26979,0
26981,13,26979,0
26982,53,26978,0
26983,52,26982,0
26984,55,26983,0
26985,0,26984,0
26986,13,26984,0
26987,12,26983,0
26988,13,26987,0
26989,65,26972,0
26990,12,26989,0
26991,14,26990,0
26992,0,26989,0
26993,17,26965,0
26994,52,26993,0
26995,55,26994,0
26996,52,26995,0
26997,12,26996,0
26998,13,26997,0
26999,13,26995,0
27000,12,26994,0
27001,13,27000,0
