node_id,class_name,parent_id,Generator
28732,100,-1,0
28733,74,28732,0
28734,75,28733,0
28735,74,28732,0
28736,75,28735,0
28737,95,28732,0
28738,12,28737,0
28739,13,28738,0
28740,17,28737,0
28741,0,28740,0
28742,87,28737,0
28743,89,28742,0
28744,90,28743,0
28745,90,28743,0
28746,90,28743,0
28747,17,28742,0
28748,0,28747,0
28749,17,28742,0
28750,52,28749,0
28751,55,28750,0
28752,12,28751,0
28753,13,28752,0
28754,13,28751,0
28755,12,28750,0
28756,13,28755,0
28757,12,28750,0
28758,13,28757,0
28759,12,28750,0
28760,13,28759,0
28761,65,28742,0
28762,55,28761,0
28763,12,28762,0
28764,13,28763,0
28765,14,28762,0
28766,52,28761,0
28767,55,28766,0
28768,52,28767,0
28769,55,28768,0
28770,12,28769,0
28771,13,28770,0
28772,13,28769,0
28773,13,28767,0
28774,12,28766,0
28775,13,28774,0
28776,87,28737,0
28777,89,28776,0
28778,90,28777,0
28779,17,28776,0
28780,0,28779,0
28781,91,28776,0
28782,52,28781,0
28783,55,28782,0
28784,12,28783,0
28785,13,28784,0
28786,13,28783,0
28787,55,28782,0
28788,12,28787,0
28789,13,28788,0
28790,13,28787,0
28791,53,28782,0
28792,8,28791,0
28793,0,28792,0
28794,0,28792,0
28795,0,28792,0
28796,12,28776,0
28797,13,28796,0
28798,87,28737,0
28799,89,28798,0
28800,90,28799,0
28801,91,28798,0
28802,62,28801,0
28803,7,28802,0
28804,7,28803,0
28805,12,28804,0
28806,13,28805,0
28807,12,28804,0
28808,13,28807,0
28809,13,28804,0
28810,55,28803,0
28811,12,28810,0
28812,13,28811,0
28813,13,28810,0
28814,13,28803,0
28815,64,28802,0
28816,7,28815,0
28817,12,28816,0
28818,14,28817,0
28819,12,28816,0
28820,14,28819,0
28821,14,28816,0
28822,52,28815,0
28823,55,28822,0
28824,55,28823,0
28825,12,28824,0
28826,13,28825,0
28827,13,28824,0
28828,13,28823,0
