node_id,class_name,parent_id,Generator
29225,100,-1,0
29226,74,29225,0
29227,75,29226,0
29228,74,29225,0
29229,75,29228,0
29230,95,29225,0
29231,12,29230,0
29232,13,29231,0
29233,17,29230,0
29234,0,29233,0
29235,87,29230,0
29236,89,29235,0
29237,90,29236,0
29238,90,29236,0
29239,90,29236,0
29240,17,29235,0
29241,0,29240,0
29242,17,29235,0
29243,52,29242,0
29244,55,29243,0
29245,12,29244,0
29246,13,29245,0
29247,13,29244,0
29248,12,29243,0
29249,13,29248,0
29250,12,29243,0
29251,13,29250,0
29252,12,29243,0
29253,13,29252,0
29254,65,29235,0
29255,55,29254,0
29256,12,29255,0
29257,13,29256,0
29258,14,29255,0
29259,52,29254,0
29260,55,29259,0
29261,52,29260,0
29262,55,29261,0
29263,12,29262,0
29264,13,29263,0
29265,13,29262,0
29266,13,29260,0
29267,12,29259,0
29268,13,29267,0
29269,87,29230,0
29270,89,29269,0
29271,90,29270,0
29272,17,29269,0
29273,0,29272,0
29274,91,29269,0
29275,52,29274,0
29276,55,29275,0
29277,12,29276,0
29278,13,29277,0
29279,13,29276,0
29280,55,29275,0
29281,12,29280,0
29282,13,29281,0
29283,13,29280,0
29284,53,29275,0
29285,8,29284,0
29286,0,29285,0
29287,0,29285,0
29288,12,29269,0
29289,13,29288,0
29290,87,29230,0
29291,89,29290,0
29292,90,29291,0
29293,91,29290,0
29294,7,29293,0
29295,7,29294,0
29296,7,29295,0
29297,55,29296,0
29298,12,29297,0
29299,13,29298,0
29300,13,29297,0
29301,13,29296,0
29302,55,29295,0
29303,12,29302,0
29304,13,29303,0
29305,13,29302,0
29306,13,29295,0
29307,13,29294,0
