node_id,class_name,parent_id,Generator
29452,100,-1,0
29453,73,29452,0
29454,75,29453,0
29455,74,29452,0
29456,75,29455,0
29457,74,29452,0
29458,75,29457,0
29459,95,29452,0
29460,17,29459,0
29461,0,29460,0
29462,87,29459,0
29463,89,29462,0
29464,90,29463,0
29465,90,29463,0
29466,90,29463,0
29467,0,29463,0
29468,17,29462,0
29469,0,29468,0
29470,65,29462,0
29471,55,29470,0
29472,12,29471,0
29473,13,29472,0
29474,14,29471,0
29475,52,29470,0
29476,55,29475,0
29477,55,29476,0
29478,12,29477,0
29479,13,29478,0
29480,13,29477,0
29481,13,29476,0
29482,12,29475,0
29483,13,29482,0
29484,65,29462,0
29485,55,29484,0
29486,12,29485,0
29487,13,29486,0
29488,14,29485,0
29489,52,29484,0
29490,55,29489,0
29491,55,29490,0
29492,12,29491,0
29493,13,29492,0
29494,13,29491,0
29495,13,29490,0
29496,55,29489,0
29497,12,29496,0
29498,13,29497,0
29499,13,29496,0
29500,65,29462,0
29501,55,29500,0
29502,12,29501,0
29503,13,29502,0
29504,14,29501,0
29505,12,29500,0
29506,13,29505,0
29507,87,29459,0
29508,89,29507,0
29509,90,29508,0
29510,90,29508,0
29511,17,29507,0
29512,0,29511,0
29513,91,29507,0
29514,56,29513,0
29515,55,29514,0
29516,12,29515,0
29517,13,29516,0
29518,13,29515,0
29519,57,29514,0
29520,12,29519,0
29521,13,29520,0
29522,13,29514,0
29523,87,29459,0
29524,89,29523,0
29525,90,29524,0
29526,17,29523,0
29527,0,29526,0
29528,65,29523,0
29529,12,29528,0
29530,14,29529,0
29531,52,29528,0
29532,55,29531,0
29533,55,29532,0
29534,12,29533,0
29535,13,29534,0
29536,13,29533,0
29537,13,29532,0
29538,76,29523,0
29539,55,29538,0
29540,12,29539,0
29541,13,29540,0
29542,13,29539,0
29543,91,29538,0
29544,52,29543,0
29545,12,29544,0
29546,13,29545,0
29547,62,29544,0
29548,24,29547,0
29549,12,29548,0
29550,13,29549,0
29551,25,29548,0
29552,0,29548,0
29553,64,29547,0
29554,12,29553,0
29555,14,29554,0
29556,12,29553,0
29557,13,29556,0
29558,91,29538,0
29559,52,29558,0
29560,12,29559,0
29561,13,29560,0
29562,12,29559,0
29563,13,29562,0
29564,12,29523,0
29565,13,29564,0
29566,87,29459,0
29567,89,29566,0
29568,90,29567,0
29569,17,29566,0
29570,0,29569,0
29571,85,29566,0
29572,86,29571,0
29573,52,29572,0
29574,12,29573,0
29575,13,29574,0
29576,55,29573,0
29577,12,29576,0
29578,13,29577,0
29579,13,29576,0
29580,0,29573,0
29581,12,29572,0
29582,14,29581,0
29583,91,29571,0
29584,52,29583,0
29585,55,29584,0
29586,12,29585,0
29587,13,29586,0
29588,13,29585,0
29589,12,29566,0
29590,13,29589,0
29591,87,29459,0
29592,89,29591,0
29593,90,29592,0
29594,17,29591,0
29595,0,29594,0
29596,91,29591,0
29597,52,29596,0
29598,55,29597,0
29599,55,29598,0
29600,12,29599,0
29601,13,29600,0
29602,13,29599,0
29603,13,29598,0
29604,53,29597,0
29605,0,29604,0
29606,12,29591,0
29607,13,29606,0
29608,87,29459,0
29609,89,29608,0
29610,90,29609,0
29611,17,29608,0
29612,0,29611,0
29613,91,29608,0
29614,55,29613,0
29615,12,29614,0
29616,13,29615,0
29617,13,29614,0
29618,12,29608,0
29619,13,29618,0
29620,87,29459,0
29621,89,29620,0
29622,90,29621,0
29623,17,29620,0
29624,0,29623,0
29625,91,29620,0
29626,55,29625,0
29627,12,29626,0
29628,13,29627,0
29629,13,29626,0
29630,12,29620,0
29631,13,29630,0
29632,87,29459,0
29633,89,29632,0
29634,90,29633,0
29635,17,29632,0
29636,0,29635,0
29637,91,29632,0
29638,52,29637,0
29639,12,29638,0
29640,13,29639,0
29641,55,29638,0
29642,12,29641,0
29643,13,29642,0
29644,13,29641,0
29645,87,29459,0
29646,89,29645,0
29647,90,29646,0
29648,17,29645,0
29649,0,29648,0
29650,91,29645,0
29651,52,29650,0
29652,12,29651,0
29653,13,29652,0
29654,55,29651,0
29655,12,29654,0
29656,13,29655,0
29657,13,29654,0
29658,87,29459,0
29659,89,29658,0
29660,90,29659,0
29661,90,29659,0
29662,17,29658,0
29663,0,29662,0
29664,91,29658,0
29665,56,29664,0
29666,55,29665,0
29667,12,29666,0
29668,13,29667,0
29669,13,29666,0
29670,57,29665,0
29671,12,29670,0
29672,13,29671,0
29673,13,29665,0
29674,52,29459,0
29675,12,29674,0
29676,13,29675,0
29677,0,29674,0
29678,0,29674,0
