node_id,class_name,parent_id,Generator
33431,100,-1,0
33432,73,33431,0
33433,75,33432,0
33434,87,33431,0
33435,89,33434,0
33436,90,33435,0
33437,17,33434,0
33438,0,33437,0
33439,77,33434,0
33440,7,33439,0
33441,12,33440,0
33442,14,33441,0
33443,12,33440,0
33444,14,33443,0
33445,14,33440,0
33446,52,33439,0
33447,55,33446,0
33448,12,33447,0
33449,13,33448,0
33450,13,33447,0
33451,76,33439,0
33452,41,33451,0
33453,12,33452,0
33454,13,33453,0
33455,49,33452,0
33456,0,33452,0
33457,17,33451,0
33458,52,33457,0
33459,55,33458,0
33460,12,33459,0
33461,13,33460,0
33462,13,33459,0
33463,52,33458,0
33464,55,33463,0
33465,0,33464,0
33466,13,33464,0
33467,12,33463,0
33468,13,33467,0
