node_id,class_name,parent_id,Generator
33665,100,-1,0
33666,73,33665,0
33667,75,33666,0
33668,73,33665,0
33669,75,33668,0
33670,74,33665,0
33671,75,33670,0
33672,74,33665,0
33673,75,33672,0
33674,74,33665,0
33675,75,33674,0
33676,87,33665,0
33677,89,33676,0
33678,90,33677,0
33679,90,33677,0
33680,0,33677,0
33681,76,33676,0
33682,52,33681,0
33683,12,33682,0
33684,13,33683,0
33685,12,33682,0
33686,13,33685,0
33687,12,33682,0
33688,13,33687,0
33689,17,33681,0
33690,52,33689,0
33691,12,33690,0
33692,13,33691,0
33693,0,33690,0
33694,65,33681,0
33695,12,33694,0
33696,14,33695,0
33697,0,33694,0
33698,76,33681,0
33699,52,33698,0
33700,12,33699,0
33701,13,33700,0
33702,12,33699,0
33703,13,33702,0
33704,12,33699,0
33705,13,33704,0
33706,17,33698,0
33707,52,33706,0
33708,12,33707,0
33709,13,33708,0
33710,0,33707,0
33711,65,33698,0
33712,12,33711,0
33713,14,33712,0
33714,0,33711,0
33715,76,33698,0
33716,52,33715,0
33717,12,33716,0
33718,13,33717,0
33719,12,33716,0
33720,13,33719,0
33721,12,33716,0
33722,13,33721,0
33723,65,33715,0
33724,12,33723,0
33725,14,33724,0
33726,55,33723,0
33727,12,33726,0
33728,13,33727,0
33729,13,33726,0
33730,76,33715,0
33731,52,33730,0
33732,12,33731,0
33733,13,33732,0
33734,12,33731,0
33735,13,33734,0
33736,12,33731,0
33737,13,33736,0
33738,65,33730,0
33739,12,33738,0
33740,14,33739,0
33741,24,33738,0
33742,55,33741,0
33743,12,33742,0
33744,13,33743,0
33745,13,33742,0
33746,30,33741,0
33747,52,33741,0
33748,12,33747,0
33749,13,33748,0
33750,55,33747,0
33751,12,33750,0
33752,13,33751,0
33753,13,33750,0
33754,17,33730,0
33755,52,33754,0
33756,12,33755,0
33757,13,33756,0
33758,12,33755,0
33759,13,33758,0
33760,12,33755,0
33761,13,33760,0
33762,65,33730,0
33763,12,33762,0
33764,14,33763,0
33765,0,33762,0
33766,76,33730,0
33767,52,33766,0
33768,12,33767,0
33769,13,33768,0
33770,12,33767,0
33771,13,33770,0
33772,12,33767,0
33773,13,33772,0
33774,17,33766,0
33775,52,33774,0
33776,12,33775,0
33777,13,33776,0
33778,55,33775,0
33779,12,33778,0
33780,13,33779,0
33781,13,33778,0
33782,12,33775,0
33783,13,33782,0
33784,65,33766,0
33785,12,33784,0
33786,14,33785,0
33787,0,33784,0
33788,65,33766,0
33789,12,33788,0
33790,14,33789,0
33791,0,33788,0
33792,91,33676,0
33793,12,33792,0
33794,13,33793,0
33795,87,33665,0
33796,89,33795,0
33797,90,33796,0
33798,90,33796,0
33799,90,33796,0
33800,55,33796,0
33801,12,33800,0
33802,13,33801,0
33803,13,33800,0
33804,17,33795,0
33805,52,33804,0
33806,55,33805,0
33807,12,33806,0
33808,13,33807,0
33809,13,33806,0
33810,12,33805,0
33811,13,33810,0
33812,12,33805,0
33813,13,33812,0
33814,65,33795,0
33815,12,33814,0
33816,14,33815,0
33817,52,33814,0
33818,55,33817,0
33819,0,33818,0
33820,13,33818,0
33821,52,33817,0
33822,55,33821,0
33823,12,33822,0
33824,13,33823,0
33825,13,33822,0
33826,52,33821,0
33827,12,33826,0
33828,13,33827,0
33829,12,33826,0
33830,13,33829,0
33831,12,33821,0
33832,13,33831,0
33833,55,33821,0
33834,12,33833,0
33835,13,33834,0
33836,13,33833,0
33837,17,33795,0
33838,52,33837,0
33839,55,33838,0
33840,12,33839,0
33841,13,33840,0
33842,13,33839,0
33843,24,33838,0
33844,0,33843,0
33845,25,33843,0
33846,12,33843,0
33847,13,33846,0
