node_id,class_name,parent_id,Generator
33848,100,-1,0
33849,74,33848,0
33850,75,33849,0
33851,87,33848,0
33852,89,33851,0
33853,90,33852,0
33854,90,33852,0
33855,17,33851,0
33856,0,33855,0
33857,65,33851,0
33858,7,33857,0
33859,12,33858,0
33860,14,33859,0
33861,12,33858,0
33862,14,33861,0
33863,14,33858,0
33864,52,33857,0
33865,12,33864,0
33866,13,33865,0
33867,62,33864,0
33868,7,33867,0
33869,52,33868,0
33870,12,33869,0
33871,13,33870,0
33872,12,33869,0
33873,13,33872,0
33874,12,33868,0
33875,13,33874,0
33876,13,33868,0
33877,64,33867,0
33878,12,33877,0
33879,14,33878,0
33880,12,33877,0
33881,13,33880,0
33882,91,33851,0
33883,7,33882,0
33884,62,33883,0
33885,12,33884,0
33886,13,33885,0
33887,64,33884,0
33888,7,33887,0
33889,12,33888,0
33890,14,33889,0
33891,12,33888,0
33892,14,33891,0
33893,14,33888,0
33894,12,33887,0
33895,13,33894,0
33896,12,33887,0
33897,13,33896,0
33898,62,33883,0
33899,12,33898,0
33900,13,33899,0
33901,64,33898,0
33902,7,33901,0
33903,12,33902,0
33904,14,33903,0
33905,12,33902,0
33906,14,33905,0
33907,14,33902,0
33908,12,33901,0
33909,13,33908,0
33910,19,33901,0
33911,22,33910,0
33912,12,33910,0
33913,13,33912,0
33914,13,33883,0
