node_id,class_name,parent_id,Generator
44614,100,-1,0
44615,74,44614,0
44616,75,44615,0
44617,87,44614,0
44618,89,44617,0
44619,90,44618,0
44620,90,44618,0
44621,17,44617,0
44622,0,44621,0
44623,91,44617,0
44624,52,44623,0
44625,12,44624,0
44626,13,44625,0
44627,24,44624,0
44628,61,44627,0
44629,52,44628,0
44630,55,44629,0
44631,12,44630,0
44632,13,44631,0
44633,13,44630,0
44634,64,44628,0
44635,12,44634,0
44636,14,44635,0
44637,55,44634,0
44638,12,44637,0
44639,13,44638,0
44640,13,44637,0
44641,36,44627,0
44642,12,44627,0
44643,13,44642,0
44644,52,44617,0
44645,12,44644,0
44646,13,44645,0
44647,0,44644,0
