node_id,class_name,parent_id,Generator
44818,100,-1,0
44819,74,44818,0
44820,75,44819,0
44821,87,44818,0
44822,89,44821,0
44823,90,44822,0
44824,90,44822,0
44825,17,44821,0
44826,0,44825,0
44827,65,44821,0
44828,12,44827,0
44829,14,44828,0
44830,52,44827,0
44831,12,44830,0
44832,13,44831,0
44833,52,44830,0
44834,12,44833,0
44835,13,44834,0
44836,55,44833,0
44837,12,44836,0
44838,13,44837,0
44839,13,44836,0
44840,12,44833,0
44841,13,44840,0
44842,76,44821,0
44843,41,44842,0
44844,52,44843,0
44845,12,44844,0
44846,13,44845,0
44847,12,44844,0
44848,13,44847,0
44849,42,44843,0
44850,0,44843,0
44851,91,44842,0
44852,0,44851,0
44853,65,44821,0
44854,12,44853,0
44855,14,44854,0
44856,12,44853,0
44857,13,44856,0
44858,76,44821,0
44859,52,44858,0
44860,12,44859,0
44861,13,44860,0
44862,12,44859,0
44863,13,44862,0
44864,0,44859,0
44865,65,44858,0
44866,12,44865,0
44867,14,44866,0
44868,55,44865,0
44869,12,44868,0
44870,13,44869,0
44871,13,44868,0
44872,65,44821,0
44873,12,44872,0
44874,14,44873,0
44875,52,44872,0
44876,55,44875,0
44877,12,44876,0
44878,13,44877,0
44879,13,44876,0
44880,0,44875,0
44881,0,44875,0
44882,76,44821,0
44883,41,44882,0
44884,52,44883,0
44885,12,44884,0
44886,13,44885,0
44887,12,44884,0
44888,13,44887,0
44889,42,44883,0
44890,0,44883,0
44891,91,44882,0
44892,0,44891,0
44893,65,44821,0
44894,12,44893,0
44895,14,44894,0
44896,52,44893,0
44897,12,44896,0
44898,13,44897,0
44899,55,44896,0
44900,12,44899,0
44901,13,44900,0
44902,13,44899,0
44903,12,44896,0
44904,13,44903,0
44905,91,44821,0
44906,52,44905,0
44907,12,44906,0
44908,13,44907,0
44909,24,44906,0
44910,52,44909,0
44911,12,44910,0
44912,13,44911,0
44913,12,44910,0
44914,13,44913,0
44915,36,44909,0
44916,52,44909,0
44917,12,44916,0
44918,13,44917,0
44919,12,44916,0
44920,13,44919,0
44921,52,44821,0
44922,12,44921,0
44923,13,44922,0
44924,7,44921,0
44925,0,44924,0
44926,0,44924,0
44927,0,44924,0
44928,13,44924,0
