node_id,class_name,parent_id,Generator
41814,100,-1,0
41815,74,41814,0
41816,75,41815,0
41817,74,41814,0
41818,75,41817,0
41819,74,41814,0
41820,75,41819,0
41821,74,41814,0
41822,75,41821,0
41823,87,41814,0
41824,89,41823,0
41825,90,41824,0
41826,91,41823,0
41827,41,41826,0
41828,12,41827,0
41829,13,41828,0
41830,50,41827,0
41831,12,41827,0
41832,13,41831,0
41833,87,41814,0
41834,89,41833,0
41835,90,41834,0
41836,90,41834,0
41837,90,41834,0
41838,65,41833,0
41839,12,41838,0
41840,14,41839,0
41841,56,41838,0
41842,12,41841,0
41843,13,41842,0
41844,57,41841,0
41845,12,41844,0
41846,13,41845,0
41847,13,41841,0
41848,91,41833,0
41849,63,41848,0
41850,12,41849,0
41851,13,41850,0
41852,52,41849,0
41853,12,41852,0
41854,13,41853,0
41855,62,41852,0
41856,12,41855,0
41857,13,41856,0
41858,64,41855,0
41859,12,41858,0
41860,14,41859,0
41861,56,41858,0
41862,12,41861,0
41863,13,41862,0
41864,57,41861,0
41865,12,41864,0
41866,13,41865,0
41867,13,41861,0
41868,52,41858,0
41869,12,41868,0
41870,13,41869,0
41871,12,41868,0
41872,13,41871,0
41873,12,41868,0
41874,13,41873,0
41875,64,41849,0
41876,12,41875,0
41877,14,41876,0
41878,12,41875,0
41879,13,41878,0
41880,87,41814,0
41881,89,41880,0
41882,90,41881,0
41883,90,41881,0
41884,90,41881,0
41885,0,41881,0
41886,17,41880,0
41887,0,41886,0
41888,76,41880,0
41889,41,41888,0
41890,12,41889,0
41891,13,41890,0
41892,48,41889,0
41893,0,41889,0
41894,74,41888,0
41895,75,41894,0
41896,65,41888,0
41897,12,41896,0
41898,14,41897,0
41899,52,41896,0
41900,12,41899,0
41901,13,41900,0
41902,76,41880,0
41903,19,41902,0
41904,22,41903,0
41905,52,41903,0
41906,12,41905,0
41907,13,41906,0
41908,12,41905,0
41909,13,41908,0
41910,69,41902,0
41911,52,41910,0
41912,12,41911,0
41913,13,41912,0
41914,12,41911,0
41915,13,41914,0
41916,76,41880,0
41917,38,41916,0
41918,40,41917,0
41919,19,41917,0
41920,22,41919,0
41921,12,41919,0
41922,13,41921,0
41923,41,41917,0
41924,52,41923,0
41925,12,41924,0
41926,13,41925,0
41927,12,41924,0
41928,13,41927,0
41929,42,41923,0
41930,0,41923,0
41931,91,41916,0
41932,12,41931,0
41933,13,41932,0
41934,65,41880,0
41935,12,41934,0
41936,14,41935,0
41937,61,41934,0
41938,52,41937,0
41939,55,41938,0
41940,12,41939,0
41941,13,41940,0
41942,13,41939,0
41943,64,41937,0
41944,12,41943,0
41945,14,41944,0
41946,12,41943,0
41947,13,41946,0
41948,65,41880,0
41949,7,41948,0
41950,12,41949,0
41951,14,41950,0
41952,12,41949,0
41953,14,41952,0
41954,14,41949,0
41955,12,41948,0
41956,13,41955,0
41957,65,41880,0
41958,12,41957,0
41959,14,41958,0
41960,52,41957,0
41961,12,41960,0
41962,13,41961,0
41963,12,41960,0
41964,13,41963,0
41965,12,41960,0
41966,13,41965,0
41967,12,41960,0
41968,13,41967,0
41969,65,41880,0
41970,12,41969,0
41971,14,41970,0
41972,52,41969,0
41973,12,41972,0
41974,13,41973,0
41975,12,41972,0
41976,13,41975,0
41977,12,41972,0
41978,13,41977,0
41979,12,41972,0
41980,13,41979,0
41981,91,41880,0
41982,7,41981,0
41983,12,41982,0
41984,13,41983,0
41985,12,41982,0
41986,13,41985,0
41987,13,41982,0
41988,87,41814,0
41989,89,41988,0
41990,90,41989,0
41991,90,41989,0
41992,90,41989,0
41993,0,41989,0
41994,0,41989,0
41995,17,41988,0
41996,0,41995,0
41997,65,41988,0
41998,12,41997,0
41999,14,41998,0
42000,12,41997,0
42001,13,42000,0
42002,65,41988,0
42003,12,42002,0
42004,14,42003,0
42005,12,42002,0
42006,13,42005,0
42007,76,41988,0
42008,41,42007,0
42009,12,42008,0
42010,13,42009,0
42011,49,42008,0
42012,0,42008,0
42013,65,42007,0
42014,12,42013,0
42015,14,42014,0
42016,12,42013,0
42017,13,42016,0
42018,65,42007,0
42019,12,42018,0
42020,14,42019,0
42021,12,42018,0
42022,13,42021,0
42023,77,41988,0
42024,7,42023,0
42025,12,42024,0
42026,14,42025,0
42027,12,42024,0
42028,14,42027,0
42029,14,42024,0
42030,52,42023,0
42031,55,42030,0
42032,12,42031,0
42033,13,42032,0
42034,13,42031,0
42035,65,42023,0
42036,12,42035,0
42037,14,42036,0
42038,52,42035,0
42039,12,42038,0
42040,13,42039,0
42041,12,42038,0
42042,13,42041,0
42043,12,42038,0
42044,13,42043,0
42045,12,42038,0
42046,13,42045,0
42047,91,41988,0
42048,12,42047,0
42049,13,42048,0
42050,87,41814,0
42051,89,42050,0
42052,90,42051,0
42053,90,42051,0
42054,90,42051,0
42055,17,42050,0
42056,0,42055,0
42057,76,42050,0
42058,19,42057,0
42059,22,42058,0
42060,52,42058,0
42061,12,42060,0
42062,13,42061,0
42063,12,42060,0
42064,13,42063,0
42065,69,42057,0
42066,52,42065,0
42067,12,42066,0
42068,13,42067,0
42069,12,42066,0
42070,13,42069,0
42071,76,42050,0
42072,38,42071,0
42073,40,42072,0
42074,19,42072,0
42075,22,42074,0
42076,12,42074,0
42077,13,42076,0
42078,41,42072,0
42079,52,42078,0
42080,12,42079,0
42081,13,42080,0
42082,12,42079,0
42083,13,42082,0
42084,42,42078,0
42085,0,42078,0
42086,91,42071,0
42087,12,42086,0
42088,13,42087,0
42089,65,42050,0
42090,12,42089,0
42091,14,42090,0
42092,56,42089,0
42093,12,42092,0
42094,13,42093,0
42095,57,42092,0
42096,12,42095,0
42097,13,42096,0
42098,13,42092,0
42099,65,42050,0
42100,12,42099,0
42101,14,42100,0
42102,6,42099,0
42103,13,42102,0
42104,77,42050,0
42105,12,42104,0
42106,14,42105,0
42107,12,42104,0
42108,13,42107,0
42109,76,42104,0
42110,52,42109,0
42111,12,42110,0
42112,13,42111,0
42113,12,42110,0
42114,13,42113,0
42115,12,42110,0
42116,13,42115,0
42117,67,42109,0
42118,12,42117,0
42119,14,42118,0
42120,25,42117,0
42121,6,42117,0
42122,12,42121,0
42123,13,42122,0
42124,13,42121,0
42125,91,42050,0
42126,12,42125,0
42127,13,42126,0
42128,87,41814,0
42129,89,42128,0
42130,90,42129,0
42131,90,42129,0
42132,90,42129,0
42133,0,42129,0
42134,0,42129,0
42135,17,42128,0
42136,0,42135,0
42137,76,42128,0
42138,41,42137,0
42139,12,42138,0
42140,13,42139,0
42141,48,42138,0
42142,0,42138,0
42143,65,42137,0
42144,12,42143,0
42145,14,42144,0
42146,54,42143,0
42147,41,42146,0
42148,12,42147,0
42149,13,42148,0
42150,48,42147,0
42151,0,42147,0
42152,52,42146,0
42153,12,42152,0
42154,13,42153,0
42155,12,42146,0
42156,13,42155,0
42157,65,42137,0
42158,12,42157,0
42159,14,42158,0
42160,52,42157,0
42161,55,42160,0
42162,12,42161,0
42163,13,42162,0
42164,13,42161,0
42165,12,42160,0
42166,13,42165,0
42167,65,42128,0
42168,12,42167,0
42169,14,42168,0
42170,38,42167,0
42171,40,42170,0
42172,52,42170,0
42173,12,42172,0
42174,13,42173,0
42175,12,42172,0
42176,13,42175,0
42177,0,42172,0
42178,0,42172,0
42179,6,42170,0
42180,13,42179,0
42181,65,42128,0
42182,12,42181,0
42183,14,42182,0
42184,52,42181,0
42185,12,42184,0
42186,13,42185,0
42187,12,42184,0
42188,13,42187,0
42189,91,42128,0
42190,12,42189,0
42191,13,42190,0
42192,87,41814,0
42193,89,42192,0
42194,90,42193,0
42195,17,42192,0
42196,0,42195,0
42197,65,42192,0
42198,12,42197,0
42199,14,42198,0
42200,52,42197,0
42201,12,42200,0
42202,13,42201,0
42203,77,42192,0
42204,12,42203,0
42205,14,42204,0
42206,12,42203,0
42207,13,42206,0
42208,65,42203,0
42209,7,42208,0
42210,12,42209,0
42211,14,42210,0
42212,12,42209,0
42213,14,42212,0
42214,14,42209,0
42215,7,42208,0
42216,56,42215,0
42217,12,42216,0
42218,13,42217,0
42219,57,42216,0
42220,0,42219,0
42221,13,42216,0
42222,52,42215,0
42223,12,42222,0
42224,13,42223,0
42225,56,42222,0
42226,12,42225,0
42227,13,42226,0
42228,58,42225,0
42229,0,42228,0
42230,13,42225,0
42231,13,42215,0
42232,65,42203,0
42233,56,42232,0
42234,12,42233,0
42235,13,42234,0
42236,57,42233,0
42237,12,42236,0
42238,13,42237,0
42239,14,42233,0
42240,12,42232,0
42241,13,42240,0
42242,91,42192,0
42243,12,42242,0
42244,13,42243,0
