node_id,class_name,parent_id,Generator
42245,100,-1,0
42246,73,42245,0
42247,75,42246,0
42248,73,42245,0
42249,75,42248,0
42250,73,42245,0
42251,75,42250,0
42252,74,42245,0
42253,75,42252,0
42254,74,42245,0
42255,75,42254,0
42256,74,42245,0
42257,75,42256,0
42258,87,42245,0
42259,89,42258,0
42260,90,42259,0
42261,90,42259,0
42262,17,42258,0
42263,0,42262,0
42264,65,42258,0
42265,12,42264,0
42266,14,42265,0
42267,52,42264,0
42268,12,42267,0
42269,13,42268,0
42270,12,42267,0
42271,13,42270,0
42272,65,42258,0
42273,12,42272,0
42274,14,42273,0
42275,12,42272,0
42276,13,42275,0
42277,76,42258,0
42278,38,42277,0
42279,39,42278,0
42280,41,42278,0
42281,12,42280,0
42282,13,42281,0
42283,44,42280,0
42284,12,42280,0
42285,13,42284,0
42286,41,42278,0
42287,56,42286,0
42288,12,42287,0
42289,13,42288,0
42290,57,42287,0
42291,12,42290,0
42292,13,42291,0
42293,13,42287,0
42294,42,42286,0
42295,0,42286,0
42296,67,42277,0
42297,12,42296,0
42298,14,42297,0
42299,25,42296,0
42300,0,42296,0
42301,76,42258,0
42302,41,42301,0
42303,12,42302,0
42304,13,42303,0
42305,44,42302,0
42306,12,42302,0
42307,13,42306,0
42308,67,42301,0
42309,12,42308,0
42310,14,42309,0
42311,25,42308,0
42312,0,42308,0
42313,78,42258,0
42314,38,42313,0
42315,39,42314,0
42316,41,42314,0
42317,12,42316,0
42318,13,42317,0
42319,44,42316,0
42320,12,42316,0
42321,13,42320,0
42322,41,42314,0
42323,56,42322,0
42324,12,42323,0
42325,13,42324,0
42326,57,42323,0
42327,12,42326,0
42328,13,42327,0
42329,13,42323,0
42330,43,42322,0
42331,0,42322,0
42332,67,42313,0
42333,12,42332,0
42334,14,42333,0
42335,25,42332,0
42336,0,42332,0
42337,91,42258,0
42338,12,42337,0
42339,13,42338,0
42340,87,42245,0
42341,89,42340,0
42342,90,42341,0
42343,17,42340,0
42344,0,42343,0
42345,91,42340,0
42346,52,42345,0
42347,55,42346,0
42348,12,42347,0
42349,13,42348,0
42350,13,42347,0
42351,24,42346,0
42352,24,42351,0
42353,0,42352,0
42354,25,42352,0
42355,52,42352,0
42356,55,42355,0
42357,12,42356,0
42358,13,42357,0
42359,13,42356,0
42360,12,42355,0
42361,13,42360,0
42362,25,42351,0
42363,0,42351,0
42364,0,42346,0
42365,12,42346,0
42366,13,42365,0
42367,87,42245,0
42368,89,42367,0
42369,90,42368,0
42370,90,42368,0
42371,17,42367,0
42372,0,42371,0
42373,65,42367,0
42374,12,42373,0
42375,14,42374,0
42376,52,42373,0
42377,12,42376,0
42378,13,42377,0
42379,56,42376,0
42380,12,42379,0
42381,13,42380,0
42382,58,42379,0
42383,12,42382,0
42384,13,42383,0
42385,13,42379,0
42386,65,42367,0
42387,7,42386,0
42388,12,42387,0
42389,14,42388,0
42390,12,42387,0
42391,14,42390,0
42392,14,42387,0
42393,7,42386,0
42394,0,42393,0
42395,52,42393,0
42396,12,42395,0
42397,13,42396,0
42398,12,42395,0
42399,13,42398,0
42400,13,42393,0
42401,78,42367,0
42402,41,42401,0
42403,12,42402,0
42404,13,42403,0
42405,44,42402,0
42406,12,42402,0
42407,13,42406,0
42408,65,42401,0
42409,12,42408,0
42410,14,42409,0
42411,56,42408,0
42412,12,42411,0
42413,13,42412,0
42414,57,42411,0
42415,12,42414,0
42416,13,42415,0
42417,13,42411,0
42418,67,42401,0
42419,12,42418,0
42420,14,42419,0
42421,25,42418,0
42422,0,42418,0
42423,76,42401,0
42424,41,42423,0
42425,12,42424,0
42426,13,42425,0
42427,42,42424,0
42428,0,42424,0
42429,65,42423,0
42430,12,42429,0
42431,14,42430,0
42432,52,42429,0
42433,12,42432,0
42434,13,42433,0
42435,12,42432,0
42436,13,42435,0
42437,12,42432,0
42438,13,42437,0
42439,76,42423,0
42440,41,42439,0
42441,12,42440,0
42442,13,42441,0
42443,44,42440,0
42444,12,42440,0
42445,13,42444,0
42446,76,42439,0
42447,41,42446,0
42448,12,42447,0
42449,13,42448,0
42450,45,42447,0
42451,44,42447,0
42452,12,42447,0
42453,13,42452,0
42454,12,42447,0
42455,13,42454,0
42456,91,42446,0
42457,0,42456,0
42458,65,42439,0
42459,12,42458,0
42460,14,42459,0
42461,24,42458,0
42462,12,42461,0
42463,13,42462,0
42464,25,42461,0
42465,0,42461,0
42466,91,42439,0
42467,0,42466,0
42468,91,42367,0
42469,0,42468,0
42470,87,42245,0
42471,89,42470,0
42472,90,42471,0
42473,17,42470,0
42474,0,42473,0
42475,65,42470,0
