node_id,class_name,parent_id,Generator
44929,100,-1,0
44930,73,44929,0
44931,75,44930,0
44932,73,44929,0
44933,75,44932,0
44934,74,44929,0
44935,75,44934,0
44936,74,44929,0
44937,75,44936,0
44938,74,44929,0
44939,75,44938,0
44940,74,44929,0
44941,75,44940,0
44942,74,44929,0
44943,75,44942,0
44944,75,44942,0
44945,74,44929,0
44946,75,44945,0
44947,74,44929,0
44948,75,44947,0
44949,87,44929,0
44950,89,44949,0
44951,90,44950,0
44952,90,44950,0
44953,90,44950,0
44954,90,44950,0
44955,90,44950,0
44956,90,44950,0
44957,0,44950,0
44958,0,44950,0
44959,17,44949,0
44960,0,44959,0
44961,65,44949,0
44962,12,44961,0
44963,14,44962,0
44964,24,44961,0
44965,52,44964,0
44966,55,44965,0
44967,52,44966,0
44968,12,44967,0
44969,13,44968,0
44970,12,44967,0
44971,13,44970,0
44972,13,44966,0
44973,62,44965,0
44974,52,44973,0
44975,12,44974,0
44976,13,44975,0
44977,12,44974,0
44978,13,44977,0
44979,64,44973,0
44980,12,44979,0
44981,14,44980,0
44982,12,44979,0
44983,13,44982,0
44984,25,44964,0
44985,52,44964,0
44986,12,44985,0
44987,13,44986,0
44988,12,44985,0
44989,13,44988,0
44990,17,44949,0
44991,52,44990,0
44992,55,44991,0
44993,12,44992,0
44994,13,44993,0
44995,13,44992,0
44996,52,44991,0
44997,12,44996,0
44998,13,44997,0
44999,12,44996,0
45000,13,44999,0
45001,12,44996,0
45002,13,45001,0
45003,53,44991,0
45004,12,45003,0
45005,13,45004,0
45006,87,44929,0
45007,89,45006,0
45008,90,45007,0
45009,90,45007,0
45010,90,45007,0
45011,90,45007,0
45012,90,45007,0
45013,90,45007,0
45014,17,45006,0
45015,0,45014,0
45016,76,45006,0
45017,41,45016,0
45018,12,45017,0
45019,13,45018,0
45020,48,45017,0
45021,0,45017,0
45022,91,45016,0
45023,0,45022,0
45024,77,45006,0
45025,12,45024,0
45026,14,45025,0
45027,12,45024,0
45028,13,45027,0
45029,76,45024,0
45030,19,45029,0
45031,22,45030,0
45032,52,45030,0
45033,12,45032,0
45034,13,45033,0
45035,12,45032,0
45036,13,45035,0
45037,12,45032,0
45038,13,45037,0
45039,17,45029,0
45040,52,45039,0
45041,12,45040,0
45042,13,45041,0
45043,12,45040,0
45044,13,45043,0
45045,12,45040,0
45046,13,45045,0
45047,55,45040,0
45048,12,45047,0
45049,13,45048,0
45050,13,45047,0
45051,52,45040,0
45052,55,45051,0
45053,0,45052,0
45054,13,45052,0
45055,53,45051,0
45056,12,45055,0
45057,13,45056,0
45058,53,45051,0
45059,12,45058,0
45060,13,45059,0
45061,53,45051,0
45062,12,45061,0
45063,13,45062,0
45064,17,45029,0
45065,52,45064,0
45066,12,45065,0
45067,13,45066,0
45068,12,45065,0
45069,13,45068,0
45070,12,45065,0
45071,13,45070,0
45072,55,45065,0
45073,12,45072,0
45074,13,45073,0
45075,13,45072,0
45076,52,45065,0
45077,55,45076,0
45078,0,45077,0
