node_id,class_name,parent_id,Generator
46218,100,-1,0
46219,73,46218,0
46220,75,46219,0
46221,73,46218,0
46222,75,46221,0
46223,73,46218,0
46224,75,46223,0
46225,74,46218,0
46226,75,46225,0
46227,95,46218,0
46228,55,46227,0
46229,12,46228,0
46230,13,46229,0
46231,13,46228,0
46232,17,46227,0
46233,0,46232,0
46234,87,46227,0
46235,89,46234,0
46236,90,46235,0
46237,90,46235,0
46238,90,46235,0
46239,0,46235,0
46240,17,46234,0
46241,52,46240,0
46242,55,46241,0
46243,55,46242,0
46244,12,46243,0
46245,13,46244,0
46246,13,46243,0
46247,13,46242,0
46248,12,46241,0
46249,13,46248,0
46250,65,46234,0
46251,55,46250,0
46252,12,46251,0
46253,13,46252,0
46254,14,46251,0
46255,0,46250,0
46256,65,46234,0
46257,55,46256,0
46258,12,46257,0
46259,13,46258,0
46260,14,46257,0
46261,12,46256,0
46262,13,46261,0
46263,87,46227,0
46264,89,46263,0
46265,90,46264,0
46266,78,46263,0
46267,55,46266,0
46268,12,46267,0
46269,13,46268,0
46270,13,46267,0
46271,81,46266,0
46272,65,46271,0
46273,12,46272,0
46274,14,46273,0
46275,52,46272,0
46276,55,46275,0
46277,55,46276,0
46278,12,46277,0
46279,13,46278,0
46280,13,46277,0
46281,13,46276,0
46282,53,46275,0
46283,0,46282,0
46284,76,46271,0
46285,52,46284,0
46286,12,46285,0
46287,13,46286,0
46288,12,46285,0
46289,13,46288,0
46290,12,46285,0
46291,13,46290,0
46292,17,46284,0
46293,52,46292,0
46294,55,46293,0
46295,12,46294,0
46296,13,46295,0
46297,13,46294,0
46298,55,46293,0
46299,12,46298,0
46300,13,46299,0
46301,13,46298,0
46302,55,46293,0
46303,12,46302,0
46304,13,46303,0
46305,13,46302,0
46306,17,46284,0
46307,52,46306,0
46308,55,46307,0
46309,12,46308,0
46310,13,46309,0
46311,13,46308,0
46312,12,46307,0
46313,13,46312,0
46314,84,46271,0
46315,55,46314,0
46316,12,46315,0
46317,13,46316,0
46318,13,46315,0
46319,72,46314,0
