node_id,class_name,parent_id,Generator
53772,100,-1,0
53773,74,53772,0
53774,75,53773,0
53775,65,53772,0
53776,12,53775,0
53777,14,53776,0
53778,52,53775,0
53779,12,53778,0
53780,13,53779,0
53781,0,53778,0
53782,0,53778,0
53783,0,53778,0
53784,65,53772,0
53785,55,53784,0
53786,12,53785,0
53787,13,53786,0
53788,14,53785,0
53789,88,53784,0
53790,89,53789,0
53791,90,53790,0
53792,52,53789,0
53793,55,53792,0
53794,55,53793,0
53795,12,53794,0
53796,13,53795,0
53797,13,53794,0
53798,13,53793,0
53799,12,53792,0
53800,13,53799,0
53801,0,53792,0
53802,65,53772,0
53803,12,53802,0
53804,14,53803,0
53805,9,53802,0
53806,55,53805,0
53807,12,53806,0
53808,13,53807,0
53809,13,53806,0
53810,55,53805,0
53811,12,53810,0
53812,13,53811,0
53813,13,53810,0
53814,55,53805,0
53815,12,53814,0
53816,13,53815,0
53817,13,53814,0
53818,0,53805,0
53819,0,53805,0
53820,0,53805,0
