node_id,class_name,parent_id,Generator
54822,100,-1,0
54823,73,54822,0
54824,75,54823,0
54825,74,54822,0
54826,75,54825,0
54827,75,54825,0
54828,75,54825,0
54829,74,54822,0
54830,75,54829,0
54831,95,54822,0
54832,87,54831,0
54833,89,54832,0
54834,90,54833,0
54835,90,54833,0
54836,12,54835,0
54837,13,54836,0
54838,90,54833,0
54839,7,54838,0
54840,12,54839,0
54841,13,54840,0
54842,0,54839,0
54843,13,54839,0
54844,0,54833,0
54845,17,54832,0
54846,0,54845,0
54847,65,54832,0
54848,55,54847,0
54849,12,54848,0
54850,13,54849,0
54851,14,54848,0
54852,12,54847,0
54853,13,54852,0
54854,65,54832,0
54855,55,54854,0
54856,12,54855,0
54857,13,54856,0
54858,14,54855,0
54859,54,54854,0
54860,41,54859,0
54861,12,54860,0
54862,13,54861,0
54863,48,54860,0
54864,0,54860,0
54865,52,54859,0
54866,55,54865,0
54867,12,54866,0
54868,13,54867,0
54869,13,54866,0
54870,12,54865,0
54871,13,54870,0
54872,12,54859,0
54873,13,54872,0
54874,76,54832,0
54875,41,54874,0
54876,55,54875,0
54877,12,54876,0
54878,13,54877,0
54879,13,54876,0
54880,44,54875,0
54881,12,54875,0
54882,13,54881,0
54883,69,54874,0
54884,52,54883,0
54885,12,54884,0
54886,13,54885,0
54887,0,54884,0
54888,12,54832,0
54889,13,54888,0
54890,87,54831,0
54891,89,54890,0
54892,90,54891,0
54893,90,54891,0
54894,90,54891,0
54895,90,54891,0
54896,90,54891,0
54897,0,54891,0
54898,0,54891,0
54899,0,54891,0
54900,0,54891,0
54901,17,54890,0
54902,0,54901,0
54903,65,54890,0
54904,12,54903,0
54905,14,54904,0
54906,52,54903,0
54907,12,54906,0
54908,13,54907,0
54909,12,54906,0
54910,13,54909,0
54911,12,54906,0
54912,13,54911,0
54913,76,54890,0
54914,41,54913,0
54915,12,54914,0
54916,13,54915,0
54917,48,54914,0
54918,0,54914,0
54919,65,54913,0
54920,12,54919,0
54921,14,54920,0
54922,0,54919,0
54923,65,54913,0
54924,12,54923,0
54925,14,54924,0
54926,52,54923,0
54927,12,54926,0
54928,13,54927,0
54929,12,54926,0
54930,13,54929,0
54931,12,54926,0
54932,13,54931,0
54933,91,54890,0
54934,52,54933,0
54935,12,54934,0
54936,13,54935,0
54937,12,54934,0
54938,13,54937,0
54939,12,54934,0
54940,13,54939,0
54941,12,54890,0
54942,13,54941,0
54943,87,54831,0
54944,89,54943,0
54945,90,54944,0
54946,90,54944,0
54947,90,54944,0
54948,17,54943,0
54949,0,54948,0
54950,76,54943,0
54951,38,54950,0
54952,40,54951,0
54953,19,54951,0
54954,22,54953,0
54955,52,54953,0
54956,12,54955,0
54957,13,54956,0
54958,12,54955,0
54959,13,54958,0
54960,12,54955,0
54961,13,54960,0
54962,19,54951,0
54963,22,54962,0
54964,52,54962,0
54965,12,54964,0
54966,13,54965,0
54967,12,54964,0
54968,13,54967,0
54969,12,54964,0
54970,13,54969,0
54971,69,54950,0
54972,52,54971,0
54973,12,54972,0
54974,13,54973,0
54975,52,54972,0
54976,55,54975,0
54977,0,54976,0
