node_id,class_name,parent_id,Generator
55233,100,-1,0
55234,73,55233,0
55235,75,55234,0
55236,74,55233,0
55237,75,55236,0
55238,74,55233,0
55239,75,55238,0
55240,74,55233,0
55241,75,55240,0
55242,74,55233,0
55243,75,55242,0
55244,74,55233,0
55245,75,55244,0
55246,95,55233,0
55247,12,55246,0
55248,13,55247,0
55249,65,55246,0
55250,12,55249,0
55251,14,55250,0
55252,0,55249,0
55253,65,55246,0
55254,12,55253,0
55255,14,55254,0
55256,52,55253,0
55257,12,55256,0
55258,13,55257,0
55259,55,55256,0
55260,12,55259,0
55261,13,55260,0
55262,13,55259,0
55263,87,55246,0
55264,89,55263,0
55265,90,55264,0
55266,90,55264,0
55267,90,55264,0
55268,90,55264,0
55269,90,55264,0
55270,12,55269,0
55271,13,55270,0
55272,0,55264,0
55273,17,55263,0
55274,0,55273,0
55275,77,55263,0
55276,12,55275,0
55277,14,55276,0
55278,55,55275,0
55279,12,55278,0
55280,13,55279,0
55281,13,55278,0
55282,65,55275,0
55283,12,55282,0
55284,14,55283,0
55285,12,55282,0
55286,13,55285,0
55287,76,55275,0
55288,41,55287,0
55289,12,55288,0
55290,13,55289,0
55291,50,55288,0
55292,12,55288,0
55293,13,55292,0
55294,65,55287,0
55295,12,55294,0
55296,14,55295,0
55297,56,55294,0
55298,12,55297,0
55299,13,55298,0
55300,57,55297,0
55301,12,55300,0
55302,13,55301,0
55303,13,55297,0
55304,65,55287,0
55305,12,55304,0
55306,14,55305,0
55307,54,55304,0
55308,41,55307,0
55309,55,55308,0
55310,12,55309,0
55311,13,55310,0
55312,13,55309,0
55313,49,55308,0
55314,0,55308,0
55315,55,55307,0
55316,12,55315,0
55317,13,55316,0
55318,13,55315,0
55319,12,55307,0
55320,13,55319,0
55321,67,55287,0
55322,56,55321,0
55323,12,55322,0
55324,13,55323,0
55325,57,55322,0
55326,12,55325,0
55327,13,55326,0
55328,14,55322,0
55329,25,55321,0
55330,56,55321,0
55331,55,55330,0
55332,12,55331,0
55333,13,55332,0
55334,13,55331,0
55335,57,55330,0
55336,12,55335,0
55337,13,55336,0
55338,13,55330,0
55339,65,55287,0
55340,56,55339,0
55341,12,55340,0
55342,13,55341,0
55343,57,55340,0
55344,12,55343,0
55345,13,55344,0
55346,14,55340,0
55347,56,55339,0
55348,55,55347,0
55349,12,55348,0
55350,13,55349,0
55351,13,55348,0
55352,57,55347,0
55353,12,55352,0
55354,13,55353,0
55355,13,55347,0
55356,76,55287,0
55357,38,55356,0
55358,39,55357,0
55359,19,55357,0
55360,22,55359,0
55361,12,55359,0
55362,13,55361,0
55363,52,55357,0
55364,12,55363,0
55365,13,55364,0
55366,12,55363,0
55367,13,55366,0
55368,17,55356,0
55369,52,55368,0
55370,55,55369,0
55371,12,55370,0
55372,13,55371,0
55373,13,55370,0
55374,12,55369,0
55375,13,55374,0
55376,24,55369,0
55377,12,55376,0
55378,13,55377,0
55379,25,55376,0
55380,0,55376,0
55381,65,55275,0
55382,12,55381,0
55383,14,55382,0
55384,56,55381,0
55385,12,55384,0
55386,13,55385,0
55387,57,55384,0
55388,12,55387,0
55389,13,55388,0
55390,13,55384,0
55391,76,55275,0
55392,19,55391,0
55393,22,55392,0
55394,55,55392,0
55395,12,55394,0
55396,13,55395,0
55397,13,55394,0
55398,65,55391,0
55399,12,55398,0
55400,14,55399,0
55401,54,55398,0
55402,41,55401,0
55403,55,55402,0
55404,12,55403,0
55405,13,55404,0
55406,13,55403,0
55407,49,55402,0
55408,0,55402,0
55409,55,55401,0
55410,12,55409,0
55411,13,55410,0
55412,13,55409,0
55413,12,55401,0
55414,13,55413,0
55415,85,55391,0
55416,86,55415,0
55417,52,55416,0
55418,12,55417,0
55419,13,55418,0
55420,12,55417,0
55421,13,55420,0
55422,53,55417,0
55423,0,55422,0
55424,53,55417,0
55425,52,55424,0
55426,12,55425,0
55427,13,55426,0
55428,12,55425,0
55429,13,55428,0
55430,12,55416,0
55431,14,55430,0
55432,17,55415,0
55433,52,55432,0
55434,55,55433,0
55435,12,55434,0
55436,13,55435,0
55437,13,55434,0
55438,55,55433,0
55439,12,55438,0
55440,13,55439,0
55441,13,55438,0
55442,76,55275,0
55443,38,55442,0
55444,40,55443,0
55445,55,55443,0
55446,12,55445,0
55447,13,55446,0
55448,13,55445,0
55449,55,55443,0
55450,12,55449,0
55451,13,55450,0
55452,13,55449,0
55453,76,55442,0
55454,38,55453,0
55455,39,55454,0
55456,41,55454,0
55457,55,55456,0
55458,12,55457,0
55459,13,55458,0
55460,13,55457,0
55461,43,55456,0
55462,12,55456,0
55463,13,55462,0
55464,52,55454,0
55465,12,55464,0
55466,13,55465,0
55467,12,55464,0
55468,13,55467,0
55469,17,55453,0
55470,52,55469,0
55471,12,55470,0
55472,13,55471,0
55473,12,55470,0
55474,13,55473,0
55475,91,55263,0
55476,12,55475,0
55477,13,55476,0
