node_id,class_name,parent_id,Generator
55478,100,-1,0
55479,74,55478,0
55480,75,55479,0
55481,95,55478,0
55482,12,55481,0
55483,13,55482,0
55484,65,55481,0
55485,12,55484,0
55486,14,55485,0
55487,0,55484,0
55488,65,55481,0
55489,12,55488,0
55490,14,55489,0
55491,52,55488,0
55492,12,55491,0
55493,13,55492,0
55494,88,55491,0
55495,89,55494,0
55496,90,55495,0
55497,0,55494,0
55498,87,55481,0
55499,89,55498,0
55500,90,55499,0
55501,90,55499,0
55502,90,55499,0
55503,90,55499,0
55504,17,55498,0
55505,0,55504,0
