node_id,class_name,parent_id,Generator
55506,100,-1,0
55507,74,55506,0
55508,75,55507,0
55509,74,55506,0
55510,75,55509,0
55511,74,55506,0
55512,75,55511,0
55513,74,55506,0
55514,75,55513,0
55515,74,55506,0
55516,75,55515,0
55517,74,55506,0
55518,75,55517,0
55519,74,55506,0
55520,75,55519,0
55521,74,55506,0
55522,75,55521,0
55523,65,55506,0
55524,12,55523,0
55525,14,55524,0
55526,12,55523,0
55527,14,55526,0
55528,0,55523,0
55529,65,55506,0
55530,12,55529,0
55531,14,55530,0
55532,0,55529,0
55533,87,55506,0
55534,89,55533,0
55535,90,55534,0
55536,90,55534,0
55537,90,55534,0
55538,17,55533,0
55539,52,55538,0
55540,55,55539,0
55541,12,55540,0
55542,13,55541,0
55543,13,55540,0
55544,52,55539,0
55545,55,55544,0
55546,0,55545,0
55547,13,55545,0
55548,0,55544,0
55549,12,55544,0
55550,13,55549,0
55551,12,55544,0
55552,13,55551,0
55553,87,55506,0
55554,89,55553,0
55555,90,55554,0
55556,90,55554,0
55557,17,55553,0
55558,0,55557,0
55559,65,55553,0
55560,12,55559,0
55561,14,55560,0
55562,52,55559,0
55563,55,55562,0
55564,52,55563,0
55565,12,55564,0
55566,13,55565,0
55567,13,55563,0
55568,65,55553,0
55569,55,55568,0
55570,12,55569,0
55571,13,55570,0
55572,14,55569,0
55573,12,55568,0
55574,13,55573,0
55575,65,55553,0
55576,55,55575,0
55577,12,55576,0
55578,13,55577,0
55579,14,55576,0
55580,12,55575,0
55581,13,55580,0
55582,65,55553,0
55583,55,55582,0
55584,12,55583,0
55585,13,55584,0
55586,14,55583,0
55587,0,55582,0
55588,91,55553,0
55589,12,55588,0
55590,13,55589,0
55591,87,55506,0
55592,89,55591,0
55593,90,55592,0
55594,17,55591,0
55595,0,55594,0
55596,91,55591,0
55597,52,55596,0
55598,12,55597,0
55599,13,55598,0
55600,56,55597,0
55601,56,55600,0
55602,52,55601,0
55603,12,55602,0
55604,13,55603,0
55605,9,55602,0
55606,0,55605,0
55607,7,55605,0
55608,12,55607,0
55609,13,55608,0
55610,13,55607,0
55611,0,55602,0
55612,57,55601,0
55613,0,55612,0
55614,13,55601,0
55615,57,55600,0
55616,0,55615,0
55617,13,55600,0
55618,87,55506,0
55619,89,55618,0
55620,90,55619,0
55621,17,55618,0
55622,0,55621,0
55623,91,55618,0
55624,55,55623,0
55625,52,55624,0
55626,12,55625,0
55627,13,55626,0
55628,12,55625,0
55629,13,55628,0
55630,0,55625,0
55631,13,55624,0
55632,95,55506,0
55633,87,55632,0
55634,89,55633,0
55635,90,55634,0
55636,65,55633,0
55637,55,55636,0
55638,12,55637,0
55639,13,55638,0
55640,14,55637,0
55641,12,55636,0
55642,13,55641,0
55643,95,55506,0
55644,12,55643,0
55645,13,55644,0
55646,65,55643,0
55647,12,55646,0
55648,14,55647,0
55649,0,55646,0
55650,65,55643,0
55651,12,55650,0
55652,14,55651,0
55653,52,55650,0
55654,12,55653,0
55655,13,55654,0
55656,55,55653,0
55657,12,55656,0
55658,13,55657,0
55659,13,55656,0
55660,87,55643,0
55661,89,55660,0
55662,90,55661,0
55663,90,55661,0
55664,90,55661,0
55665,90,55661,0
55666,17,55660,0
55667,0,55666,0
55668,65,55660,0
55669,12,55668,0
55670,14,55669,0
55671,52,55668,0
55672,12,55671,0
55673,13,55672,0
55674,65,55660,0
55675,12,55674,0
55676,14,55675,0
55677,52,55674,0
55678,12,55677,0
55679,13,55678,0
55680,65,55660,0
55681,12,55680,0
55682,14,55681,0
55683,56,55680,0
55684,56,55683,0
55685,52,55684,0
55686,12,55685,0
55687,13,55686,0
55688,52,55685,0
55689,55,55688,0
55690,55,55689,0
55691,12,55690,0
55692,13,55691,0
55693,13,55690,0
55694,13,55689,0
55695,57,55684,0
55696,12,55695,0
55697,13,55696,0
55698,13,55684,0
55699,57,55683,0
55700,12,55699,0
55701,13,55700,0
55702,13,55683,0
55703,65,55660,0
55704,12,55703,0
55705,14,55704,0
55706,52,55703,0
55707,12,55706,0
55708,13,55707,0
55709,52,55706,0
55710,12,55709,0
55711,13,55710,0
55712,12,55709,0
55713,13,55712,0
55714,17,55660,0
55715,52,55714,0
