node_id,class_name,parent_id,Generator
56869,100,-1,0
56870,74,56869,0
56871,75,56870,0
56872,74,56869,0
56873,75,56872,0
56874,74,56869,0
56875,75,56874,0
56876,95,56869,0
56877,12,56876,0
56878,13,56877,0
56879,87,56876,0
56880,89,56879,0
56881,90,56880,0
56882,12,56881,0
56883,13,56882,0
56884,90,56880,0
56885,90,56880,0
56886,90,56880,0
56887,7,56880,0
56888,13,56887,0
56889,76,56879,0
56890,41,56889,0
56891,55,56890,0
56892,12,56891,0
56893,13,56892,0
56894,13,56891,0
56895,48,56890,0
56896,0,56890,0
56897,91,56889,0
56898,0,56897,0
56899,91,56879,0
56900,0,56899,0
56901,12,56879,0
56902,13,56901,0
56903,12,56879,0
56904,13,56903,0
56905,87,56876,0
56906,89,56905,0
56907,90,56906,0
56908,90,56906,0
56909,90,56906,0
56910,90,56906,0
56911,17,56905,0
56912,0,56911,0
56913,17,56905,0
56914,52,56913,0
56915,12,56914,0
56916,13,56915,0
56917,24,56914,0
56918,24,56917,0
56919,55,56918,0
56920,52,56919,0
56921,12,56920,0
56922,13,56921,0
56923,55,56920,0
56924,12,56923,0
56925,13,56924,0
56926,13,56923,0
56927,13,56919,0
56928,25,56918,0
56929,0,56918,0
56930,25,56917,0
56931,55,56917,0
56932,55,56931,0
56933,52,56932,0
56934,12,56933,0
56935,13,56934,0
56936,55,56933,0
56937,12,56936,0
56938,13,56937,0
56939,13,56936,0
56940,13,56932,0
56941,13,56931,0
56942,91,56905,0
56943,12,56942,0
56944,13,56943,0
