node_id,class_name,parent_id,Generator
57000,100,-1,0
57001,74,57000,0
57002,75,57001,0
57003,74,57000,0
57004,75,57003,0
57005,74,57000,0
57006,75,57005,0
57007,95,57000,0
57008,12,57007,0
57009,13,57008,0
57010,87,57007,0
57011,89,57010,0
57012,90,57011,0
57013,12,57012,0
57014,13,57013,0
57015,90,57011,0
57016,90,57011,0
57017,90,57011,0
57018,7,57011,0
57019,13,57018,0
57020,76,57010,0
57021,41,57020,0
57022,55,57021,0
57023,12,57022,0
57024,13,57023,0
57025,13,57022,0
57026,43,57021,0
57027,0,57021,0
57028,91,57020,0
57029,0,57028,0
57030,91,57010,0
57031,0,57030,0
57032,12,57010,0
57033,13,57032,0
57034,12,57010,0
57035,13,57034,0
57036,87,57007,0
57037,89,57036,0
57038,90,57037,0
57039,90,57037,0
57040,90,57037,0
57041,90,57037,0
57042,17,57036,0
57043,0,57042,0
57044,17,57036,0
57045,52,57044,0
57046,12,57045,0
57047,13,57046,0
57048,55,57045,0
57049,12,57048,0
57050,13,57049,0
57051,13,57048,0
57052,91,57036,0
57053,12,57052,0
57054,13,57053,0
