node_id,class_name,parent_id,Generator
57471,100,-1,0
57472,73,57471,0
57473,75,57472,0
57474,74,57471,0
57475,75,57474,0
57476,75,57474,0
57477,74,57471,0
57478,75,57477,0
57479,74,57471,0
57480,75,57479,0
57481,74,57471,0
57482,75,57481,0
57483,74,57471,0
57484,75,57483,0
57485,74,57471,0
57486,75,57485,0
57487,87,57471,0
57488,89,57487,0
57489,90,57488,0
57490,90,57488,0
57491,90,57488,0
57492,90,57488,0
57493,90,57488,0
57494,0,57488,0
57495,0,57488,0
57496,0,57488,0
57497,0,57488,0
57498,91,57487,0
57499,52,57498,0
57500,55,57499,0
57501,0,57500,0
57502,13,57500,0
57503,12,57499,0
57504,13,57503,0
57505,12,57499,0
57506,13,57505,0
57507,12,57499,0
57508,13,57507,0
57509,52,57499,0
57510,55,57509,0
57511,12,57510,0
57512,13,57511,0
57513,13,57510,0
57514,0,57509,0
57515,87,57471,0
57516,89,57515,0
57517,90,57516,0
57518,90,57516,0
57519,17,57515,0
57520,52,57519,0
57521,55,57520,0
57522,12,57521,0
57523,13,57522,0
57524,13,57521,0
57525,52,57520,0
57526,12,57525,0
57527,13,57526,0
57528,12,57525,0
57529,13,57528,0
57530,53,57525,0
57531,0,57530,0
57532,53,57520,0
57533,0,57532,0
57534,87,57471,0
57535,89,57534,0
57536,90,57535,0
57537,90,57535,0
57538,17,57534,0
57539,52,57538,0
57540,55,57539,0
57541,12,57540,0
57542,13,57541,0
57543,13,57540,0
57544,52,57539,0
57545,12,57544,0
57546,13,57545,0
57547,12,57544,0
57548,13,57547,0
57549,53,57544,0
57550,0,57549,0
57551,53,57539,0
57552,0,57551,0
57553,87,57471,0
57554,89,57553,0
57555,90,57554,0
57556,90,57554,0
57557,65,57553,0
57558,12,57557,0
57559,14,57558,0
57560,0,57557,0
57561,65,57553,0
57562,12,57561,0
57563,14,57562,0
57564,0,57561,0
57565,77,57553,0
57566,12,57565,0
57567,14,57566,0
57568,12,57565,0
57569,13,57568,0
57570,76,57565,0
57571,52,57570,0
57572,55,57571,0
57573,12,57572,0
57574,13,57573,0
57575,13,57572,0
57576,0,57571,0
57577,65,57570,0
57578,12,57577,0
57579,14,57578,0
57580,56,57577,0
57581,12,57580,0
57582,13,57581,0
57583,58,57580,0
57584,52,57583,0
57585,55,57584,0
57586,12,57585,0
57587,13,57586,0
57588,13,57585,0
57589,0,57584,0
57590,52,57583,0
57591,55,57590,0
57592,12,57591,0
57593,13,57592,0
57594,13,57591,0
57595,0,57590,0
57596,13,57580,0
57597,65,57570,0
57598,7,57597,0
57599,12,57598,0
57600,14,57599,0
57601,12,57598,0
57602,14,57601,0
57603,14,57598,0
57604,52,57597,0
57605,12,57604,0
57606,13,57605,0
57607,52,57604,0
57608,55,57607,0
57609,12,57608,0
57610,13,57609,0
57611,13,57608,0
57612,0,57607,0
57613,65,57570,0
57614,12,57613,0
57615,14,57614,0
57616,52,57613,0
57617,12,57616,0
57618,13,57617,0
57619,56,57616,0
57620,56,57619,0
57621,52,57620,0
57622,55,57621,0
57623,12,57622,0
57624,13,57623,0
57625,13,57622,0
57626,0,57621,0
57627,57,57620,0
57628,0,57627,0
57629,13,57620,0
57630,58,57619,0
57631,0,57630,0
57632,13,57619,0
57633,65,57570,0
57634,12,57633,0
57635,14,57634,0
57636,52,57633,0
57637,12,57636,0
57638,13,57637,0
57639,56,57636,0
57640,56,57639,0
57641,52,57640,0
57642,55,57641,0
57643,12,57642,0
57644,13,57643,0
57645,13,57642,0
57646,0,57641,0
57647,57,57640,0
57648,0,57647,0
57649,13,57640,0
57650,58,57639,0
57651,0,57650,0
57652,13,57639,0
57653,76,57570,0
57654,52,57653,0
57655,55,57654,0
57656,12,57655,0
57657,13,57656,0
57658,13,57655,0
57659,0,57654,0
57660,17,57653,0
57661,52,57660,0
57662,12,57661,0
57663,13,57662,0
57664,12,57661,0
57665,13,57664,0
57666,56,57661,0
57667,12,57666,0
57668,13,57667,0
57669,58,57666,0
57670,0,57669,0
57671,13,57666,0
57672,76,57653,0
57673,52,57672,0
57674,55,57673,0
57675,12,57674,0
57676,13,57675,0
57677,13,57674,0
57678,0,57673,0
57679,17,57672,0
57680,52,57679,0
57681,12,57680,0
57682,13,57681,0
57683,12,57680,0
57684,13,57683,0
57685,56,57680,0
57686,12,57685,0
57687,13,57686,0
57688,58,57685,0
57689,0,57688,0
57690,13,57685,0
57691,76,57672,0
57692,52,57691,0
57693,55,57692,0
57694,12,57693,0
57695,13,57694,0
57696,13,57693,0
57697,0,57692,0
57698,17,57691,0
57699,52,57698,0
57700,55,57699,0
57701,12,57700,0
57702,13,57701,0
57703,13,57700,0
57704,52,57699,0
57705,12,57704,0
57706,13,57705,0
57707,56,57704,0
57708,12,57707,0
57709,13,57708,0
57710,58,57707,0
57711,0,57710,0
57712,13,57707,0
57713,53,57704,0
57714,12,57713,0
57715,13,57714,0
57716,53,57699,0
57717,0,57716,0
57718,67,57691,0
57719,12,57718,0
57720,14,57719,0
57721,25,57718,0
57722,0,57718,0
57723,76,57691,0
57724,52,57723,0
57725,55,57724,0
57726,12,57725,0
57727,13,57726,0
57728,13,57725,0
57729,0,57724,0
57730,17,57723,0
57731,52,57730,0
57732,55,57731,0
57733,12,57732,0
57734,13,57733,0
57735,13,57732,0
57736,52,57731,0
57737,12,57736,0
57738,13,57737,0
57739,56,57736,0
57740,12,57739,0
57741,13,57740,0
57742,58,57739,0
57743,0,57742,0
57744,13,57739,0
57745,53,57736,0
57746,12,57745,0
57747,13,57746,0
57748,53,57731,0
57749,0,57748,0
57750,67,57723,0
57751,12,57750,0
57752,14,57751,0
57753,25,57750,0
57754,0,57750,0
57755,67,57723,0
57756,12,57755,0
57757,14,57756,0
57758,25,57755,0
57759,0,57755,0
57760,67,57723,0
57761,12,57760,0
57762,14,57761,0
57763,25,57760,0
57764,0,57760,0
57765,95,57471,0
57766,12,57765,0
57767,13,57766,0
57768,65,57765,0
57769,12,57768,0
57770,14,57769,0
57771,0,57768,0
57772,87,57765,0
57773,89,57772,0
57774,90,57773,0
57775,12,57774,0
57776,13,57775,0
57777,90,57773,0
57778,90,57773,0
57779,90,57773,0
57780,7,57773,0
57781,13,57780,0
57782,76,57772,0
57783,19,57782,0
57784,22,57783,0
57785,55,57783,0
57786,12,57785,0
57787,13,57786,0
57788,13,57785,0
57789,91,57782,0
57790,0,57789,0
57791,81,57772,0
57792,65,57791,0
57793,12,57792,0
57794,14,57793,0
57795,0,57792,0
57796,77,57791,0
57797,7,57796,0
57798,12,57797,0
57799,14,57798,0
57800,12,57797,0
57801,14,57800,0
57802,14,57797,0
57803,52,57796,0
57804,55,57803,0
57805,55,57804,0
57806,12,57805,0
57807,13,57806,0
57808,13,57805,0
57809,13,57804,0
57810,76,57796,0
57811,38,57810,0
57812,39,57811,0
57813,12,57811,0
57814,13,57813,0
57815,38,57811,0
57816,40,57815,0
57817,41,57815,0
57818,12,57817,0
57819,13,57818,0
57820,51,57817,0
57821,12,57817,0
57822,13,57821,0
57823,41,57815,0
57824,24,57823,0
57825,12,57824,0
57826,13,57825,0
57827,25,57824,0
57828,56,57824,0
57829,12,57828,0
57830,13,57829,0
57831,57,57828,0
57832,12,57831,0
57833,13,57832,0
57834,13,57828,0
57835,43,57823,0
57836,56,57823,0
57837,12,57836,0
57838,13,57837,0
57839,57,57836,0
57840,12,57839,0
57841,13,57840,0
57842,13,57836,0
57843,65,57810,0
57844,12,57843,0
57845,14,57844,0
57846,0,57843,0
57847,76,57791,0
57848,12,57847,0
57849,13,57848,0
57850,91,57847,0
57851,0,57850,0
57852,91,57791,0
57853,0,57852,0
57854,84,57791,0
57855,12,57854,0
57856,13,57855,0
57857,91,57854,0
57858,52,57857,0
57859,55,57858,0
57860,0,57859,0
57861,13,57859,0
57862,52,57858,0
57863,12,57862,0
57864,13,57863,0
57865,12,57862,0
57866,13,57865,0
57867,12,57772,0
57868,13,57867,0
57869,12,57772,0
57870,13,57869,0
57871,87,57765,0
57872,89,57871,0
57873,90,57872,0
57874,90,57872,0
57875,90,57872,0
57876,90,57872,0
57877,90,57872,0
57878,12,57877,0
57879,13,57878,0
57880,90,57872,0
57881,12,57880,0
57882,13,57881,0
57883,0,57872,0
57884,0,57872,0
57885,17,57871,0
57886,0,57885,0
57887,65,57871,0
57888,12,57887,0
57889,14,57888,0
57890,52,57887,0
57891,12,57890,0
