node_id,class_name,parent_id,Generator
58085,100,-1,0
58086,87,58085,0
58087,89,58086,0
58088,90,58087,0
58089,17,58086,0
58090,0,58089,0
58091,76,58086,0
58092,41,58091,0
58093,52,58092,0
58094,12,58093,0
58095,13,58094,0
58096,12,58093,0
58097,13,58096,0
58098,42,58092,0
58099,0,58092,0
58100,69,58091,0
58101,52,58100,0
58102,12,58101,0
58103,13,58102,0
58104,0,58101,0
58105,87,58086,0
58106,89,58105,0
58107,90,58106,0
58108,17,58105,0
58109,0,58108,0
58110,77,58105,0
58111,12,58110,0
58112,14,58111,0
58113,12,58110,0
58114,13,58113,0
58115,76,58110,0
58116,41,58115,0
58117,12,58116,0
58118,13,58117,0
58119,42,58116,0
58120,12,58116,0
58121,13,58120,0
58122,91,58115,0
58123,12,58122,0
58124,13,58123,0
58125,76,58110,0
58126,38,58125,0
58127,39,58126,0
58128,52,58126,0
58129,12,58128,0
58130,13,58129,0
58131,12,58128,0
58132,13,58131,0
58133,12,58128,0
58134,13,58133,0
58135,52,58126,0
58136,12,58135,0
58137,13,58136,0
58138,12,58135,0
58139,13,58138,0
58140,12,58135,0
58141,13,58140,0
58142,91,58125,0
58143,12,58142,0
58144,13,58143,0
58145,81,58110,0
58146,91,58145,0
58147,52,58146,0
58148,12,58147,0
58149,13,58148,0
58150,12,58147,0
58151,13,58150,0
58152,84,58145,0
58153,7,58152,0
58154,12,58153,0
58155,13,58154,0
58156,12,58153,0
58157,13,58156,0
58158,13,58153,0
58159,72,58152,0
58160,69,58105,0
58161,52,58160,0
58162,12,58161,0
58163,13,58162,0
58164,52,58161,0
58165,55,58164,0
58166,0,58165,0
58167,13,58165,0
58168,12,58164,0
58169,13,58168,0
58170,91,58086,0
58171,12,58170,0
58172,13,58171,0
