node_id,class_name,parent_id,Generator
0,100,-1,0
1,73,0,0
2,75,1,0
3,73,0,0
4,75,3,0
5,87,0,0
6,89,5,0
7,90,6,0
8,65,5,0
9,12,8,0
10,14,9,0
11,52,8,0
12,55,11,0
13,55,12,0
14,12,13,0
15,13,14,0
16,13,13,0
17,13,12,0
18,0,11,0
19,0,11,0
20,76,5,0
21,38,20,0
22,39,21,0
23,52,21,0
24,12,23,0
25,13,24,0
26,55,23,0
27,12,26,0
28,13,27,0
29,13,26,0
30,0,23,0
31,41,21,0
32,0,31,0
33,50,31,0
34,55,31,0
35,55,34,0
36,12,35,0
37,13,36,0
38,13,35,0
39,13,34,0
40,52,21,0
41,55,40,0
42,55,41,0
43,12,42,0
44,13,43,0
45,13,42,0
46,13,41,0
47,12,40,0
48,13,47,0
49,81,20,0
50,17,49,0
51,52,50,0
52,55,51,0
53,12,52,0
54,13,53,0
55,13,52,0
56,12,51,0
57,13,56,0
58,84,49,0
59,55,58,0
60,12,59,0
61,13,60,0
62,13,59,0
63,72,58,0
