node_id,class_name,parent_id
556,100,-1
557,73,556
558,75,557
559,73,556
560,75,559
561,73,556
562,75,561
563,74,556
564,75,563
565,65,556
566,12,565
567,14,566
568,0,565
569,87,556
570,89,569
571,65,569
572,12,571
573,14,572
574,0,571
575,65,569
576,12,575
577,14,576
578,52,575
579,55,578
580,12,579
581,13,580
582,13,579
583,0,578
584,65,569
585,7,584
586,12,585
587,14,586
588,12,585
589,14,588
590,14,585
591,52,584
592,55,591
593,12,592
594,13,593
595,13,592
596,0,591
597,65,569
598,12,597
599,14,598
600,52,597
601,55,600
602,12,601
603,13,602
604,13,601
605,12,600
606,13,605
607,7,600
608,0,607
609,0,607
610,13,607
611,53,600
612,0,611
613,53,600
614,0,613
615,65,569
616,12,615
617,14,616
618,56,615
619,12,618
620,13,619
621,59,618
622,58,621
623,58,621
624,58,621
625,19,624
626,21,625
627,0,625
628,13,618
629,65,569
630,12,629
631,14,630
632,52,629
633,55,632
634,12,633
635,13,634
636,13,633
637,12,632
638,13,637
639,65,569
640,12,639
641,14,640
642,0,639
643,78,569
644,0,643
645,65,643
646,7,645
647,12,646
648,14,647
649,12,646
650,14,649
651,14,646
652,52,645
653,55,652
654,12,653
655,13,654
656,13,653
657,0,652
658,65,643
659,12,658
660,14,659
661,52,658
662,55,661
663,12,662
664,13,663
665,13,662
666,12,661
667,13,666
668,7,661
669,0,668
670,0,668
671,13,668
672,53,661
673,0,672
674,53,661
675,0,674
676,65,643
677,12,676
678,14,677
679,56,676
680,12,679
681,13,680
682,59,679
683,58,682
684,58,682
685,58,682
686,19,685
687,21,686
688,0,686
689,13,679
690,76,643
691,12,690
692,13,691
693,65,690
694,12,693
695,14,694
696,52,693
697,55,696
698,12,697
699,13,698
700,13,697
701,12,696
702,13,701
703,77,690
704,12,703
705,14,704
706,12,703
707,13,706
708,65,703
709,12,708
710,14,709
711,56,708
712,12,711
713,13,712
714,57,711
715,0,714
716,13,711
717,65,703
718,12,717
719,14,718
720,56,717
721,12,720
722,13,721
723,57,720
724,0,723
725,13,720
726,65,703
727,12,726
728,14,727
729,7,726
730,0,729
731,0,729
732,0,729
733,13,729
734,65,703
735,12,734
736,14,735
737,0,734
738,17,703
739,52,738
740,55,739
741,12,740
742,13,741
743,13,740
744,12,739
745,13,744
746,56,739
747,12,746
748,13,747
749,57,746
750,0,749
751,13,746
752,56,739
753,12,752
754,13,753
755,57,752
756,19,755
757,21,756
758,0,756
759,13,752
760,12,739
761,13,760
762,12,739
763,13,762
764,17,703
765,52,764
766,55,765
767,12,766
768,13,767
769,13,766
770,0,765
771,12,765
772,13,771
773,65,703
774,12,773
775,14,774
776,52,773
777,12,776
778,13,777
779,12,776
780,13,779
781,65,703
782,12,781
783,14,782
784,52,781
785,12,784
786,13,785
787,12,784
788,13,787
789,65,703
790,12,789
791,14,790
792,38,789
793,39,792
794,41,792
795,12,794
796,13,795
797,44,794
798,0,794
799,41,792
800,12,799
801,13,800
802,44,799
803,0,799
804,76,703
805,12,804
806,13,805
807,67,804
808,12,807
809,14,808
810,25,807
811,0,807
812,65,804
813,12,812
814,14,813
815,0,812
816,76,703
817,41,816
818,12,817
819,13,818
820,47,817
821,12,817
822,13,821
823,65,816
824,12,823
825,14,824
826,0,823
827,78,816
828,12,827
829,13,828
830,17,827
831,52,830
832,12,831
833,13,832
834,0,831
835,76,827
836,41,835
837,52,836
838,55,837
839,12,838
840,13,839
841,13,838
842,0,837
843,42,836
844,0,836
845,65,835
846,12,845
847,14,846
848,0,845
849,17,835
850,52,849
851,12,850
852,13,851
853,0,850
854,65,816
855,12,854
856,14,855
857,0,854
858,65,643
859,12,858
860,14,859
861,19,858
862,22,861
863,12,861
864,13,863
865,65,643
866,12,865
867,14,866
868,24,865
869,52,868
870,55,869
871,12,870
872,13,871
873,13,870
874,0,869
875,36,868
876,0,868
877,76,643
878,41,877
879,12,878
880,13,879
881,42,878
882,52,878
883,12,882
884,13,883
885,0,882
886,79,877
887,87,556
888,89,887
889,90,888
890,65,887
891,12,890
892,14,891
893,52,890
894,55,893
895,12,894
896,13,895
897,13,894
898,56,893
899,12,898
900,13,899
901,57,898
902,0,901
903,13,898
904,56,893
905,12,904
906,13,905
907,57,904
908,0,907
909,13,904
910,65,887
911,12,910
912,14,911
913,52,910
914,55,913
915,12,914
916,13,915
917,13,914
918,56,913
919,12,918
920,13,919
921,57,918
922,0,921
923,13,918
924,56,913
925,12,924
926,13,925
927,57,924
928,0,927
929,13,924
930,65,887
931,12,930
932,14,931
933,52,930
934,55,933
935,12,934
936,13,935
937,13,934
938,56,933
939,12,938
940,13,939
941,57,938
942,0,941
943,13,938
944,56,933
945,12,944
946,13,945
947,57,944
948,0,947
949,13,944
950,65,887
951,12,950
952,14,951
953,24,950
954,24,953
955,12,954
956,13,955
957,25,954
958,12,954
959,13,958
960,28,953
961,24,953
962,0,961
963,27,961
964,12,961
965,13,964
966,91,887
967,12,966
968,13,967
969,76,556
970,41,969
971,12,970
972,13,971
973,42,970
974,0,970
975,17,969
976,52,975
977,12,976
978,13,977
