node_id,class_name,parent_id
2234,100,-1
2235,73,2234
2236,75,2235
2237,73,2234
2238,75,2237
2239,73,2234
2240,75,2239
2241,65,2234
2242,12,2241
2243,14,2242
2244,52,2241
2245,55,2244
2246,12,2245
2247,13,2246
2248,13,2245
2249,0,2244
2250,65,2234
2251,12,2250
2252,14,2251
2253,52,2250
2254,55,2253
2255,12,2254
2256,13,2255
2257,13,2254
2258,0,2253
2259,65,2234
2260,12,2259
2261,14,2260
2262,56,2259
2263,52,2262
2264,55,2263
2265,12,2264
2266,13,2265
2267,13,2264
2268,12,2263
2269,13,2268
2270,57,2262
2271,0,2270
2272,13,2262
2273,65,2234
2274,12,2273
2275,14,2274
2276,52,2273
2277,55,2276
2278,12,2277
2279,13,2278
2280,13,2277
2281,0,2276
2282,65,2234
2283,12,2282
2284,14,2283
2285,56,2282
2286,52,2285
2287,55,2286
2288,12,2287
2289,13,2288
2290,13,2287
2291,12,2286
2292,13,2291
2293,57,2285
2294,0,2293
2295,13,2285
2296,65,2234
2297,12,2296
2298,14,2297
2299,6,2296
2300,12,2299
2301,13,2300
2302,12,2299
2303,13,2302
2304,13,2299
2305,65,2234
2306,12,2305
2307,14,2306
2308,6,2305
2309,0,2308
2310,0,2308
2311,13,2308
2312,65,2234
2313,12,2312
2314,14,2313
2315,6,2312
2316,13,2315
2317,65,2234
2318,12,2317
2319,14,2318
2320,6,2317
2321,13,2320
2322,65,2234
2323,12,2322
2324,14,2323
2325,6,2322
2326,13,2325
2327,65,2234
2328,12,2327
2329,14,2328
2330,0,2327
2331,78,2234
2332,0,2331
2333,65,2331
2334,7,2333
2335,12,2334
2336,14,2335
2337,12,2334
2338,14,2337
2339,14,2334
2340,52,2333
2341,55,2340
2342,12,2341
2343,13,2342
2344,13,2341
2345,65,2331
2346,12,2345
2347,14,2346
2348,52,2345
2349,55,2348
2350,12,2349
2351,13,2350
2352,13,2349
2353,12,2348
2354,13,2353
2355,7,2348
2356,0,2355
2357,0,2355
2358,13,2355
2359,53,2348
2360,0,2359
2361,53,2348
2362,0,2361
2363,65,2331
2364,12,2363
2365,14,2364
2366,56,2363
2367,12,2366
2368,13,2367
2369,59,2366
2370,58,2369
2371,58,2369
2372,58,2369
2373,19,2372
2374,21,2373
2375,0,2373
2376,13,2366
2377,76,2331
2378,12,2377
2379,13,2378
2380,65,2377
2381,12,2380
2382,14,2381
2383,52,2380
2384,55,2383
2385,12,2384
2386,13,2385
2387,13,2384
2388,12,2383
2389,13,2388
2390,65,2377
2391,12,2390
2392,14,2391
2393,52,2390
2394,55,2393
2395,12,2394
2396,13,2395
2397,13,2394
2398,12,2393
2399,13,2398
2400,12,2393
2401,13,2400
2402,65,2377
2403,12,2402
2404,14,2403
2405,6,2402
2406,13,2405
2407,77,2377
2408,12,2407
2409,14,2408
2410,12,2407
2411,13,2410
2412,65,2407
2413,12,2412
2414,14,2413
2415,52,2412
2416,55,2415
2417,12,2416
2418,13,2417
2419,13,2416
2420,12,2415
2421,13,2420
2422,12,2415
2423,13,2422
2424,65,2407
2425,12,2424
2426,14,2425
2427,0,2424
2428,65,2407
2429,12,2428
2430,14,2429
2431,52,2428
2432,55,2431
2433,12,2432
2434,13,2433
2435,13,2432
2436,12,2431
2437,13,2436
2438,12,2431
2439,13,2438
2440,65,2407
2441,12,2440
2442,14,2441
2443,52,2440
2444,55,2443
2445,12,2444
2446,13,2445
2447,13,2444
2448,12,2443
2449,13,2448
2450,76,2407
2451,56,2450
2452,12,2451
2453,13,2452
2454,57,2451
2455,12,2454
2456,13,2455
2457,13,2451
2458,65,2450
2459,12,2458
2460,14,2459
2461,56,2458
2462,12,2461
2463,13,2462
2464,57,2461
2465,12,2464
2466,13,2465
2467,13,2461
2468,17,2407
2469,52,2468
2470,55,2469
2471,12,2470
2472,13,2471
2473,13,2470
2474,12,2469
2475,13,2474
2476,65,2331
2477,12,2476
2478,14,2477
2479,19,2476
2480,22,2479
2481,12,2479
2482,13,2481
2483,77,2331
2484,7,2483
2485,7,2484
2486,12,2485
2487,14,2486
2488,12,2485
2489,14,2488
2490,12,2485
2491,14,2490
2492,12,2485
2493,14,2492
2494,14,2485
2495,12,2484
2496,14,2495
2497,14,2484
2498,52,2483
2499,12,2498
2500,13,2499
2501,12,2498
2502,13,2501
2503,12,2498
2504,13,2503
2505,67,2483
2506,12,2505
2507,14,2506
2508,27,2505
2509,0,2505
2510,67,2483
2511,12,2510
2512,14,2511
2513,27,2510
2514,0,2510
2515,67,2483
2516,12,2515
2517,14,2516
2518,27,2515
2519,0,2515
2520,67,2483
2521,12,2520
2522,14,2521
2523,27,2520
2524,0,2520
2525,17,2483
2526,52,2525
2527,55,2526
2528,12,2527
2529,13,2528
2530,13,2527
2531,12,2526
2532,13,2531
2533,7,2526
2534,12,2533
2535,13,2534
2536,12,2533
2537,13,2536
2538,13,2533
2539,7,2526
2540,12,2539
2541,13,2540
2542,12,2539
2543,13,2542
2544,13,2539
2545,7,2526
2546,0,2545
2547,0,2545
2548,0,2545
2549,13,2545
2550,0,2526
2551,17,2483
2552,52,2551
2553,55,2552
2554,12,2553
2555,13,2554
2556,13,2553
2557,12,2552
2558,13,2557
2559,7,2552
2560,12,2559
2561,13,2560
2562,24,2559
2563,12,2562
2564,13,2563
2565,26,2562
2566,0,2562
2567,13,2559
2568,7,2552
2569,12,2568
2570,13,2569
2571,12,2568
2572,13,2571
2573,13,2568
2574,7,2552
2575,0,2574
2576,0,2574
2577,0,2574
2578,13,2574
2579,55,2552
2580,12,2579
2581,13,2580
2582,13,2579
2583,65,2483
2584,12,2583
2585,14,2584
2586,55,2583
2587,12,2586
2588,13,2587
2589,13,2586
2590,17,2483
2591,52,2590
2592,55,2591
2593,12,2592
2594,13,2593
2595,13,2592
2596,12,2591
2597,13,2596
2598,12,2591
2599,13,2598
2600,7,2591
2601,24,2600
2602,12,2601
2603,13,2602
2604,25,2601
2605,0,2601
2606,24,2600
2607,12,2606
2608,13,2607
2609,26,2606
2610,0,2606
2611,13,2600
2612,12,2591
2613,13,2612
2614,0,2591
2615,7,2591
2616,0,2615
2617,0,2615
2618,0,2615
2619,13,2615
2620,0,2591
2621,17,2331
2622,52,2621
2623,55,2622
2624,12,2623
2625,13,2624
2626,13,2623
2627,0,2622
2628,12,2622
2629,13,2628
2630,76,2331
2631,41,2630
2632,24,2631
2633,52,2632
2634,55,2633
2635,12,2634
2636,13,2635
2637,13,2634
2638,0,2633
2639,36,2632
2640,0,2632
2641,42,2631
2642,52,2631
2643,12,2642
2644,13,2643
2645,0,2642
2646,79,2630
2647,17,2234
2648,52,2647
2649,55,2648
2650,12,2649
2651,13,2650
2652,13,2649
2653,17,2234
2654,52,2653
2655,55,2654
2656,12,2655
2657,13,2656
2658,13,2655
