node_id,class_name,parent_id
6501,100,-1
6502,73,6501
6503,75,6502
6504,74,6501
6505,75,6504
6506,75,6504
6507,73,6501
6508,75,6507
6509,65,6501
6510,12,6509
6511,14,6510
6512,52,6509
6513,55,6512
6514,12,6513
6515,13,6514
6516,13,6513
6517,0,6512
6518,65,6501
6519,12,6518
6520,14,6519
6521,56,6518
6522,52,6521
6523,55,6522
6524,12,6523
6525,13,6524
6526,13,6523
6527,12,6522
6528,13,6527
6529,57,6521
6530,0,6529
6531,13,6521
6532,65,6501
6533,12,6532
6534,14,6533
6535,52,6532
6536,55,6535
6537,12,6536
6538,13,6537
6539,13,6536
6540,0,6535
6541,65,6501
6542,12,6541
6543,14,6542
6544,56,6541
6545,52,6544
6546,55,6545
6547,12,6546
6548,13,6547
6549,13,6546
6550,12,6545
6551,13,6550
6552,57,6544
6553,0,6552
6554,13,6544
6555,65,6501
6556,12,6555
6557,14,6556
6558,6,6555
6559,12,6558
6560,13,6559
6561,12,6558
6562,13,6561
6563,13,6558
6564,65,6501
6565,12,6564
6566,14,6565
6567,6,6564
6568,0,6567
6569,0,6567
6570,13,6567
6571,65,6501
6572,12,6571
6573,14,6572
6574,52,6571
6575,55,6574
6576,12,6575
6577,13,6576
6578,13,6575
6579,0,6574
6580,65,6501
6581,12,6580
6582,14,6581
6583,52,6580
6584,55,6583
6585,12,6584
6586,13,6585
6587,13,6584
6588,12,6583
6589,13,6588
6590,65,6501
6591,12,6590
6592,14,6591
6593,52,6590
6594,55,6593
6595,12,6594
6596,13,6595
6597,13,6594
6598,12,6593
6599,13,6598
6600,12,6593
6601,13,6600
6602,65,6501
6603,12,6602
6604,14,6603
6605,52,6602
6606,55,6605
6607,12,6606
6608,13,6607
6609,13,6606
6610,12,6605
6611,13,6610
6612,65,6501
6613,12,6612
6614,14,6613
6615,52,6612
6616,55,6615
6617,12,6616
6618,13,6617
6619,13,6616
6620,12,6615
6621,13,6620
6622,77,6501
6623,7,6622
6624,7,6623
6625,12,6624
6626,14,6625
6627,12,6624
6628,14,6627
6629,12,6624
6630,14,6629
6631,12,6624
6632,14,6631
6633,14,6624
6634,12,6623
6635,14,6634
6636,14,6623
6637,52,6622
6638,12,6637
6639,13,6638
6640,12,6637
6641,13,6640
6642,12,6637
6643,13,6642
6644,65,6622
6645,12,6644
6646,14,6645
6647,52,6644
6648,55,6647
6649,12,6648
6650,13,6649
6651,13,6648
6652,12,6647
6653,13,6652
6654,12,6647
6655,13,6654
6656,65,6622
6657,12,6656
6658,14,6657
6659,0,6656
6660,65,6622
6661,12,6660
6662,14,6661
6663,52,6660
6664,55,6663
6665,12,6664
6666,13,6665
6667,13,6664
6668,12,6663
6669,13,6668
6670,12,6663
6671,13,6670
6672,65,6622
6673,12,6672
6674,14,6673
6675,52,6672
6676,55,6675
6677,12,6676
6678,13,6677
6679,13,6676
6680,12,6675
6681,13,6680
6682,76,6622
6683,56,6682
6684,12,6683
6685,13,6684
6686,57,6683
6687,12,6686
6688,13,6687
6689,13,6683
6690,65,6682
6691,12,6690
6692,14,6691
6693,56,6690
6694,12,6693
6695,13,6694
6696,57,6693
6697,12,6696
6698,13,6697
6699,13,6693
6700,17,6622
6701,52,6700
6702,55,6701
6703,12,6702
6704,13,6703
6705,13,6702
6706,7,6701
6707,7,6706
6708,12,6707
6709,13,6708
6710,12,6707
6711,13,6710
6712,13,6707
6713,7,6706
6714,12,6713
6715,13,6714
6716,12,6713
6717,13,6716
6718,13,6713
6719,13,6706
6720,53,6701
6721,7,6720
6722,0,6721
6723,0,6721
6724,0,6721
6725,13,6721
6726,65,6622
6727,7,6726
6728,12,6727
6729,14,6728
6730,12,6727
6731,14,6730
6732,14,6727
6733,52,6726
6734,55,6733
6735,12,6734
6736,13,6735
6737,13,6734
6738,12,6733
6739,13,6738
6740,17,6622
6741,52,6740
6742,55,6741
6743,12,6742
6744,13,6743
6745,13,6742
6746,7,6741
6747,7,6746
6748,12,6747
6749,13,6748
6750,24,6747
6751,24,6750
6752,12,6751
6753,13,6752
6754,26,6751
6755,12,6751
6756,13,6755
6757,26,6750
6758,0,6750
6759,13,6747
6760,7,6746
6761,12,6760
6762,13,6761
6763,12,6760
6764,13,6763
6765,13,6760
6766,13,6746
6767,53,6741
6768,7,6767
6769,0,6768
6770,0,6768
6771,0,6768
6772,13,6768
6773,53,6741
6774,7,6773
6775,0,6774
6776,0,6774
6777,0,6774
6778,13,6774
6779,17,6622
6780,52,6779
6781,55,6780
6782,12,6781
6783,13,6782
6784,13,6781
6785,7,6780
6786,24,6785
6787,12,6786
6788,13,6787
6789,25,6786
6790,0,6786
6791,24,6785
6792,24,6791
6793,12,6792
6794,13,6793
6795,26,6792
6796,12,6792
6797,13,6796
6798,26,6791
6799,0,6791
6800,13,6785
6801,12,6780
6802,13,6801
6803,53,6780
6804,7,6803
6805,0,6804
6806,0,6804
6807,0,6804
6808,0,6804
6809,13,6804
6810,71,6501
6811,12,6810
6812,15,6811
6813,17,6501
6814,52,6813
6815,55,6814
6816,12,6815
6817,13,6816
6818,13,6815
