node_id,class_name,parent_id,Generator
0,100,-1,0
1,74,0,0
2,75,1,0
3,85,0,0
4,86,3,0
5,52,4,0
6,12,5,0
7,13,6,0
8,0,5,0
9,12,4,0
10,14,9,0
11,65,3,0
12,12,11,0
13,14,12,0
14,52,11,0
15,55,14,0
16,12,15,0
17,13,16,0
18,13,15,0
19,85,0,0
20,86,19,0
21,52,20,0
22,12,21,0
23,13,22,0
24,0,21,0
25,12,20,0
26,14,25,0
27,65,19,0
28,12,27,0
29,14,28,0
30,52,27,0
31,55,30,0
32,12,31,0
33,13,32,0
34,13,31,0
35,65,0,0
36,12,35,0
37,14,36,0
38,6,35,0
39,0,38,0
40,0,38,0
41,0,38,0
42,0,38,0
43,0,38,0
44,13,38,0
45,65,0,0
46,12,45,0
47,14,46,0
48,6,45,0
49,0,48,0
50,0,48,0
51,13,48,0
52,17,0,0
53,52,52,0
54,12,53,0
55,13,54,0
56,53,53,0
57,0,56,0
58,53,53,0
59,0,58,0
60,53,53,0
61,0,60,0
62,53,53,0
63,24,62,0
64,24,63,0
65,12,64,0
66,13,65,0
67,25,64,0
68,0,64,0
69,25,63,0
70,12,63,0
71,13,70,0
72,53,53,0
73,0,72,0
74,53,53,0
75,0,74,0
76,53,53,0
77,0,76,0
78,53,53,0
79,6,78,0
80,0,79,0
81,13,79,0
82,53,53,0
83,9,82,0
84,0,83,0
85,0,83,0
86,53,53,0
87,9,86,0
88,0,87,0
89,6,87,0
90,0,89,0
91,13,89,0
92,53,53,0
93,9,92,0
94,0,93,0
95,6,93,0
96,0,95,0
97,0,95,0
98,13,95,0
99,53,53,0
100,12,99,0
101,13,100,0
102,53,53,0
103,0,102,0
104,53,53,0
105,0,104,0
106,53,53,0
107,0,106,0
108,53,53,0
109,6,108,0
110,0,109,0
111,0,109,0
112,0,109,0
113,0,109,0
114,0,109,0
115,0,109,0
116,0,109,0
117,0,109,0
118,0,109,0
119,13,109,0
120,53,53,0
121,0,120,0
122,53,53,0
123,12,122,0
124,13,123,0
