node_id,class_name,parent_id
5123,100,-1
5124,17,5123
5125,0,5124
5126,73,5123
5127,75,5126
5128,73,5123
5129,75,5128
5130,74,5123
5131,75,5130
5132,74,5123
5133,75,5132
5134,76,5123
5135,41,5134
5136,56,5135
5137,55,5136
5138,12,5137
5139,13,5138
5140,13,5137
5141,57,5136
5142,0,5141
5143,13,5136
5144,44,5135
5145,0,5135
5146,69,5134
5147,52,5146
5148,12,5147
5149,13,5148
5150,0,5147
5151,76,5123
5152,38,5151
5153,39,5152
5154,41,5152
5155,56,5154
5156,55,5155
5157,12,5156
5158,13,5157
5159,13,5156
5160,57,5155
5161,0,5160
5162,13,5155
5163,42,5154
5164,0,5154
5165,41,5152
5166,56,5165
5167,55,5166
5168,12,5167
5169,13,5168
5170,13,5167
5171,57,5166
5172,0,5171
5173,13,5166
5174,44,5165
5175,0,5165
5176,69,5151
5177,52,5176
5178,12,5177
5179,13,5178
5180,0,5177
5181,87,5123
5182,89,5181
5183,90,5182
5184,17,5181
5185,0,5184
5186,17,5181
5187,52,5186
5188,55,5187
5189,12,5188
5190,13,5189
5191,13,5188
5192,17,5181
5193,52,5192
5194,55,5193
5195,12,5194
5196,13,5195
5197,13,5194
5198,0,5193
5199,87,5123
5200,89,5199
5201,17,5199
5202,0,5201
5203,65,5199
5204,12,5203
5205,14,5204
5206,52,5203
5207,55,5206
5208,55,5207
5209,12,5208
5210,13,5209
5211,13,5208
5212,13,5207
5213,52,5206
5214,55,5213
5215,55,5214
5216,12,5215
5217,13,5216
5218,13,5215
5219,13,5214
5220,56,5213
5221,55,5220
5222,12,5221
5223,13,5222
5224,13,5221
5225,57,5220
5226,0,5225
5227,13,5220
5228,65,5199
5229,12,5228
5230,14,5229
5231,52,5228
5232,55,5231
5233,55,5232
5234,12,5233
5235,13,5234
5236,13,5233
5237,13,5232
5238,12,5231
5239,13,5238
5240,0,5231
5241,77,5199
5242,12,5241
5243,14,5242
5244,52,5241
5245,12,5244
5246,13,5245
5247,52,5244
5248,55,5247
5249,12,5248
5250,13,5249
5251,13,5248
5252,12,5247
5253,13,5252
5254,65,5241
5255,12,5254
5256,14,5255
5257,52,5254
5258,55,5257
5259,55,5258
5260,12,5259
5261,13,5260
5262,13,5259
5263,13,5258
5264,12,5257
5265,13,5264
5266,12,5257
5267,13,5266
5268,0,5257
5269,76,5241
5270,52,5269
5271,55,5270
5272,55,5271
5273,12,5272
5274,13,5273
5275,13,5272
5276,13,5271
5277,12,5270
5278,13,5277
5279,65,5269
5280,12,5279
5281,14,5280
5282,52,5279
5283,55,5282
5284,0,5283
5285,13,5283
5286,7,5282
5287,0,5286
5288,12,5286
5289,13,5288
5290,0,5286
5291,13,5286
5292,65,5269
5293,12,5292
5294,14,5293
5295,52,5292
5296,12,5295
5297,13,5296
5298,12,5295
5299,13,5298
5300,65,5269
5301,12,5300
5302,14,5301
5303,52,5300
5304,12,5303
5305,13,5304
5306,12,5303
5307,13,5306
5308,52,5303
5309,55,5308
5310,0,5309
5311,13,5309
5312,52,5308
5313,55,5312
5314,12,5313
5315,13,5314
5316,13,5313
5317,65,5269
5318,12,5317
5319,14,5318
5320,52,5317
5321,12,5320
5322,13,5321
5323,12,5320
5324,13,5323
5325,0,5320
5326,17,5269
5327,92,5326
5328,7,5327
5329,12,5328
5330,13,5329
5331,12,5328
5332,13,5331
5333,12,5328
5334,13,5333
5335,13,5328
5336,76,5123
5337,41,5336
5338,12,5337
5339,13,5338
5340,42,5337
5341,0,5337
5342,65,5336
5343,12,5342
5344,14,5343
5345,0,5342
5346,67,5336
5347,12,5346
5348,14,5347
5349,25,5346
5350,0,5346
5351,67,5336
5352,12,5351
5353,14,5352
5354,25,5351
5355,0,5351
5356,17,5336
5357,52,5356
5358,12,5357
5359,13,5358
5360,12,5357
5361,13,5360
5362,65,5336
5363,12,5362
5364,14,5363
5365,52,5362
5366,12,5365
5367,13,5366
5368,65,5336
5369,12,5368
5370,14,5369
5371,52,5368
5372,55,5371
5373,12,5372
5374,13,5373
5375,13,5372
5376,77,5336
5377,7,5376
5378,12,5377
5379,14,5378
5380,12,5377
5381,14,5380
5382,12,5377
5383,14,5382
5384,14,5377
5385,52,5376
5386,12,5385
5387,13,5386
5388,17,5376
5389,52,5388
5390,12,5389
5391,13,5390
5392,12,5389
5393,13,5392
5394,12,5389
5395,13,5394
5396,12,5389
5397,13,5396
5398,17,5336
5399,52,5398
5400,55,5399
5401,12,5400
5402,13,5401
5403,13,5400
5404,53,5399
5405,12,5404
5406,13,5405
5407,65,5336
5408,12,5407
5409,14,5408
5410,52,5407
5411,55,5410
5412,12,5411
5413,13,5412
5414,13,5411
5415,17,5336
5416,52,5415
5417,55,5416
5418,12,5417
5419,13,5418
5420,13,5417
5421,12,5416
5422,13,5421
