node_id,class_name,parent_id
46897,100,-1
46898,17,46897
46899,0,46898
46900,73,46897
46901,75,46900
46902,73,46897
46903,75,46902
46904,74,46897
46905,75,46904
46906,74,46897
46907,75,46906
46908,74,46897
46909,75,46908
46910,74,46897
46911,75,46910
46912,75,46910
46913,65,46897
46914,12,46913
46915,14,46914
46916,52,46913
46917,55,46916
46918,12,46917
46919,13,46918
46920,13,46917
46921,12,46916
46922,13,46921
46923,95,46897
46924,55,46923
46925,12,46924
46926,13,46925
46927,13,46924
46928,17,46923
46929,0,46928
46930,87,46923
46931,89,46930
46932,90,46931
46933,90,46931
46934,17,46930
46935,52,46934
46936,55,46935
46937,12,46936
46938,13,46937
46939,13,46936
46940,0,46935
46941,55,46935
46942,55,46941
46943,12,46942
46944,13,46943
46945,13,46942
46946,13,46941
46947,12,46935
46948,13,46947
46949,65,46930
46950,55,46949
46951,12,46950
46952,13,46951
46953,14,46950
46954,52,46949
46955,12,46954
46956,13,46955
46957,17,46930
46958,52,46957
46959,55,46958
46960,52,46959
46961,12,46960
46962,13,46961
46963,13,46959
46964,12,46958
46965,13,46964
46966,17,46930
46967,52,46966
46968,55,46967
46969,12,46968
46970,13,46969
46971,13,46968
46972,12,46967
46973,13,46972
46974,65,46930
46975,55,46974
46976,12,46975
46977,13,46976
46978,14,46975
46979,52,46974
46980,12,46979
46981,13,46980
46982,12,46979
46983,13,46982
46984,17,46930
46985,52,46984
46986,55,46985
46987,12,46986
46988,13,46987
46989,13,46986
46990,17,46930
46991,52,46990
46992,55,46991
46993,12,46992
46994,13,46993
46995,13,46992
46996,65,46930
46997,55,46996
46998,12,46997
46999,13,46998
47000,14,46997
47001,52,46996
47002,55,47001
47003,12,47002
47004,13,47003
47005,13,47002
47006,17,46930
47007,52,47006
47008,55,47007
47009,52,47008
47010,12,47009
47011,13,47010
47012,13,47008
47013,12,47007
47014,13,47013
47015,17,46930
47016,52,47015
47017,55,47016
47018,12,47017
47019,13,47018
47020,13,47017
47021,0,47016
47022,55,47016
47023,55,47022
47024,12,47023
47025,13,47024
47026,13,47023
47027,13,47022
47028,87,46923
47029,89,47028
47030,90,47029
47031,17,47028
