node_id,class_name,parent_id
64966,100,-1
64967,17,64966
64968,0,64967
64969,73,64966
64970,75,64969
64971,73,64966
64972,75,64971
64973,73,64966
64974,75,64973
64975,73,64966
64976,75,64975
64977,74,64966
64978,75,64977
64979,74,64966
64980,75,64979
64981,75,64979
64982,73,64966
64983,75,64982
64984,73,64966
64985,75,64984
64986,17,64966
64987,52,64986
64988,55,64987
64989,12,64988
64990,13,64989
64991,13,64988
64992,0,64987
64993,74,64966
64994,75,64993
64995,74,64966
64996,75,64995
64997,74,64966
64998,75,64997
64999,75,64997
65000,74,64966
65001,75,65000
65002,74,64966
65003,75,65002
65004,75,65002
65005,75,65002
65006,65,64966
65007,12,65006
65008,14,65007
65009,52,65006
65010,55,65009
65011,12,65010
65012,13,65011
65013,13,65010
65014,12,65009
65015,13,65014
65016,95,64966
65017,12,65016
65018,13,65017
65019,17,65016
65020,0,65019
65021,65,65016
65022,12,65021
65023,14,65022
65024,60,65021
65025,12,65024
65026,13,65025
65027,64,65024
65028,12,65027
65029,14,65028
65030,55,65027
65031,12,65030
65032,13,65031
65033,13,65030
65034,41,65027
65035,56,65034
65036,12,65035
65037,13,65036
65038,57,65035
65039,0,65038
65040,13,65035
65041,50,65034
65042,7,65034
65043,0,65042
65044,0,65042
65045,0,65042
65046,0,65042
65047,13,65042
65048,87,65016
65049,89,65048
65050,90,65049
65051,90,65049
65052,90,65049
65053,90,65049
65054,90,65049
65055,0,65049
65056,17,65048
65057,0,65056
65058,65,65048
65059,12,65058
65060,14,65059
65061,9,65058
65062,0,65061
65063,0,65061
65064,0,65061
65065,0,65061
65066,0,65061
65067,0,65061
65068,65,65048
65069,12,65068
65070,14,65069
65071,54,65068
65072,52,65071
65073,55,65072
65074,12,65073
65075,13,65074
65076,13,65073
65077,12,65072
65078,13,65077
65079,0,65072
65080,56,65071
65081,12,65080
65082,13,65081
65083,57,65080
65084,12,65083
65085,13,65084
65086,13,65080
65087,12,65071
65088,13,65087
65089,65,65048
65090,12,65089
65091,14,65090
65092,56,65089
65093,55,65092
65094,52,65093
65095,12,65094
65096,13,65095
65097,13,65093
65098,57,65092
65099,12,65098
65100,13,65099
65101,13,65092
65102,65,65048
65103,12,65102
65104,14,65103
65105,52,65102
65106,55,65105
65107,12,65106
65108,13,65107
65109,13,65106
65110,12,65105
65111,13,65110
65112,53,65105
65113,12,65112
65114,13,65113
65115,53,65105
65116,12,65115
65117,13,65116
65118,53,65105
65119,12,65118
65120,13,65119
65121,17,65048
65122,52,65121
65123,55,65122
65124,12,65123
65125,13,65124
65126,13,65123
65127,53,65122
65128,55,65127
65129,12,65128
65130,13,65129
65131,13,65128
65132,53,65122
65133,0,65132
65134,91,65048
65135,12,65134
65136,13,65135
65137,12,65048
65138,13,65137
65139,87,65016
65140,89,65139
65141,90,65140
65142,17,65139
65143,0,65142
65144,65,65139
65145,7,65144
65146,12,65145
65147,14,65146
65148,12,65145
65149,14,65148
65150,14,65145
65151,55,65144
65152,55,65151
65153,55,65152
65154,55,65153
65155,12,65154
65156,13,65155
65157,13,65154
65158,13,65153
65159,13,65152
65160,13,65151
65161,65,65139
65162,7,65161
65163,12,65162
65164,14,65163
65165,12,65162
65166,14,65165
65167,14,65162
65168,7,65161
65169,0,65168
65170,24,65168
65171,12,65170
65172,13,65171
65173,26,65170
65174,12,65170
65175,13,65174
65176,13,65168
65177,17,65139
65178,52,65177
65179,55,65178
65180,55,65179
65181,12,65180
65182,13,65181
65183,13,65180
65184,13,65179
65185,12,65178
65186,13,65185
65187,53,65178
65188,55,65187
65189,12,65188
65190,13,65189
65191,13,65188
65192,53,65178
65193,52,65192
65194,12,65193
65195,13,65194
65196,12,65193
65197,13,65196
65198,53,65178
65199,52,65198
65200,12,65199
65201,13,65200
65202,12,65199
65203,13,65202
65204,65,65139
65205,12,65204
65206,14,65205
65207,52,65204
65208,55,65207
65209,12,65208
65210,13,65209
65211,13,65208
65212,12,65207
