node_id,class_name,parent_id
80670,100,-1
80671,17,80670
80672,0,80671
80673,73,80670
80674,75,80673
80675,73,80670
80676,75,80675
80677,73,80670
80678,75,80677
80679,74,80670
80680,75,80679
80681,74,80670
80682,75,80681
80683,65,80670
80684,12,80683
80685,14,80684
80686,52,80683
80687,55,80686
80688,12,80687
80689,13,80688
80690,13,80687
80691,12,80686
80692,13,80691
80693,95,80670
80694,17,80693
80695,0,80694
80696,87,80693
80697,89,80696
80698,90,80697
80699,90,80697
80700,90,80697
80701,0,80697
80702,17,80696
80703,52,80702
80704,55,80703
80705,12,80704
80706,13,80705
80707,13,80704
80708,0,80703
80709,55,80703
80710,55,80709
80711,12,80710
80712,13,80711
80713,13,80710
80714,13,80709
80715,12,80703
80716,13,80715
80717,12,80703
80718,13,80717
80719,65,80696
80720,55,80719
80721,12,80720
80722,13,80721
80723,14,80720
80724,52,80719
80725,12,80724
80726,13,80725
80727,0,80724
80728,65,80696
80729,55,80728
80730,12,80729
80731,13,80730
80732,14,80729
80733,12,80728
80734,13,80733
80735,65,80696
80736,55,80735
80737,12,80736
80738,13,80737
80739,14,80736
80740,0,80735
80741,65,80696
80742,55,80741
80743,12,80742
80744,13,80743
80745,14,80742
80746,12,80741
80747,13,80746
80748,65,80696
80749,55,80748
80750,12,80749
80751,13,80750
80752,14,80749
80753,0,80748
80754,65,80696
80755,55,80754
80756,12,80755
80757,13,80756
80758,14,80755
80759,0,80754
80760,65,80696
80761,55,80760
80762,12,80761
80763,13,80762
80764,14,80761
80765,0,80760
80766,17,80696
80767,52,80766
80768,55,80767
80769,12,80768
80770,13,80769
80771,13,80768
80772,0,80767
80773,55,80767
80774,55,80773
80775,12,80774
80776,13,80775
80777,13,80774
80778,13,80773
80779,87,80693
80780,89,80779
80781,90,80780
80782,17,80779
80783,0,80782
80784,65,80779
80785,12,80784
80786,14,80785
80787,55,80784
80788,55,80787
80789,12,80788
80790,13,80789
80791,13,80788
80792,13,80787
80793,65,80779
80794,12,80793
80795,14,80794
80796,55,80793
80797,55,80796
80798,12,80797
80799,13,80798
80800,13,80797
80801,13,80796
80802,65,80779
80803,12,80802
80804,14,80803
80805,52,80802
80806,55,80805
80807,52,80806
80808,55,80807
80809,12,80808
80810,13,80809
80811,13,80808
80812,52,80807
80813,55,80812
80814,12,80813
80815,13,80814
80816,13,80813
80817,0,80807
80818,13,80806
80819,76,80779
80820,41,80819
80821,12,80820
80822,13,80821
80823,42,80820
80824,0,80820
80825,65,80819
80826,12,80825
80827,14,80826
80828,52,80825
80829,55,80828
80830,52,80829
80831,55,80830
80832,12,80831
80833,13,80832
80834,13,80831
80835,52,80830
80836,55,80835
80837,12,80836
80838,13,80837
80839,13,80836
80840,0,80830
80841,13,80829
80842,17,80779
80843,52,80842
80844,55,80843
80845,12,80844
80846,13,80845
80847,13,80844
80848,0,80843
80849,12,80843
80850,13,80849
80851,91,80779
80852,12,80851
80853,13,80852
80854,12,80779
80855,13,80854
80856,87,80693
80857,89,80856
80858,90,80857
80859,17,80856
80860,0,80859
80861,91,80856
80862,55,80861
80863,55,80862
80864,12,80863
80865,13,80864
80866,13,80863
80867,13,80862
80868,12,80856
80869,13,80868
80870,87,80693
80871,89,80870
80872,90,80871
80873,17,80870
80874,0,80873
80875,91,80870
80876,38,80875
80877,39,80876
80878,41,80876
80879,55,80878
80880,12,80879
80881,13,80880
80882,13,80879
80883,49,80878
80884,0,80878
80885,52,80876
80886,55,80885
80887,55,80886
80888,12,80887
80889,13,80888
80890,13,80887
80891,13,80886
80892,55,80885
80893,12,80892
80894,13,80893
80895,13,80892
80896,12,80870
80897,13,80896
80898,87,80693
80899,89,80898
80900,90,80899
80901,17,80898
80902,0,80901
80903,91,80898
80904,63,80903
80905,12,80904
80906,13,80905
80907,12,80904
80908,13,80907
80909,64,80904
80910,7,80909
80911,12,80910
80912,14,80911
80913,12,80910
80914,14,80913
80915,14,80910
80916,52,80909
80917,55,80916
80918,55,80917
80919,12,80918
80920,13,80919
80921,13,80918
80922,13,80917
80923,52,80909
80924,12,80923
80925,13,80924
80926,12,80923
80927,13,80926
80928,12,80923
80929,13,80928
80930,12,80898
80931,13,80930
80932,87,80693
80933,89,80932
80934,90,80933
80935,17,80932
80936,0,80935
80937,91,80932
80938,55,80937
80939,55,80938
80940,12,80939
80941,13,80940
80942,13,80939
80943,13,80938
80944,12,80932
80945,13,80944
80946,87,80693
80947,89,80946
80948,90,80947
80949,17,80946
80950,0,80949
80951,91,80946
80952,54,80951
80953,41,80952
80954,55,80953
80955,12,80954
80956,13,80955
80957,13,80954
80958,49,80953
80959,0,80953
80960,52,80952
80961,55,80960
80962,55,80961
80963,12,80962
80964,13,80963
80965,13,80962
80966,13,80961
80967,55,80960
80968,12,80967
80969,13,80968
80970,13,80967
80971,0,80952
80972,12,80946
80973,13,80972
80974,87,80693
80975,89,80974
80976,90,80975
80977,17,80974
80978,0,80977
80979,91,80974
80980,54,80979
80981,41,80980
80982,55,80981
80983,12,80982
80984,13,80983
80985,13,80982
80986,49,80981
80987,0,80981
80988,52,80980
80989,55,80988
80990,55,80989
80991,12,80990
80992,13,80991
80993,13,80990
80994,13,80989
80995,55,80988
80996,12,80995
80997,13,80996
80998,13,80995
80999,0,80980
81000,12,80974
81001,13,81000
81002,87,80693
81003,89,81002
81004,90,81003
81005,17,81002
81006,0,81005
81007,76,81002
81008,41,81007
81009,55,81008
81010,12,81009
81011,13,81010
81012,13,81009
81013,48,81008
81014,0,81008
81015,91,81007
81016,0,81015
81017,91,81002
81018,52,81017
81019,55,81018
81020,55,81019
81021,12,81020
81022,13,81021
81023,13,81020
81024,13,81019
81025,0,81018
81026,0,81018
81027,12,81002
81028,13,81027
81029,87,80693
81030,89,81029
81031,90,81030
81032,17,81029
81033,0,81032
81034,65,81029
81035,12,81034
81036,14,81035
81037,63,81034
81038,12,81037
81039,13,81038
81040,63,81037
81041,12,81040
81042,13,81041
81043,52,81040
81044,12,81043
81045,13,81044
81046,53,81043
81047,55,81046
81048,56,81047
81049,12,81048
81050,13,81049
81051,57,81048
81052,0,81051
81053,13,81048
81054,13,81047
81055,53,81043
81056,55,81055
81057,56,81056
81058,12,81057
81059,13,81058
81060,57,81057
81061,0,81060
81062,13,81057
81063,13,81056
81064,64,81040
81065,7,81064
81066,12,81065
81067,14,81066
81068,12,81065
81069,14,81068
81070,14,81065
81071,52,81064
81072,55,81071
81073,12,81072
81074,13,81073
81075,13,81072
81076,38,81064
81077,39,81076
81078,52,81076
81079,12,81078
81080,13,81079
81081,12,81078
81082,13,81081
81083,12,81078
81084,13,81083
81085,41,81076
81086,0,81085
81087,50,81085
81088,12,81085
81089,13,81088
81090,41,81076
81091,55,81090
81092,56,81091
81093,12,81092
81094,13,81093
81095,57,81092
81096,0,81095
81097,13,81092
81098,13,81091
81099,49,81090
81100,0,81090
81101,64,81037
81102,7,81101
81103,12,81102
81104,14,81103
81105,12,81102
81106,14,81105
81107,14,81102
81108,52,81101
81109,55,81108
81110,55,81109
81111,55,81110
81112,55,81111
81113,12,81112
81114,13,81113
81115,13,81112
81116,13,81111
81117,13,81110
81118,13,81109
81119,17,81029
81120,52,81119
81121,55,81120
81122,12,81121
81123,13,81122
81124,13,81121
81125,0,81120
81126,12,81120
81127,13,81126
81128,65,81029
81129,12,81128
81130,14,81129
81131,63,81128
81132,12,81131
81133,13,81132
81134,63,81131
81135,12,81134
81136,13,81135
81137,9,81134
81138,0,81137
81139,0,81137
81140,0,81137
81141,12,81137
81142,13,81141
81143,56,81137
81144,56,81143
81145,56,81144
81146,12,81145
81147,13,81146
81148,57,81145
81149,12,81148
81150,13,81149
81151,13,81145
81152,57,81144
81153,12,81152
81154,13,81153
81155,13,81144
81156,57,81143
81157,0,81156
81158,13,81143
