node_id,class_name,parent_id
90896,100,-1
90897,17,90896
90898,0,90897
90899,73,90896
90900,75,90899
90901,73,90896
90902,75,90901
90903,73,90896
90904,75,90903
90905,73,90896
90906,75,90905
90907,73,90896
90908,75,90907
90909,74,90896
90910,75,90909
90911,74,90896
90912,75,90911
90913,75,90911
90914,74,90896
90915,75,90914
90916,73,90896
90917,75,90916
90918,74,90896
90919,75,90918
90920,75,90918
90921,75,90918
90922,74,90896
90923,75,90922
90924,74,90896
90925,75,90924
90926,75,90924
90927,65,90896
90928,12,90927
90929,14,90928
90930,52,90927
90931,55,90930
90932,12,90931
90933,13,90932
90934,13,90931
90935,12,90930
90936,13,90935
90937,65,90896
90938,12,90937
90939,14,90938
90940,0,90937
90941,65,90896
90942,12,90941
90943,14,90942
90944,0,90941
90945,65,90896
90946,12,90945
90947,14,90946
90948,0,90945
90949,65,90896
90950,12,90949
90951,14,90950
90952,52,90949
90953,55,90952
90954,55,90953
90955,12,90954
90956,13,90955
90957,13,90954
90958,13,90953
90959,52,90952
90960,55,90959
90961,55,90960
90962,12,90961
90963,13,90962
90964,13,90961
90965,13,90960
90966,52,90959
90967,55,90966
90968,55,90967
90969,12,90968
90970,13,90969
90971,13,90968
90972,13,90967
90973,56,90966
90974,55,90973
90975,12,90974
90976,13,90975
90977,13,90974
90978,57,90973
90979,0,90978
90980,13,90973
90981,0,90952
90982,0,90952
90983,0,90952
90984,87,90896
90985,89,90984
90986,90,90985
90987,90,90985
90988,90,90985
90989,17,90984
90990,0,90989
90991,93,90984
90992,76,90984
90993,41,90992
90994,12,90993
90995,13,90994
90996,49,90993
90997,0,90993
90998,91,90992
90999,0,90998
91000,17,90984
91001,52,91000
91002,55,91001
91003,12,91002
91004,13,91003
91005,13,91002
91006,0,91001
91007,12,91001
91008,13,91007
91009,12,91001
91010,13,91009
91011,12,91001
91012,13,91011
91013,65,90984
91014,12,91013
91015,14,91014
91016,52,91013
91017,12,91016
91018,13,91017
91019,12,91016
91020,13,91019
91021,12,91016
91022,13,91021
91023,12,91016
91024,13,91023
91025,91,90984
91026,12,91025
91027,13,91026
91028,87,90896
91029,89,91028
91030,17,91028
91031,0,91030
91032,91,91028
91033,12,91032
91034,13,91033
91035,87,90896
91036,89,91035
91037,17,91035
91038,0,91037
91039,93,91035
91040,76,91035
91041,41,91040
91042,12,91041
91043,13,91042
91044,49,91041
91045,0,91041
91046,91,91040
91047,17,91035
91048,52,91047
91049,55,91048
91050,12,91049
91051,13,91050
91052,13,91049
91053,0,91048
91054,65,91035
91055,12,91054
91056,14,91055
91057,52,91054
91058,12,91057
91059,13,91058
91060,87,90896
91061,89,91060
91062,17,91060
91063,0,91062
91064,91,91060
91065,12,91064
91066,13,91065
91067,95,90896
91068,17,91067
91069,0,91068
91070,87,91067
91071,89,91070
91072,90,91071
91073,90,91071
91074,90,91071
91075,90,91071
91076,90,91071
91077,90,91071
91078,90,91071
91079,90,91071
91080,0,91071
91081,0,91071
91082,0,91071
91083,0,91071
91084,0,91071
91085,17,91070
91086,52,91085
91087,55,91086
91088,12,91087
91089,13,91088
91090,13,91087
91091,0,91086
91092,55,91086
91093,55,91092
91094,12,91093
91095,13,91094
91096,13,91093
91097,13,91092
91098,12,91086
91099,13,91098
91100,12,91086
91101,13,91100
91102,12,91086
91103,13,91102
91104,12,91086
91105,13,91104
91106,12,91086
91107,13,91106
91108,12,91086
91109,13,91108
91110,12,91086
91111,13,91110
91112,65,91070
91113,55,91112
91114,12,91113
91115,13,91114
91116,14,91113
91117,12,91112
91118,13,91117
91119,65,91070
91120,55,91119
91121,12,91120
91122,13,91121
91123,14,91120
91124,52,91119
91125,55,91124
91126,12,91125
91127,13,91126
91128,13,91125
91129,65,91070
91130,55,91129
91131,12,91130
91132,13,91131
91133,14,91130
91134,52,91129
91135,55,91134
91136,12,91135
91137,13,91136
91138,13,91135
91139,12,91134
91140,13,91139
91141,12,91134
91142,13,91141
91143,12,91134
91144,13,91143
91145,12,91134
91146,13,91145
91147,12,91134
91148,13,91147
91149,12,91134
91150,13,91149
91151,65,91070
91152,55,91151
91153,12,91152
91154,13,91153
91155,14,91152
91156,52,91151
91157,52,91156
91158,12,91157
91159,13,91158
91160,12,91157
91161,13,91160
91162,52,91157
91163,55,91162
91164,0,91163
91165,13,91163
91166,52,91162
91167,55,91166
91168,55,91167
91169,12,91168
91170,13,91169
91171,13,91168
91172,13,91167
91173,17,91070
91174,52,91173
91175,55,91174
91176,12,91175
91177,13,91176
91178,13,91175
91179,0,91174
91180,55,91174
91181,55,91180
91182,12,91181
91183,13,91182
91184,13,91181
91185,13,91180
91186,87,91067
91187,89,91186
91188,90,91187
91189,17,91186
91190,0,91189
91191,65,91186
91192,12,91191
91193,14,91192
91194,7,91191
91195,0,91194
91196,0,91194
91197,13,91194
91198,65,91186
91199,12,91198
91200,14,91199
91201,9,91198
91202,0,91201
91203,0,91201
91204,0,91201
91205,0,91201
91206,0,91201
91207,0,91201
91208,0,91201
91209,0,91201
91210,0,91201
91211,0,91201
91212,0,91201
91213,7,91201
91214,12,91213
91215,13,91214
91216,13,91213
91217,6,91201
91218,7,91217
91219,0,91218
91220,0,91218
91221,13,91218
91222,12,91217
91223,13,91222
91224,13,91217
91225,6,91201
91226,7,91225
91227,0,91226
91228,0,91226
91229,13,91226
91230,12,91225
91231,13,91230
91232,13,91225
91233,6,91201
91234,7,91233
91235,0,91234
91236,0,91234
91237,13,91234
91238,12,91233
91239,13,91238
91240,13,91233
91241,6,91201
91242,7,91241
91243,0,91242
91244,0,91242
91245,13,91242
91246,12,91241
91247,13,91246
91248,13,91241
91249,6,91201
91250,7,91249
91251,0,91250
91252,0,91250
91253,13,91250
91254,12,91249
91255,13,91254
91256,13,91249
91257,6,91201
91258,7,91257
91259,0,91258
91260,0,91258
91261,13,91258
91262,7,91257
91263,0,91262
91264,0,91262
91265,13,91262
91266,7,91257
91267,0,91266
91268,0,91266
91269,13,91266
91270,7,91257
91271,0,91270
91272,0,91270
91273,13,91270
91274,12,91257
91275,13,91274
91276,13,91257
91277,6,91201
91278,7,91277
91279,0,91278
91280,0,91278
91281,13,91278
91282,12,91277
91283,13,91282
91284,13,91277
91285,6,91201
91286,7,91285
91287,0,91286
91288,0,91286
91289,13,91286
91290,12,91285
91291,13,91290
91292,13,91285
91293,6,91201
91294,7,91293
91295,0,91294
91296,0,91294
91297,13,91294
91298,12,91293
91299,13,91298
91300,13,91293
91301,6,91201
91302,7,91301
91303,0,91302
91304,0,91302
91305,13,91302
91306,7,91301
91307,0,91306
91308,0,91306
91309,13,91306
91310,7,91301
91311,0,91310
91312,0,91310
91313,13,91310
91314,7,91301
91315,0,91314
91316,0,91314
91317,13,91314
91318,7,91301
91319,0,91318
91320,0,91318
91321,13,91318
91322,7,91301
91323,0,91322
