node_id,class_name,parent_id
96082,100,-1
96083,17,96082
96084,0,96083
96085,73,96082
96086,75,96085
96087,73,96082
96088,75,96087
96089,73,96082
96090,75,96089
96091,73,96082
96092,75,96091
96093,74,96082
96094,75,96093
96095,75,96093
96096,73,96082
96097,75,96096
96098,74,96082
96099,75,96098
96100,74,96082
96101,75,96100
96102,73,96082
96103,75,96102
96104,74,96082
96105,75,96104
96106,74,96082
96107,75,96106
96108,75,96106
96109,75,96106
96110,75,96106
96111,76,96082
96112,41,96111
96113,55,96112
96114,12,96113
96115,13,96114
96116,13,96113
96117,42,96112
96118,0,96112
96119,73,96111
96120,75,96119
96121,65,96082
96122,12,96121
96123,14,96122
96124,52,96121
96125,55,96124
96126,12,96125
96127,13,96126
96128,13,96125
96129,12,96124
96130,13,96129
96131,95,96082
96132,17,96131
96133,0,96132
96134,87,96131
96135,89,96134
96136,90,96135
96137,17,96134
96138,52,96137
96139,55,96138
96140,12,96139
96141,13,96140
96142,13,96139
96143,0,96138
96144,55,96138
96145,55,96144
96146,12,96145
96147,13,96146
96148,13,96145
96149,13,96144
96150,65,96134
96151,55,96150
96152,12,96151
96153,13,96152
96154,14,96151
96155,55,96150
96156,52,96155
96157,12,96156
96158,13,96157
96159,13,96155
96160,17,96134
96161,52,96160
96162,55,96161
96163,12,96162
96164,13,96163
96165,13,96162
96166,65,96134
96167,55,96166
96168,12,96167
96169,13,96168
96170,14,96167
96171,52,96166
96172,55,96171
96173,55,96172
96174,12,96173
96175,13,96174
96176,13,96173
96177,13,96172
96178,52,96171
96179,55,96178
96180,55,96179
96181,12,96180
96182,13,96181
96183,13,96180
96184,13,96179
96185,56,96178
96186,55,96185
96187,12,96186
96188,13,96187
96189,13,96186
96190,57,96185
96191,0,96190
96192,13,96185
96193,65,96134
96194,55,96193
96195,12,96194
96196,13,96195
96197,14,96194
96198,0,96193
96199,65,96134
96200,55,96199
96201,12,96200
96202,13,96201
96203,14,96200
96204,55,96199
96205,52,96204
96206,12,96205
96207,13,96206
96208,13,96204
96209,65,96134
96210,55,96209
96211,12,96210
96212,13,96211
96213,14,96210
96214,52,96209
96215,12,96214
96216,13,96215
96217,65,96134
96218,55,96217
96219,12,96218
96220,13,96219
96221,14,96218
96222,52,96217
96223,12,96222
96224,13,96223
96225,12,96222
96226,13,96225
96227,17,96134
96228,52,96227
96229,55,96228
96230,12,96229
96231,13,96230
96232,13,96229
96233,0,96228
96234,55,96228
96235,55,96234
96236,12,96235
96237,13,96236
96238,13,96235
96239,13,96234
96240,87,96131
96241,89,96240
96242,90,96241
96243,17,96240
96244,0,96243
96245,17,96240
96246,52,96245
96247,55,96246
96248,12,96247
96249,13,96248
96250,13,96247
96251,0,96246
96252,17,96240
96253,52,96252
96254,55,96253
96255,56,96254
96256,55,96255
96257,12,96256
96258,13,96257
96259,13,96256
96260,57,96255
96261,0,96260
96262,13,96255
96263,13,96254
96264,0,96253
96265,55,96253
96266,12,96265
96267,13,96266
96268,13,96265
96269,17,96240
96270,52,96269
96271,55,96270
96272,56,96271
96273,55,96272
96274,12,96273
96275,13,96274
96276,13,96273
96277,57,96272
96278,0,96277
96279,13,96272
96280,13,96271
96281,0,96270
96282,55,96270
96283,12,96282
96284,13,96283
96285,13,96282
96286,87,96131
96287,89,96286
96288,90,96287
96289,90,96287
96290,17,96286
96291,0,96290
96292,76,96286
96293,19,96292
96294,22,96293
96295,52,96293
96296,55,96295
96297,56,96296
96298,55,96297
96299,12,96298
96300,13,96299
96301,13,96298
96302,57,96297
96303,0,96302
96304,13,96297
96305,13,96296
96306,91,96292
96307,65,96286
96308,7,96307
96309,12,96308
96310,14,96309
96311,12,96308
96312,14,96311
96313,14,96308
96314,52,96307
96315,55,96314
96316,52,96315
96317,55,96316
96318,56,96317
96319,55,96318
96320,12,96319
96321,13,96320
96322,13,96319
96323,57,96318
96324,0,96323
96325,13,96318
96326,13,96317
96327,13,96315
96328,0,96314
96329,76,96286
96330,52,96329
96331,55,96330
96332,56,96331
96333,55,96332
96334,12,96333
96335,13,96334
96336,13,96333
96337,57,96332
96338,0,96337
96339,13,96332
96340,13,96331
96341,17,96329
96342,52,96341
96343,55,96342
96344,55,96343
96345,12,96344
96346,13,96345
96347,13,96344
96348,13,96343
96349,65,96329
96350,55,96349
96351,12,96350
96352,13,96351
96353,14,96350
96354,12,96349
96355,13,96354
96356,65,96329
96357,12,96356
96358,14,96357
96359,52,96356
96360,55,96359
96361,12,96360
96362,13,96361
96363,13,96360
96364,12,96359
96365,13,96364
96366,17,96329
96367,52,96366
96368,55,96367
96369,55,96368
96370,12,96369
96371,13,96370
96372,13,96369
96373,13,96368
96374,12,96367
96375,13,96374
96376,12,96367
