node_id,class_name,parent_id
16495,100,-1
16496,17,16495
16497,0,16496
16498,73,16495
16499,75,16498
16500,76,16495
16501,41,16500
16502,55,16501
16503,12,16502
16504,13,16503
16505,13,16502
16506,42,16501
16507,0,16501
16508,73,16500
16509,75,16508
16510,73,16500
16511,75,16510
16512,73,16500
16513,75,16512
16514,73,16500
16515,75,16514
16516,74,16500
16517,75,16516
16518,95,16495
16519,17,16518
16520,0,16519
16521,87,16518
16522,89,16521
16523,90,16522
16524,90,16522
16525,0,16522
16526,65,16521
16527,55,16526
16528,12,16527
16529,13,16528
16530,14,16527
16531,12,16526
16532,13,16531
16533,76,16521
16534,38,16533
16535,40,16534
16536,41,16534
16537,55,16536
16538,12,16537
16539,13,16538
16540,13,16537
16541,42,16536
16542,0,16536
16543,55,16534
16544,12,16543
16545,13,16544
16546,13,16543
16547,72,16533
16548,65,16533
16549,55,16548
16550,12,16549
16551,13,16550
16552,14,16549
16553,52,16548
16554,55,16553
16555,55,16554
16556,12,16555
16557,13,16556
16558,13,16555
16559,13,16554
16560,65,16533
16561,55,16560
16562,12,16561
16563,13,16562
16564,14,16561
16565,52,16560
16566,55,16565
16567,12,16566
16568,13,16567
16569,13,16566
16570,55,16565
16571,12,16570
16572,13,16571
16573,13,16570
16574,65,16533
16575,55,16574
16576,12,16575
16577,13,16576
16578,14,16575
16579,52,16574
16580,55,16579
16581,12,16580
16582,13,16581
16583,13,16580
16584,55,16579
16585,12,16584
16586,13,16585
16587,13,16584
16588,65,16533
16589,56,16588
16590,55,16589
16591,12,16590
16592,13,16591
16593,13,16590
16594,57,16589
16595,0,16594
16596,14,16589
16597,24,16588
16598,24,16597
16599,56,16598
16600,55,16599
16601,12,16600
16602,13,16601
16603,13,16600
16604,57,16599
16605,0,16604
16606,13,16599
16607,36,16598
16608,19,16598
16609,23,16608
16610,55,16608
16611,12,16610
16612,13,16611
16613,13,16610
16614,36,16597
16615,19,16597
16616,23,16615
16617,55,16615
16618,12,16617
16619,13,16618
16620,13,16617
16621,17,16533
16622,52,16621
16623,55,16622
16624,12,16623
16625,13,16624
16626,13,16623
16627,55,16622
16628,12,16627
16629,13,16628
16630,13,16627
16631,55,16622
16632,12,16631
16633,13,16632
16634,13,16631
16635,55,16622
16636,12,16635
16637,13,16636
16638,13,16635
16639,17,16533
16640,52,16639
16641,55,16640
16642,12,16641
16643,13,16642
16644,13,16641
16645,55,16640
16646,12,16645
16647,13,16646
16648,13,16645
16649,87,16518
16650,89,16649
16651,90,16650
16652,17,16649
16653,0,16652
16654,76,16649
16655,38,16654
16656,40,16655
16657,41,16655
16658,55,16657
16659,12,16658
16660,13,16659
16661,13,16658
16662,42,16657
16663,0,16657
16664,55,16655
16665,12,16664
16666,13,16665
16667,13,16664
16668,72,16654
16669,17,16654
16670,52,16669
16671,55,16670
16672,12,16671
16673,13,16672
16674,13,16671
16675,55,16670
16676,12,16675
16677,13,16676
16678,13,16675
16679,55,16670
16680,12,16679
16681,13,16680
16682,13,16679
16683,55,16670
16684,12,16683
16685,13,16684
16686,13,16683
16687,87,16518
16688,89,16687
16689,90,16688
16690,17,16687
16691,0,16690
16692,76,16687
16693,38,16692
16694,39,16693
16695,55,16693
16696,12,16695
16697,13,16696
16698,13,16695
16699,41,16693
16700,55,16699
16701,12,16700
16702,13,16701
16703,13,16700
16704,43,16699
16705,0,16699
16706,91,16692
16707,0,16706
16708,76,16687
16709,41,16708
16710,55,16709
16711,12,16710
16712,13,16711
16713,13,16710
16714,42,16709
16715,0,16709
16716,91,16708
16717,52,16716
16718,55,16717
16719,52,16718
16720,55,16719
16721,12,16720
16722,13,16721
16723,13,16720
16724,13,16718
16725,0,16717
16726,91,16687
16727,52,16726
16728,55,16727
16729,55,16728
16730,12,16729
16731,13,16730
16732,13,16729
16733,13,16728
16734,0,16727
16735,87,16518
16736,89,16735
16737,90,16736
16738,17,16735
16739,0,16738
16740,76,16735
16741,55,16740
16742,12,16741
16743,13,16742
16744,13,16741
16745,91,16740
16746,0,16745
16747,76,16735
16748,41,16747
16749,55,16748
16750,12,16749
16751,13,16750
16752,13,16749
16753,42,16748
16754,0,16748
16755,17,16747
16756,52,16755
16757,55,16756
16758,12,16757
16759,13,16758
16760,13,16757
16761,65,16747
16762,12,16761
16763,14,16762
16764,52,16761
16765,55,16764
16766,12,16765
16767,13,16766
16768,13,16765
16769,65,16747
16770,12,16769
16771,14,16770
16772,6,16769
16773,0,16772
16774,0,16772
16775,0,16772
16776,0,16772
16777,13,16772
16778,65,16747
16779,12,16778
16780,14,16779
16781,56,16778
16782,52,16781
16783,55,16782
16784,55,16783
16785,12,16784
16786,13,16785
16787,13,16784
16788,13,16783
16789,0,16782
16790,57,16781
16791,0,16790
16792,13,16781
16793,65,16747
16794,12,16793
16795,14,16794
16796,6,16793
16797,0,16796
16798,0,16796
16799,0,16796
16800,0,16796
16801,13,16796
16802,91,16735
16803,52,16802
16804,55,16803
16805,12,16804
16806,13,16805
16807,13,16804
16808,52,16803
16809,12,16808
16810,13,16809
16811,52,16808
16812,55,16811
16813,12,16812
16814,13,16813
16815,13,16812
16816,0,16811
16817,87,16518
16818,89,16817
16819,90,16818
16820,17,16817
16821,0,16820
16822,76,16817
16823,38,16822
16824,39,16823
16825,55,16823
16826,12,16825
16827,13,16826
16828,13,16825
16829,41,16823
16830,55,16829
16831,12,16830
16832,13,16831
16833,13,16830
16834,43,16829
16835,0,16829
16836,91,16822
16837,0,16836
16838,76,16817
16839,41,16838
16840,55,16839
16841,12,16840
16842,13,16841
16843,13,16840
16844,42,16839
16845,0,16839
16846,91,16838
16847,52,16846
16848,55,16847
16849,12,16848
16850,13,16849
16851,13,16848
16852,65,16817
16853,7,16852
16854,12,16853
16855,14,16854
16856,12,16853
16857,14,16856
16858,12,16853
16859,14,16858
16860,14,16853
16861,52,16852
16862,12,16861
16863,13,16862
16864,6,16861
16865,55,16864
16866,12,16865
16867,13,16866
16868,13,16865
16869,13,16864
16870,6,16861
16871,13,16870
16872,6,16861
16873,13,16872
16874,0,16861
16875,91,16817
16876,41,16875
16877,12,16876
16878,13,16877
16879,43,16876
16880,6,16876
16881,13,16880
