node_id,class_name,parent_id
20055,100,-1
20056,17,20055
20057,0,20056
20058,73,20055
20059,75,20058
20060,87,20055
20061,89,20060
20062,90,20061
20063,90,20061
20064,90,20061
20065,90,20061
20066,90,20061
20067,0,20061
20068,0,20061
20069,0,20061
20070,17,20060
20071,0,20070
20072,76,20060
20073,41,20072
20074,52,20073
20075,55,20074
20076,12,20075
20077,13,20076
20078,13,20075
20079,43,20073
20080,0,20073
20081,69,20072
20082,52,20081
20083,12,20082
20084,13,20083
20085,0,20082
20086,76,20060
20087,41,20086
20088,12,20087
20089,13,20088
20090,43,20087
20091,0,20087
20092,69,20086
20093,52,20092
20094,12,20093
20095,13,20094
20096,0,20093
20097,91,20060
20098,52,20097
20099,55,20098
20100,55,20099
20101,12,20100
20102,13,20101
20103,13,20100
20104,13,20099
20105,12,20098
20106,13,20105
20107,12,20098
20108,13,20107
20109,87,20055
20110,89,20109
20111,90,20110
20112,17,20109
20113,0,20112
20114,91,20109
20115,52,20114
20116,12,20115
20117,13,20116
20118,12,20115
20119,13,20118
20120,55,20115
20121,55,20120
20122,12,20121
20123,13,20122
20124,13,20121
20125,13,20120
