node_id,class_name,parent_id
31821,100,-1
31822,17,31821
31823,0,31822
31824,73,31821
31825,75,31824
31826,73,31821
31827,75,31826
31828,73,31821
31829,75,31828
31830,73,31821
31831,75,31830
31832,73,31821
31833,75,31832
31834,74,31821
31835,75,31834
31836,74,31821
31837,75,31836
31838,65,31821
31839,12,31838
31840,14,31839
31841,52,31838
31842,55,31841
31843,12,31842
31844,13,31843
31845,13,31842
31846,12,31841
31847,13,31846
31848,95,31821
31849,17,31848
31850,0,31849
31851,87,31848
31852,89,31851
31853,90,31852
31854,90,31852
31855,0,31852
31856,17,31851
31857,52,31856
31858,55,31857
31859,12,31858
31860,13,31859
31861,13,31858
31862,0,31857
31863,55,31857
31864,55,31863
31865,12,31864
31866,13,31865
31867,13,31864
31868,13,31863
31869,12,31857
31870,13,31869
31871,65,31851
31872,12,31871
31873,14,31872
31874,0,31871
31875,65,31851
31876,12,31875
31877,14,31876
31878,6,31875
31879,0,31878
31880,0,31878
31881,13,31878
31882,65,31851
31883,55,31882
31884,12,31883
31885,13,31884
31886,14,31883
31887,0,31882
31888,65,31851
31889,55,31888
31890,12,31889
31891,13,31890
31892,14,31889
31893,6,31888
31894,0,31893
31895,0,31893
31896,0,31893
31897,13,31893
31898,65,31851
31899,55,31898
31900,12,31899
31901,13,31900
31902,14,31899
31903,52,31898
31904,55,31903
31905,12,31904
31906,13,31905
31907,13,31904
31908,12,31903
31909,13,31908
31910,12,31903
31911,13,31910
31912,12,31903
31913,13,31912
31914,17,31851
31915,52,31914
31916,55,31915
31917,12,31916
31918,13,31917
31919,13,31916
31920,0,31915
31921,55,31915
31922,55,31921
31923,12,31922
31924,13,31923
31925,13,31922
31926,13,31921
31927,87,31848
31928,89,31927
31929,90,31928
31930,90,31928
31931,90,31928
31932,90,31928
31933,17,31927
31934,0,31933
31935,65,31927
31936,12,31935
31937,14,31936
31938,52,31935
31939,55,31938
31940,55,31939
31941,12,31940
31942,13,31941
31943,13,31940
31944,13,31939
31945,52,31938
31946,55,31945
31947,55,31946
31948,12,31947
31949,13,31948
31950,13,31947
31951,13,31946
31952,56,31945
31953,55,31952
31954,12,31953
31955,13,31954
31956,13,31953
31957,57,31952
31958,0,31957
31959,13,31952
31960,65,31927
31961,12,31960
31962,14,31961
31963,52,31960
31964,55,31963
31965,55,31964
31966,12,31965
31967,13,31966
31968,13,31965
31969,13,31964
31970,12,31963
31971,13,31970
31972,0,31963
31973,0,31963
31974,0,31963
31975,0,31963
31976,65,31927
31977,12,31976
31978,14,31977
31979,55,31976
31980,52,31979
31981,12,31980
31982,13,31981
31983,12,31980
31984,13,31983
31985,12,31980
31986,13,31985
31987,12,31980
31988,13,31987
31989,13,31979
31990,65,31927
31991,12,31990
31992,14,31991
31993,52,31990
31994,55,31993
31995,55,31994
31996,12,31995
31997,13,31996
31998,13,31995
31999,13,31994
32000,56,31993
32001,12,32000
32002,13,32001
32003,57,32000
32004,0,32003
32005,13,32000
32006,56,31993
32007,12,32006
32008,13,32007
32009,57,32006
32010,0,32009
32011,13,32006
32012,17,31927
32013,52,32012
32014,55,32013
32015,12,32014
32016,13,32015
32017,13,32014
32018,52,32013
32019,55,32018
32020,12,32019
32021,13,32020
32022,13,32019
32023,12,32018
32024,13,32023
32025,91,31927
32026,12,32025
32027,13,32026
32028,87,31848
32029,89,32028
32030,90,32029
32031,17,32028
32032,0,32031
32033,76,32028
32034,41,32033
32035,12,32034
32036,13,32035
32037,42,32034
32038,0,32034
32039,17,32033
32040,52,32039
32041,55,32040
32042,12,32041
32043,13,32042
32044,13,32041
32045,0,32040
32046,65,32028
32047,12,32046
32048,14,32047
32049,52,32046
32050,12,32049
32051,13,32050
32052,55,32049
32053,12,32052
32054,13,32053
32055,13,32052
32056,52,32049
32057,55,32056
32058,0,32057
32059,13,32057
32060,12,32056
32061,13,32060
32062,91,32028
32063,12,32062
32064,13,32063
32065,12,32028
32066,13,32065
32067,87,31848
32068,89,32067
32069,90,32068
32070,90,32068
32071,17,32067
32072,0,32071
32073,76,32067
32074,41,32073
32075,56,32074
32076,55,32075
32077,12,32076
32078,13,32077
32079,13,32076
32080,57,32075
32081,0,32080
32082,13,32075
32083,43,32074
32084,55,32074
32085,12,32084
32086,13,32085
32087,13,32084
32088,65,32073
32089,12,32088
32090,14,32089
32091,52,32088
32092,55,32091
32093,12,32092
32094,13,32093
32095,13,32092
32096,12,32091
32097,13,32096
32098,65,32067
32099,12,32098
32100,14,32099
32101,52,32098
32102,55,32101
32103,55,32102
32104,12,32103
32105,13,32104
32106,13,32103
32107,13,32102
32108,56,32101
32109,12,32108
32110,13,32109
32111,59,32108
32112,57,32111
32113,0,32112
32114,58,32111
32115,0,32114
32116,13,32108
32117,0,32101
32118,7,32101
32119,55,32118
32120,12,32119
32121,13,32120
32122,13,32119
32123,55,32118
32124,12,32123
32125,13,32124
32126,13,32123
32127,13,32118
32128,55,32101
32129,12,32128
32130,13,32129
32131,13,32128
32132,0,32101
32133,0,32101
32134,17,32067
32135,52,32134
32136,55,32135
32137,55,32136
32138,12,32137
32139,13,32138
32140,13,32137
32141,13,32136
