node_id,class_name,parent_id
104661,100,-1
104662,17,104661
104663,0,104662
104664,74,104661
104665,75,104664
104666,73,104661
104667,75,104666
104668,73,104661
104669,75,104668
104670,73,104661
104671,75,104670
104672,74,104661
104673,75,104672
104674,74,104661
104675,75,104674
104676,74,104661
104677,75,104676
104678,74,104661
104679,75,104678
104680,65,104661
104681,12,104680
104682,14,104681
104683,52,104680
104684,55,104683
104685,12,104684
104686,13,104685
104687,13,104684
104688,12,104683
104689,13,104688
104690,95,104661
104691,17,104690
104692,0,104691
104693,87,104690
104694,89,104693
104695,90,104694
104696,90,104694
104697,90,104694
104698,90,104694
104699,90,104694
104700,0,104694
104701,0,104694
104702,0,104694
104703,0,104694
104704,65,104693
104705,55,104704
104706,12,104705
104707,13,104706
104708,14,104705
104709,0,104704
104710,65,104693
104711,55,104710
104712,12,104711
104713,13,104712
104714,14,104711
104715,12,104710
104716,13,104715
104717,65,104693
104718,55,104717
104719,12,104718
104720,13,104719
104721,14,104718
104722,12,104717
104723,13,104722
104724,65,104693
104725,55,104724
104726,12,104725
104727,13,104726
104728,14,104725
104729,12,104724
104730,13,104729
104731,65,104693
104732,55,104731
104733,12,104732
104734,13,104733
104735,14,104732
104736,12,104731
104737,13,104736
104738,65,104693
104739,55,104738
104740,12,104739
104741,13,104740
104742,14,104739
104743,24,104738
104744,24,104743
104745,55,104744
104746,12,104745
104747,13,104746
104748,13,104745
104749,27,104744
104750,55,104744
104751,12,104750
104752,13,104751
104753,13,104750
104754,31,104743
104755,0,104743
104756,65,104693
104757,55,104756
104758,12,104757
104759,13,104758
104760,14,104757
104761,24,104756
104762,24,104761
104763,55,104762
104764,12,104763
104765,13,104764
104766,13,104763
104767,27,104762
104768,55,104762
104769,12,104768
104770,13,104769
104771,13,104768
104772,31,104761
104773,0,104761
104774,65,104693
104775,55,104774
104776,12,104775
104777,13,104776
104778,14,104775
104779,52,104774
104780,55,104779
104781,12,104780
104782,13,104781
104783,13,104780
104784,87,104690
104785,89,104784
104786,90,104785
104787,17,104784
104788,0,104787
104789,91,104784
104790,52,104789
104791,55,104790
104792,12,104791
104793,13,104792
104794,13,104791
104795,12,104790
104796,13,104795
104797,12,104784
104798,13,104797
104799,87,104690
104800,89,104799
104801,90,104800
104802,90,104800
104803,90,104800
104804,17,104799
104805,0,104804
104806,65,104799
104807,12,104806
104808,14,104807
104809,6,104806
104810,55,104809
104811,12,104810
104812,13,104811
104813,13,104810
104814,55,104809
104815,12,104814
104816,13,104815
