node_id,class_name,parent_id
119966,100,-1
119967,17,119966
119968,0,119967
119969,73,119966
119970,75,119969
119971,73,119966
119972,75,119971
119973,74,119966
119974,75,119973
119975,65,119966
119976,12,119975
119977,14,119976
119978,52,119975
119979,55,119978
119980,12,119979
119981,13,119980
119982,13,119979
119983,12,119978
119984,13,119983
119985,87,119966
119986,89,119985
119987,90,119986
119988,90,119986
119989,0,119986
119990,17,119985
119991,0,119990
119992,91,119985
119993,55,119992
119994,52,119993
119995,12,119994
119996,13,119995
119997,12,119994
119998,13,119997
119999,53,119994
120000,12,119999
120001,13,120000
120002,13,119993
120003,95,119966
120004,17,120003
120005,0,120004
120006,87,120003
120007,89,120006
120008,90,120007
120009,90,120007
120010,90,120007
120011,90,120007
120012,90,120007
120013,0,120007
120014,0,120007
120015,17,120006
120016,52,120015
120017,55,120016
120018,12,120017
120019,13,120018
120020,13,120017
120021,0,120016
120022,55,120016
120023,55,120022
120024,12,120023
120025,13,120024
120026,13,120023
120027,13,120022
120028,12,120016
120029,13,120028
120030,12,120016
120031,13,120030
120032,12,120016
120033,13,120032
120034,12,120016
120035,13,120034
120036,65,120006
120037,55,120036
120038,12,120037
120039,13,120038
120040,14,120037
120041,52,120036
120042,55,120041
120043,12,120042
120044,13,120043
120045,13,120042
120046,12,120041
120047,13,120046
120048,12,120041
120049,13,120048
120050,17,120006
120051,52,120050
120052,55,120051
120053,12,120052
120054,13,120053
120055,13,120052
120056,0,120051
120057,55,120051
120058,12,120057
120059,13,120058
120060,13,120057
120061,65,120006
120062,55,120061
120063,12,120062
120064,13,120063
120065,14,120062
120066,12,120061
120067,13,120066
120068,65,120006
120069,55,120068
120070,12,120069
120071,13,120070
120072,14,120069
120073,52,120068
120074,55,120073
120075,12,120074
120076,13,120075
120077,13,120074
120078,7,120073
120079,12,120078
120080,13,120079
120081,12,120078
120082,13,120081
120083,0,120078
120084,13,120078
120085,53,120073
120086,0,120085
120087,17,120006
120088,52,120087
120089,55,120088
120090,12,120089
120091,13,120090
120092,13,120089
120093,0,120088
120094,55,120088
120095,55,120094
120096,12,120095
120097,13,120096
120098,13,120095
120099,13,120094
120100,87,120003
120101,89,120100
120102,90,120101
120103,17,120100
120104,0,120103
120105,91,120100
120106,55,120105
120107,12,120106
120108,13,120107
120109,13,120106
120110,12,120100
120111,13,120110
120112,87,120003
120113,89,120112
120114,90,120113
120115,17,120112
120116,0,120115
120117,91,120112
120118,41,120117
120119,52,120118
120120,55,120119
120121,55,120120
120122,12,120121
120123,13,120122
120124,13,120121
120125,13,120120
120126,0,120119
120127,0,120119
120128,48,120118
120129,0,120118
120130,12,120112
120131,13,120130
120132,87,120003
120133,89,120132
120134,90,120133
120135,90,120133
120136,90,120133
120137,17,120132
120138,0,120137
120139,65,120132
120140,12,120139
120141,14,120140
120142,52,120139
120143,55,120142
120144,0,120143
120145,13,120143
120146,56,120142
120147,52,120146
120148,55,120147
120149,55,120148
120150,12,120149
120151,13,120150
120152,13,120149
120153,13,120148
120154,0,120147
120155,58,120146
120156,19,120155
120157,21,120156
120158,0,120156
120159,13,120146
120160,76,120132
120161,41,120160
120162,12,120161
120163,13,120162
120164,48,120161
120165,0,120161
120166,65,120160
120167,12,120166
120168,14,120167
120169,52,120166
120170,12,120169
120171,13,120170
120172,12,120169
120173,13,120172
120174,53,120169
120175,12,120174
120176,13,120175
120177,65,120160
120178,55,120177
120179,12,120178
120180,13,120179
120181,14,120178
120182,12,120177
120183,13,120182
120184,65,120160
120185,12,120184
120186,14,120185
120187,55,120184
120188,12,120187
120189,13,120188
120190,13,120187
120191,65,120160
120192,55,120191
120193,12,120192
120194,13,120193
120195,14,120192
120196,0,120191
120197,17,120132
120198,52,120197
120199,55,120198
120200,12,120199
120201,13,120200
120202,13,120199
120203,0,120198
120204,12,120198
120205,13,120204
120206,91,120132
120207,12,120206
120208,13,120207
120209,87,120003
120210,89,120209
120211,90,120210
120212,90,120210
120213,90,120210
120214,17,120209
120215,0,120214
120216,69,120209
120217,12,120216
120218,13,120217
120219,87,120003
120220,89,120219
120221,90,120220
120222,90,120220
120223,90,120220
120224,17,120219
120225,0,120224
120226,17,120219
120227,52,120226
120228,55,120227
120229,12,120228
120230,13,120229
120231,13,120228
120232,0,120227
120233,55,120227
120234,12,120233
120235,13,120234
120236,13,120233
120237,12,120227
120238,13,120237
120239,12,120227
120240,13,120239
120241,65,120219
120242,12,120241
120243,14,120242
120244,52,120241
120245,55,120244
120246,12,120245
120247,13,120246
120248,13,120245
120249,16,120244
120250,12,120249
120251,13,120250
120252,13,120249
120253,53,120244
120254,12,120253
120255,13,120254
120256,91,120219
120257,12,120256
120258,13,120257
