node_id,class_name,parent_id
124335,100,-1
124336,17,124335
124337,0,124336
124338,73,124335
124339,75,124338
124340,73,124335
124341,75,124340
124342,73,124335
124343,75,124342
124344,74,124335
124345,75,124344
124346,65,124335
124347,12,124346
124348,14,124347
124349,52,124346
124350,55,124349
124351,12,124350
124352,13,124351
124353,13,124350
124354,12,124349
124355,13,124354
124356,87,124335
124357,89,124356
124358,90,124357
124359,90,124357
124360,0,124357
124361,17,124356
124362,0,124361
124363,91,124356
124364,55,124363
124365,52,124364
124366,12,124365
124367,13,124366
124368,12,124365
124369,13,124368
124370,53,124365
124371,12,124370
124372,13,124371
124373,13,124364
124374,95,124335
124375,17,124374
124376,0,124375
124377,87,124374
124378,89,124377
124379,90,124378
124380,90,124378
124381,90,124378
124382,0,124378
124383,17,124377
124384,52,124383
124385,55,124384
124386,12,124385
124387,13,124386
124388,13,124385
124389,0,124384
124390,55,124384
124391,55,124390
124392,12,124391
124393,13,124392
124394,13,124391
124395,13,124390
124396,12,124384
124397,13,124396
124398,65,124377
124399,55,124398
124400,12,124399
124401,13,124400
124402,14,124399
124403,52,124398
124404,12,124403
124405,13,124404
124406,52,124403
124407,55,124406
124408,0,124407
124409,13,124407
124410,56,124406
124411,52,124410
124412,55,124411
124413,55,124412
124414,12,124413
124415,13,124414
124416,13,124413
124417,13,124412
124418,0,124411
124419,58,124410
124420,19,124419
124421,21,124420
124422,0,124420
124423,13,124410
124424,53,124403
124425,12,124424
124426,13,124425
124427,17,124377
124428,52,124427
124429,55,124428
124430,12,124429
124431,13,124430
124432,13,124429
124433,0,124428
124434,55,124428
124435,12,124434
124436,13,124435
124437,13,124434
124438,65,124377
124439,55,124438
124440,12,124439
124441,13,124440
124442,14,124439
124443,12,124438
124444,13,124443
124445,65,124377
124446,55,124445
124447,12,124446
124448,13,124447
124449,14,124446
124450,0,124445
124451,65,124377
124452,55,124451
124453,12,124452
124454,13,124453
124455,14,124452
124456,52,124451
124457,55,124456
124458,12,124457
124459,13,124458
124460,13,124457
124461,0,124456
124462,65,124377
124463,55,124462
124464,12,124463
124465,13,124464
124466,14,124463
124467,52,124462
124468,12,124467
124469,13,124468
124470,17,124377
124471,52,124470
124472,55,124471
124473,12,124472
124474,13,124473
124475,13,124472
124476,0,124471
124477,55,124471
124478,55,124477
124479,12,124478
124480,13,124479
124481,13,124478
124482,13,124477
124483,87,124374
124484,89,124483
124485,90,124484
124486,17,124483
124487,0,124486
124488,65,124483
124489,12,124488
124490,14,124489
124491,52,124488
124492,12,124491
124493,13,124492
124494,12,124491
124495,13,124494
124496,0,124491
124497,91,124483
124498,12,124497
124499,13,124498
124500,12,124483
124501,13,124500
124502,87,124374
124503,89,124502
124504,90,124503
124505,90,124503
124506,17,124502
124507,0,124506
124508,65,124502
124509,12,124508
124510,14,124509
124511,56,124508
124512,52,124511
124513,55,124512
124514,55,124513
124515,12,124514
124516,13,124515
124517,13,124514
124518,13,124513
124519,52,124512
124520,55,124519
124521,55,124520
124522,12,124521
124523,13,124522
124524,13,124521
124525,13,124520
124526,12,124519
124527,13,124526
124528,57,124511
124529,0,124528
124530,13,124511
124531,65,124502
124532,12,124531
124533,14,124532
124534,52,124531
124535,55,124534
124536,0,124535
124537,13,124535
124538,12,124534
124539,13,124538
124540,56,124534
124541,55,124540
124542,12,124541
124543,13,124542
124544,13,124541
124545,57,124540
124546,0,124545
124547,13,124540
124548,65,124502
124549,12,124548
124550,14,124549
124551,52,124548
124552,55,124551
124553,55,124552
124554,12,124553
124555,13,124554
124556,13,124553
124557,13,124552
124558,55,124551
124559,12,124558
124560,13,124559
124561,13,124558
124562,12,124551
124563,13,124562
124564,17,124502
124565,52,124564
124566,55,124565
124567,12,124566
124568,13,124567
124569,13,124566
124570,0,124565
124571,12,124565
124572,13,124571
124573,12,124565
124574,13,124573
124575,91,124502
124576,12,124575
124577,13,124576
124578,87,124374
124579,89,124578
124580,90,124579
124581,90,124579
124582,90,124579
124583,17,124578
124584,0,124583
124585,65,124578
124586,12,124585
124587,14,124586
124588,52,124585
124589,12,124588
124590,13,124589
124591,52,124588
124592,55,124591
124593,52,124592
124594,55,124593
124595,12,124594
124596,13,124595
124597,13,124594
124598,55,124593
124599,12,124598
124600,13,124599
124601,13,124598
124602,12,124593
124603,13,124602
124604,13,124592
124605,65,124578
124606,56,124605
124607,55,124606
124608,12,124607
124609,13,124608
124610,13,124607
124611,57,124606
124612,12,124611
124613,13,124612
124614,14,124606
124615,12,124605
124616,13,124615
124617,17,124578
124618,52,124617
124619,55,124618
124620,12,124619
124621,13,124620
124622,13,124619
124623,0,124618
124624,12,124618
124625,13,124624
124626,17,124578
124627,52,124626
124628,55,124627
124629,12,124628
124630,13,124629
124631,13,124628
124632,0,124627
124633,52,124627
124634,12,124633
124635,13,124634
124636,52,124633
124637,55,124636
124638,55,124637
124639,12,124638
124640,13,124639
124641,13,124638
124642,13,124637
124643,87,124374
124644,89,124643
124645,90,124644
124646,90,124644
124647,90,124644
124648,17,124643
124649,0,124648
124650,69,124643
124651,12,124650
124652,13,124651
124653,87,124374
124654,89,124653
124655,90,124654
124656,90,124654
124657,17,124653
124658,0,124657
124659,91,124653
124660,0,124659
124661,87,124374
124662,89,124661
124663,90,124662
124664,17,124661
124665,0,124664
124666,69,124661
124667,12,124666
124668,13,124667
