node_id,class_name,parent_id
122304,100,-1
122305,17,122304
122306,0,122305
122307,65,122304
122308,12,122307
122309,14,122308
122310,0,122307
122311,65,122304
122312,12,122311
122313,14,122312
122314,52,122311
122315,12,122314
122316,13,122315
122317,53,122314
122318,52,122317
122319,12,122318
122320,13,122319
122321,53,122318
122322,0,122321
122323,53,122318
122324,0,122323
122325,53,122318
122326,12,122325
122327,13,122326
122328,53,122318
122329,0,122328
122330,53,122318
122331,0,122330
122332,53,122318
122333,6,122332
122334,0,122333
122335,0,122333
122336,0,122333
122337,0,122333
122338,0,122333
122339,0,122333
122340,0,122333
122341,13,122333
122342,53,122318
122343,0,122342
122344,53,122314
122345,52,122344
122346,12,122345
122347,13,122346
122348,53,122345
122349,0,122348
122350,53,122345
122351,0,122350
122352,53,122345
122353,12,122352
122354,13,122353
122355,53,122345
122356,0,122355
122357,53,122345
122358,0,122357
122359,53,122345
122360,6,122359
122361,0,122360
122362,0,122360
122363,13,122360
122364,53,122345
122365,0,122364
122366,53,122314
122367,52,122366
122368,12,122367
122369,13,122368
122370,53,122367
122371,0,122370
122372,53,122367
122373,0,122372
122374,53,122367
122375,12,122374
122376,13,122375
122377,53,122367
122378,0,122377
122379,53,122367
122380,7,122379
122381,0,122380
122382,0,122380
122383,13,122380
122384,53,122367
122385,6,122384
122386,13,122385
122387,53,122367
122388,0,122387
122389,53,122367
122390,0,122389
122391,53,122314
122392,52,122391
122393,12,122392
122394,13,122393
122395,53,122392
122396,0,122395
122397,53,122392
122398,0,122397
122399,53,122392
122400,12,122399
122401,13,122400
122402,53,122392
122403,0,122402
122404,53,122392
122405,0,122404
122406,53,122392
122407,6,122406
122408,0,122407
122409,0,122407
122410,0,122407
122411,0,122407
122412,0,122407
122413,0,122407
122414,0,122407
122415,0,122407
122416,0,122407
122417,13,122407
122418,53,122392
122419,0,122418
122420,53,122392
122421,0,122420
122422,53,122314
122423,52,122422
122424,12,122423
122425,13,122424
122426,53,122423
122427,0,122426
122428,53,122423
122429,0,122428
122430,53,122423
122431,12,122430
122432,13,122431
122433,53,122423
122434,0,122433
122435,53,122423
122436,0,122435
122437,53,122423
122438,6,122437
122439,0,122438
122440,0,122438
122441,0,122438
122442,0,122438
122443,0,122438
122444,0,122438
122445,0,122438
122446,13,122438
122447,53,122423
122448,0,122447
122449,53,122423
122450,0,122449
122451,53,122314
122452,52,122451
122453,12,122452
122454,13,122453
122455,53,122452
122456,0,122455
122457,53,122452
122458,0,122457
122459,53,122452
122460,12,122459
122461,13,122460
122462,53,122452
122463,0,122462
122464,53,122452
122465,0,122464
122466,53,122452
122467,6,122466
122468,0,122467
122469,0,122467
122470,0,122467
122471,0,122467
122472,0,122467
122473,0,122467
122474,0,122467
122475,13,122467
122476,53,122452
122477,0,122476
122478,53,122452
122479,0,122478
122480,53,122314
122481,52,122480
122482,12,122481
122483,13,122482
122484,53,122481
122485,0,122484
122486,53,122481
122487,0,122486
122488,53,122481
122489,12,122488
122490,13,122489
122491,53,122481
122492,0,122491
122493,53,122481
122494,0,122493
122495,53,122481
122496,6,122495
122497,0,122496
122498,0,122496
122499,0,122496
122500,0,122496
122501,0,122496
122502,0,122496
122503,0,122496
122504,0,122496
122505,0,122496
122506,0,122496
122507,0,122496
122508,0,122496
122509,0,122496
122510,0,122496
122511,0,122496
122512,0,122496
122513,0,122496
122514,0,122496
122515,0,122496
122516,0,122496
122517,0,122496
122518,13,122496
122519,53,122481
122520,0,122519
122521,53,122481
122522,0,122521
122523,53,122314
122524,52,122523
122525,12,122524
122526,13,122525
122527,53,122524
122528,0,122527
122529,53,122524
122530,0,122529
122531,53,122524
122532,12,122531
122533,13,122532
122534,53,122524
122535,0,122534
