node_id,class_name,parent_id
132533,100,-1
132534,17,132533
132535,0,132534
132536,65,132533
132537,12,132536
132538,14,132537
132539,0,132536
132540,65,132533
132541,12,132540
132542,14,132541
132543,9,132540
132544,0,132543
132545,52,132543
132546,12,132545
132547,13,132546
132548,53,132545
132549,0,132548
132550,53,132545
132551,0,132550
132552,53,132545
132553,12,132552
132554,13,132553
132555,53,132545
132556,0,132555
132557,53,132545
132558,7,132557
132559,0,132558
132560,0,132558
132561,13,132558
132562,53,132545
132563,6,132562
132564,13,132563
132565,53,132545
132566,0,132565
132567,53,132545
132568,0,132567
