node_id,class_name,parent_id
146407,100,-1
146408,17,146407
146409,0,146408
146410,65,146407
146411,12,146410
146412,14,146411
146413,0,146410
146414,65,146407
146415,12,146414
146416,14,146415
146417,9,146414
146418,0,146417
146419,9,146417
146420,0,146419
146421,0,146419
146422,0,146419
146423,0,146419
146424,0,146419
146425,0,146419
146426,0,146419
146427,0,146419
146428,0,146419
146429,0,146419
146430,12,146419
146431,13,146430
146432,0,146419
146433,7,146419
146434,0,146433
146435,0,146433
146436,13,146433
146437,6,146419
146438,13,146437
146439,0,146419
146440,0,146419
