node_id,class_name,parent_id
115546,100,-1
115547,17,115546
115548,0,115547
115549,73,115546
115550,75,115549
115551,73,115546
115552,75,115551
115553,74,115546
115554,75,115553
115555,65,115546
115556,12,115555
115557,14,115556
115558,52,115555
115559,55,115558
115560,12,115559
115561,13,115560
115562,13,115559
115563,12,115558
115564,13,115563
115565,95,115546
115566,17,115565
115567,0,115566
115568,87,115565
115569,89,115568
115570,90,115569
115571,90,115569
115572,0,115569
115573,17,115568
115574,0,115573
115575,91,115568
115576,52,115575
115577,55,115576
115578,12,115577
115579,13,115578
115580,13,115577
115581,0,115576
115582,12,115576
115583,13,115582
115584,12,115576
115585,13,115584
115586,12,115568
115587,13,115586
115588,87,115565
115589,89,115588
115590,90,115589
115591,90,115589
115592,0,115589
115593,17,115588
115594,0,115593
115595,91,115588
115596,52,115595
115597,55,115596
115598,12,115597
115599,13,115598
115600,13,115597
115601,0,115596
115602,12,115596
115603,13,115602
115604,12,115596
115605,13,115604
115606,12,115588
115607,13,115606
115608,87,115565
115609,89,115608
115610,90,115609
115611,90,115609
115612,0,115609
115613,17,115608
115614,0,115613
115615,91,115608
115616,52,115615
115617,55,115616
115618,12,115617
115619,13,115618
115620,13,115617
115621,0,115616
115622,12,115616
115623,13,115622
115624,12,115616
115625,13,115624
115626,12,115608
115627,13,115626
115628,87,115565
115629,89,115628
115630,90,115629
115631,90,115629
115632,0,115629
115633,17,115628
115634,0,115633
115635,91,115628
115636,52,115635
115637,55,115636
115638,12,115637
115639,13,115638
115640,13,115637
115641,0,115636
115642,12,115636
115643,13,115642
115644,12,115636
115645,13,115644
115646,12,115628
115647,13,115646
115648,87,115565
115649,89,115648
115650,90,115649
115651,90,115649
115652,0,115649
115653,17,115648
115654,0,115653
115655,91,115648
115656,52,115655
115657,55,115656
115658,12,115657
115659,13,115658
115660,13,115657
115661,0,115656
115662,12,115656
115663,13,115662
115664,12,115656
115665,13,115664
115666,12,115648
115667,13,115666
115668,87,115565
115669,89,115668
115670,90,115669
115671,90,115669
115672,90,115669
115673,0,115669
115674,17,115668
115675,0,115674
115676,91,115668
115677,52,115676
115678,55,115677
115679,12,115678
115680,13,115679
115681,13,115678
115682,52,115677
115683,55,115682
115684,0,115683
115685,13,115683
115686,12,115682
115687,13,115686
115688,12,115677
115689,13,115688
115690,12,115677
115691,13,115690
115692,12,115668
115693,13,115692
115694,87,115565
115695,89,115694
115696,90,115695
115697,90,115695
115698,90,115695
115699,17,115694
115700,0,115699
115701,65,115694
115702,12,115701
115703,14,115702
115704,52,115701
115705,55,115704
115706,12,115705
115707,13,115706
115708,13,115705
115709,0,115704
115710,0,115704
115711,65,115694
115712,12,115711
115713,14,115712
115714,52,115711
115715,55,115714
115716,56,115715
115717,52,115716
115718,55,115717
115719,12,115718
115720,13,115719
115721,13,115718
115722,0,115717
115723,57,115716
115724,19,115723
115725,21,115724
115726,0,115724
115727,13,115716
115728,13,115715
115729,76,115694
115730,19,115729
115731,22,115730
115732,12,115730
115733,13,115732
115734,17,115729
115735,52,115734
115736,55,115735
115737,12,115736
115738,13,115737
115739,13,115736
115740,0,115735
115741,12,115735
115742,13,115741
115743,52,115735
115744,55,115743
115745,12,115744
115746,13,115745
115747,13,115744
115748,65,115694
115749,12,115748
115750,14,115749
115751,54,115748
115752,41,115751
115753,12,115752
115754,13,115753
115755,42,115752
115756,0,115752
115757,0,115751
115758,52,115751
115759,55,115758
115760,12,115759
115761,13,115760
115762,13,115759
115763,65,115694
115764,12,115763
115765,14,115764
115766,52,115763
115767,55,115766
115768,0,115767
115769,13,115767
115770,7,115766
115771,0,115770
115772,12,115770
115773,13,115772
115774,12,115770
115775,13,115774
115776,13,115770
115777,65,115694
115778,12,115777
115779,14,115778
115780,52,115777
115781,12,115780
115782,13,115781
115783,12,115780
115784,13,115783
115785,91,115694
115786,52,115785
115787,12,115786
115788,13,115787
115789,12,115786
115790,13,115789
115791,12,115786
115792,13,115791
115793,12,115694
115794,13,115793
115795,87,115565
115796,89,115795
115797,90,115796
115798,90,115796
115799,0,115796
115800,17,115795
115801,0,115800
115802,65,115795
115803,12,115802
115804,14,115803
115805,52,115802
115806,55,115805
115807,55,115806
115808,12,115807
115809,13,115808
115810,13,115807
115811,13,115806
115812,52,115805
115813,55,115812
115814,55,115813
115815,12,115814
115816,13,115815
115817,13,115814
115818,13,115813
115819,12,115812
115820,13,115819
115821,0,115805
