node_id,class_name,parent_id
159318,100,-1
159319,17,159318
159320,0,159319
159321,74,159318
159322,75,159321
159323,74,159318
159324,75,159323
159325,75,159323
159326,75,159323
159327,75,159323
159328,75,159323
159329,74,159318
159330,75,159329
159331,74,159318
159332,75,159331
159333,75,159331
159334,75,159331
159335,75,159331
159336,75,159331
159337,74,159318
159338,75,159337
159339,75,159337
159340,95,159318
159341,12,159340
159342,13,159341
159343,17,159340
159344,0,159343
159345,87,159340
159346,89,159345
159347,90,159346
159348,90,159346
159349,90,159346
159350,17,159345
159351,52,159350
159352,55,159351
159353,52,159352
159354,12,159353
159355,13,159354
159356,13,159352
159357,16,159351
159358,12,159357
159359,13,159358
159360,13,159357
159361,53,159351
159362,12,159361
159363,13,159362
159364,65,159345
159365,55,159364
159366,12,159365
159367,13,159366
159368,14,159365
159369,7,159364
159370,0,159369
159371,0,159369
159372,0,159369
159373,13,159369
159374,65,159345
159375,55,159374
159376,12,159375
159377,13,159376
159378,14,159375
159379,54,159374
159380,55,159379
159381,12,159380
159382,13,159381
159383,13,159380
159384,0,159379
159385,0,159379
159386,65,159345
159387,55,159386
159388,12,159387
159389,13,159388
159390,14,159387
159391,52,159386
159392,12,159391
159393,13,159392
159394,0,159391
159395,0,159391
159396,87,159340
159397,89,159396
159398,90,159397
159399,17,159396
159400,0,159399
159401,65,159396
159402,12,159401
159403,14,159402
159404,52,159401
159405,12,159404
159406,13,159405
159407,53,159404
159408,55,159407
159409,12,159408
159410,13,159409
159411,13,159408
159412,65,159396
159413,12,159412
159414,14,159413
159415,52,159412
159416,12,159415
159417,13,159416
159418,53,159415
159419,55,159418
159420,12,159419
159421,13,159420
159422,13,159419
159423,65,159396
159424,12,159423
159425,14,159424
159426,56,159423
159427,55,159426
159428,12,159427
159429,13,159428
159430,13,159427
159431,57,159426
159432,0,159431
159433,13,159426
159434,76,159396
159435,41,159434
159436,56,159435
159437,55,159436
159438,12,159437
159439,13,159438
159440,13,159437
159441,57,159436
159442,0,159441
159443,13,159436
159444,46,159435
159445,0,159435
159446,65,159434
159447,12,159446
159448,14,159447
159449,24,159446
159450,0,159449
159451,25,159449
159452,24,159449
159453,24,159452
159454,56,159453
159455,55,159454
159456,12,159455
159457,13,159456
159458,13,159455
159459,57,159454
159460,0,159459
159461,13,159454
159462,26,159453
159463,0,159453
159464,29,159452
159465,0,159452
159466,65,159396
159467,12,159466
159468,14,159467
159469,24,159466
159470,56,159469
159471,55,159470
159472,12,159471
159473,13,159472
159474,13,159471
159475,57,159470
159476,0,159475
159477,13,159470
159478,29,159469
159479,0,159469
159480,65,159396
159481,12,159480
159482,14,159481
159483,52,159480
159484,52,159483
159485,12,159484
159486,13,159485
159487,12,159484
159488,13,159487
159489,53,159484
159490,0,159489
159491,53,159484
159492,12,159491
159493,13,159492
159494,12,159483
159495,13,159494
159496,65,159396
159497,12,159496
159498,14,159497
159499,12,159496
159500,13,159499
159501,65,159396
159502,12,159501
159503,14,159502
159504,54,159501
159505,52,159504
159506,55,159505
159507,55,159506
159508,12,159507
159509,13,159508
159510,13,159507
159511,13,159506
159512,0,159505
159513,0,159505
159514,0,159504
159515,0,159504
159516,77,159396
159517,12,159516
159518,14,159517
159519,52,159516
159520,12,159519
159521,13,159520
159522,12,159519
159523,13,159522
159524,65,159516
159525,12,159524
159526,14,159525
159527,52,159524
159528,52,159527
159529,12,159528
159530,13,159529
159531,12,159528
159532,13,159531
159533,53,159528
159534,12,159533
159535,13,159534
159536,12,159527
159537,13,159536
159538,65,159516
159539,12,159538
159540,14,159539
159541,12,159538
159542,13,159541
159543,65,159396
159544,12,159543
159545,14,159544
159546,52,159543
159547,12,159546
159548,13,159547
159549,6,159546
159550,12,159549
159551,13,159550
159552,12,159549
159553,13,159552
159554,13,159549
159555,65,159396
159556,12,159555
159557,14,159556
159558,52,159555
159559,52,159558
159560,12,159559
159561,13,159560
159562,0,159559
159563,53,159559
159564,12,159563
159565,13,159564
159566,12,159558
159567,13,159566
159568,65,159396
159569,12,159568
159570,14,159569
159571,52,159568
159572,52,159571
159573,12,159572
159574,13,159573
159575,12,159571
159576,13,159575
159577,65,159396
159578,12,159577
159579,14,159578
159580,52,159577
159581,52,159580
159582,12,159581
159583,13,159582
159584,0,159581
159585,53,159581
159586,12,159585
159587,13,159586
159588,12,159580
159589,13,159588
159590,65,159396
159591,12,159590
159592,14,159591
159593,52,159590
159594,52,159593
159595,12,159594
159596,13,159595
159597,12,159593
159598,13,159597
159599,65,159396
159600,12,159599
159601,14,159600
159602,52,159599
159603,52,159602
159604,12,159603
159605,13,159604
159606,0,159603
159607,53,159603
159608,12,159607
159609,13,159608
159610,12,159602
159611,13,159610
159612,65,159396
159613,12,159612
159614,14,159613
159615,52,159612
159616,52,159615
159617,12,159616
159618,13,159617
159619,0,159616
159620,53,159616
159621,12,159620
159622,13,159621
159623,12,159615
159624,13,159623
159625,65,159396
159626,12,159625
159627,14,159626
159628,52,159625
159629,52,159628
159630,12,159629
159631,13,159630
159632,0,159629
159633,53,159629
159634,12,159633
159635,13,159634
159636,12,159628
159637,13,159636
159638,76,159396
159639,19,159638
159640,22,159639
159641,52,159639
159642,55,159641
159643,55,159642
159644,12,159643
159645,13,159644
159646,13,159643
159647,13,159642
159648,0,159641
159649,0,159641
159650,65,159638
159651,12,159650
159652,14,159651
159653,52,159650
159654,52,159653
159655,12,159654
159656,13,159655
159657,0,159654
159658,53,159654
159659,12,159658
159660,13,159659
159661,12,159653
159662,13,159661
159663,65,159396
159664,12,159663
159665,14,159664
159666,52,159663
159667,52,159666
159668,12,159667
159669,13,159668
159670,55,159667
159671,12,159670
159672,13,159671
159673,13,159670
159674,53,159667
159675,12,159674
159676,13,159675
159677,52,159666
159678,52,159677
159679,12,159678
159680,13,159679
159681,12,159677
159682,13,159681
159683,65,159396
159684,12,159683
159685,14,159684
159686,52,159683
159687,52,159686
159688,12,159687
159689,13,159688
159690,24,159687
159691,24,159690
159692,12,159691
159693,13,159692
159694,27,159691
159695,12,159691
159696,13,159695
159697,27,159690
159698,0,159690
159699,53,159687
159700,12,159699
159701,13,159700
159702,12,159686
159703,13,159702
159704,65,159396
159705,12,159704
159706,14,159705
159707,52,159704
159708,52,159707
159709,12,159708
159710,13,159709
159711,7,159708
159712,12,159711
159713,13,159712
159714,12,159711
159715,13,159714
159716,0,159711
159717,13,159711
159718,12,159707
159719,13,159718
159720,65,159396
159721,12,159720
159722,14,159721
159723,52,159720
159724,52,159723
159725,12,159724
159726,13,159725
159727,0,159724
159728,53,159724
159729,12,159728
159730,13,159729
159731,12,159723
159732,13,159731
159733,91,159396
159734,52,159733
159735,12,159734
159736,13,159735
159737,12,159734
159738,13,159737
159739,12,159734
159740,13,159739
159741,53,159734
159742,0,159741
159743,87,159340
159744,89,159743
159745,90,159744
159746,90,159744
159747,17,159743
159748,0,159747
159749,65,159743
159750,12,159749
159751,14,159750
159752,52,159749
159753,12,159752
159754,13,159753
159755,53,159752
159756,55,159755
159757,12,159756
159758,13,159757
159759,13,159756
159760,65,159743
159761,12,159760
159762,14,159761
159763,24,159760
159764,56,159763
159765,55,159764
159766,12,159765
159767,13,159766
159768,13,159765
159769,57,159764
159770,0,159769
159771,13,159764
159772,29,159763
159773,0,159763
159774,65,159743
159775,12,159774
159776,14,159775
159777,52,159774
159778,12,159777
159779,13,159778
159780,53,159777
159781,7,159780
159782,12,159781
159783,13,159782
159784,12,159781
159785,13,159784
159786,0,159781
159787,13,159781
159788,65,159743
159789,12,159788
159790,14,159789
159791,12,159788
159792,13,159791
159793,65,159743
159794,12,159793
159795,14,159794
159796,52,159793
159797,52,159796
159798,12,159797
159799,13,159798
159800,0,159797
159801,53,159797
159802,0,159801
159803,53,159797
159804,12,159803
159805,13,159804
159806,12,159796
159807,13,159806
159808,65,159743
159809,12,159808
159810,14,159809
159811,52,159808
159812,52,159811
159813,12,159812
159814,13,159813
159815,0,159812
159816,53,159812
159817,12,159816
159818,13,159817
159819,12,159811
159820,13,159819
159821,65,159743
159822,12,159821
159823,14,159822
159824,52,159821
159825,52,159824
159826,12,159825
159827,13,159826
159828,0,159825
159829,53,159825
159830,0,159829
159831,53,159825
159832,12,159831
159833,13,159832
159834,12,159824
159835,13,159834
159836,65,159743
159837,12,159836
159838,14,159837
159839,52,159836
159840,52,159839
159841,12,159840
159842,13,159841
159843,0,159840
159844,53,159840
159845,12,159844
159846,13,159845
159847,12,159839
159848,13,159847
159849,65,159743
159850,12,159849
159851,14,159850
159852,52,159849
159853,52,159852
159854,12,159853
159855,13,159854
159856,56,159853
159857,55,159856
159858,12,159857
159859,13,159858
159860,13,159857
159861,57,159856
159862,0,159861
159863,13,159856
159864,53,159853
159865,0,159864
159866,53,159853
159867,12,159866
159868,13,159867
159869,12,159852
159870,13,159869
159871,65,159743
159872,12,159871
159873,14,159872
159874,52,159871
159875,52,159874
159876,12,159875
159877,13,159876
159878,56,159875
159879,55,159878
159880,12,159879
159881,13,159880
159882,13,159879
159883,57,159878
159884,0,159883
159885,13,159878
159886,53,159875
159887,12,159886
159888,13,159887
159889,12,159874
159890,13,159889
159891,65,159743
159892,12,159891
159893,14,159892
159894,52,159891
159895,52,159894
159896,12,159895
159897,13,159896
159898,0,159895
159899,0,159895
159900,53,159895
159901,52,159900
159902,55,159901
159903,0,159902
