node_id,class_name,parent_id
166433,100,-1
166434,17,166433
166435,0,166434
166436,65,166433
166437,12,166436
166438,14,166437
166439,0,166436
166440,65,166433
166441,12,166440
166442,14,166441
166443,52,166440
166444,12,166443
166445,13,166444
166446,53,166443
166447,52,166446
166448,12,166447
166449,13,166448
166450,53,166447
166451,0,166450
166452,53,166447
166453,0,166452
166454,53,166447
166455,12,166454
166456,13,166455
166457,53,166447
166458,0,166457
166459,53,166447
166460,7,166459
166461,0,166460
166462,0,166460
166463,13,166460
166464,53,166447
166465,0,166464
166466,53,166443
166467,52,166466
166468,12,166467
166469,13,166468
166470,53,166467
166471,0,166470
166472,53,166467
166473,0,166472
166474,53,166467
166475,12,166474
166476,13,166475
166477,53,166467
166478,0,166477
166479,53,166467
166480,7,166479
166481,0,166480
166482,0,166480
166483,13,166480
166484,53,166467
166485,0,166484
166486,53,166443
166487,52,166486
166488,12,166487
166489,13,166488
166490,53,166487
166491,0,166490
166492,53,166487
166493,0,166492
166494,53,166487
166495,12,166494
166496,13,166495
166497,53,166487
166498,0,166497
166499,53,166487
166500,7,166499
166501,0,166500
166502,0,166500
166503,13,166500
166504,53,166487
166505,0,166504
166506,53,166443
166507,52,166506
166508,12,166507
166509,13,166508
166510,53,166507
166511,0,166510
166512,53,166507
166513,0,166512
166514,53,166507
166515,12,166514
166516,13,166515
166517,53,166507
166518,0,166517
166519,53,166507
166520,7,166519
166521,0,166520
166522,0,166520
166523,13,166520
166524,53,166507
166525,0,166524
166526,53,166443
166527,52,166526
166528,12,166527
166529,13,166528
166530,53,166527
166531,0,166530
166532,53,166527
166533,0,166532
166534,53,166527
166535,12,166534
166536,13,166535
166537,53,166527
166538,0,166537
166539,53,166527
166540,7,166539
166541,0,166540
166542,0,166540
166543,13,166540
166544,53,166527
166545,0,166544
166546,53,166443
166547,52,166546
166548,12,166547
166549,13,166548
166550,53,166547
166551,0,166550
166552,53,166547
166553,0,166552
166554,53,166547
166555,12,166554
166556,13,166555
166557,53,166547
166558,0,166557
166559,53,166547
166560,0,166559
166561,53,166443
166562,52,166561
166563,12,166562
166564,13,166563
166565,53,166562
166566,0,166565
166567,53,166562
166568,0,166567
166569,53,166562
166570,12,166569
166571,13,166570
166572,53,166562
166573,0,166572
166574,53,166562
166575,7,166574
166576,0,166575
166577,0,166575
166578,13,166575
166579,53,166562
166580,0,166579
166581,53,166443
166582,52,166581
166583,12,166582
166584,13,166583
166585,53,166582
166586,0,166585
166587,53,166582
166588,0,166587
166589,53,166582
166590,12,166589
166591,13,166590
166592,53,166582
166593,0,166592
166594,53,166582
166595,7,166594
166596,0,166595
166597,0,166595
166598,13,166595
166599,53,166582
166600,0,166599
166601,53,166443
166602,52,166601
166603,12,166602
166604,13,166603
166605,53,166602
166606,0,166605
166607,53,166602
166608,0,166607
166609,53,166602
166610,12,166609
166611,13,166610
166612,53,166602
166613,0,166612
166614,53,166602
166615,7,166614
166616,0,166615
166617,0,166615
166618,13,166615
166619,53,166602
166620,0,166619
166621,53,166602
166622,0,166621
166623,53,166443
166624,52,166623
166625,12,166624
166626,13,166625
166627,53,166624
166628,0,166627
166629,53,166624
166630,0,166629
166631,53,166624
166632,12,166631
166633,13,166632
166634,53,166624
166635,0,166634
166636,53,166624
166637,7,166636
166638,0,166637
166639,0,166637
166640,13,166637
166641,53,166624
166642,0,166641
