node_id,class_name,parent_id
174015,100,-1
174016,17,174015
174017,0,174016
174018,73,174015
174019,75,174018
174020,73,174015
174021,75,174020
174022,73,174015
174023,75,174022
174024,73,174015
174025,75,174024
174026,74,174015
174027,75,174026
174028,74,174015
174029,75,174028
174030,73,174015
174031,75,174030
174032,73,174015
174033,75,174032
174034,74,174015
174035,75,174034
174036,74,174015
174037,75,174036
174038,75,174036
174039,75,174036
174040,74,174015
174041,75,174040
174042,74,174015
174043,75,174042
174044,74,174015
174045,75,174044
174046,75,174044
174047,74,174015
174048,75,174047
174049,74,174015
174050,75,174049
174051,75,174049
174052,74,174015
174053,75,174052
174054,75,174052
174055,74,174015
174056,75,174055
174057,74,174015
174058,75,174057
174059,75,174057
174060,75,174057
174061,75,174057
174062,74,174015
174063,75,174062
174064,75,174062
174065,74,174015
174066,75,174065
174067,65,174015
174068,12,174067
174069,14,174068
174070,52,174067
174071,55,174070
174072,12,174071
174073,13,174072
174074,13,174071
174075,12,174070
174076,13,174075
174077,95,174015
174078,17,174077
174079,0,174078
174080,87,174077
174081,89,174080
174082,90,174081
174083,90,174081
174084,17,174080
174085,52,174084
174086,55,174085
174087,12,174086
174088,13,174087
174089,13,174086
174090,0,174085
174091,55,174085
174092,55,174091
174093,12,174092
174094,13,174093
174095,13,174092
174096,13,174091
174097,12,174085
174098,13,174097
174099,65,174080
174100,55,174099
174101,12,174100
174102,13,174101
174103,14,174100
174104,12,174099
174105,13,174104
174106,65,174080
174107,55,174106
174108,12,174107
174109,13,174108
174110,14,174107
174111,0,174106
174112,65,174080
174113,55,174112
174114,12,174113
174115,13,174114
174116,14,174113
174117,52,174112
174118,12,174117
174119,13,174118
174120,55,174117
174121,55,174120
174122,12,174121
174123,13,174122
174124,13,174121
174125,13,174120
174126,53,174117
174127,0,174126
174128,65,174080
174129,55,174128
174130,12,174129
174131,13,174130
174132,14,174129
174133,52,174128
174134,12,174133
174135,13,174134
174136,55,174133
174137,12,174136
174138,13,174137
174139,13,174136
174140,0,174133
174141,55,174133
174142,55,174141
174143,12,174142
174144,13,174143
174145,13,174142
174146,13,174141
174147,76,174080
174148,41,174147
174149,55,174148
174150,55,174149
174151,12,174150
174152,13,174151
174153,13,174150
174154,13,174149
174155,42,174148
174156,0,174148
174157,17,174147
174158,52,174157
174159,55,174158
174160,12,174159
174161,13,174160
174162,13,174159
174163,0,174158
174164,17,174147
174165,52,174164
174166,55,174165
174167,12,174166
174168,13,174167
174169,13,174166
174170,0,174165
174171,17,174147
174172,52,174171
174173,55,174172
174174,12,174173
174175,13,174174
174176,13,174173
174177,0,174172
174178,65,174080
174179,55,174178
174180,12,174179
174181,13,174180
174182,14,174179
174183,52,174178
174184,12,174183
174185,13,174184
174186,55,174183
174187,12,174186
174188,13,174187
174189,13,174186
174190,55,174183
174191,55,174190
174192,12,174191
174193,13,174192
174194,13,174191
174195,13,174190
174196,55,174183
174197,12,174196
174198,13,174197
174199,13,174196
174200,17,174080
174201,52,174200
174202,55,174201
174203,12,174202
174204,13,174203
174205,13,174202
174206,65,174080
174207,55,174206
174208,12,174207
174209,13,174208
174210,14,174207
174211,52,174206
174212,12,174211
174213,13,174212
174214,55,174211
174215,12,174214
174216,13,174215
174217,13,174214
174218,55,174211
174219,12,174218
174220,13,174219
174221,13,174218
174222,12,174211
174223,13,174222
174224,65,174080
174225,55,174224
174226,12,174225
174227,13,174226
174228,14,174225
174229,52,174224
174230,12,174229
174231,13,174230
174232,55,174229
