node_id,class_name,parent_id
190132,100,-1
190133,17,190132
190134,0,190133
190135,74,190132
190136,75,190135
190137,74,190132
190138,75,190137
190139,75,190137
190140,75,190137
190141,75,190137
190142,75,190137
190143,65,190132
190144,12,190143
190145,14,190144
190146,0,190143
190147,95,190132
190148,12,190147
190149,13,190148
190150,17,190147
190151,0,190150
190152,87,190147
190153,89,190152
190154,17,190152
190155,0,190154
190156,91,190152
190157,0,190156
190158,12,190152
190159,13,190158
190160,87,190147
190161,89,190160
190162,90,190161
190163,65,190160
190164,12,190163
190165,14,190164
190166,0,190163
190167,65,190160
190168,12,190167
190169,14,190168
190170,0,190167
190171,65,190160
190172,12,190171
190173,14,190172
190174,0,190171
190175,65,190160
190176,12,190175
190177,14,190176
190178,0,190175
190179,65,190160
190180,12,190179
190181,14,190180
190182,0,190179
190183,65,190160
190184,12,190183
190185,14,190184
190186,52,190183
190187,12,190186
190188,13,190187
190189,17,190160
190190,52,190189
190191,55,190190
190192,12,190191
190193,13,190192
190194,13,190191
190195,52,190190
190196,12,190195
190197,13,190196
190198,53,190195
190199,7,190198
190200,0,190199
190201,0,190199
190202,13,190199
190203,53,190195
190204,12,190203
190205,13,190204
190206,53,190195
190207,12,190206
190208,13,190207
190209,53,190195
190210,7,190209
190211,0,190210
190212,0,190210
190213,0,190210
190214,0,190210
190215,0,190210
190216,0,190210
190217,0,190210
190218,0,190210
190219,0,190210
190220,0,190210
190221,0,190210
190222,0,190210
190223,0,190210
190224,13,190210
190225,53,190195
190226,0,190225
190227,53,190195
190228,52,190227
190229,55,190228
190230,0,190229
190231,13,190229
190232,12,190228
190233,13,190232
190234,12,190228
190235,13,190234
190236,12,190228
190237,13,190236
190238,12,190228
190239,13,190238
190240,12,190228
190241,13,190240
190242,17,190160
190243,52,190242
190244,55,190243
190245,12,190244
190246,13,190245
190247,13,190244
190248,52,190243
190249,12,190248
190250,13,190249
190251,53,190248
190252,7,190251
190253,0,190252
190254,0,190252
190255,13,190252
190256,53,190248
190257,12,190256
190258,13,190257
190259,53,190248
190260,0,190259
190261,53,190248
190262,0,190261
190263,53,190248
190264,0,190263
190265,53,190248
190266,0,190265
190267,53,190248
190268,0,190267
190269,53,190248
190270,0,190269
190271,17,190160
190272,52,190271
190273,55,190272
190274,12,190273
190275,13,190274
190276,13,190273
190277,52,190272
190278,12,190277
190279,13,190278
190280,53,190277
190281,7,190280
190282,0,190281
190283,0,190281
190284,13,190281
190285,53,190277
190286,12,190285
190287,13,190286
190288,53,190277
190289,0,190288
190290,53,190277
190291,0,190290
190292,53,190277
190293,0,190292
190294,17,190160
190295,52,190294
190296,55,190295
190297,12,190296
190298,13,190297
190299,13,190296
190300,52,190295
190301,12,190300
190302,13,190301
190303,53,190300
190304,7,190303
190305,0,190304
190306,0,190304
190307,13,190304
190308,53,190300
190309,12,190308
190310,13,190309
190311,53,190300
190312,0,190311
190313,53,190300
190314,0,190313
190315,53,190300
190316,0,190315
190317,53,190300
190318,0,190317
190319,17,190160
190320,52,190319
190321,55,190320
190322,12,190321
190323,13,190322
190324,13,190321
190325,52,190320
190326,12,190325
190327,13,190326
190328,53,190325
190329,7,190328
190330,0,190329
190331,0,190329
190332,13,190329
190333,53,190325
190334,12,190333
190335,13,190334
190336,53,190325
190337,12,190336
190338,13,190337
190339,53,190325
190340,7,190339
190341,0,190340
190342,0,190340
190343,0,190340
190344,13,190340
190345,53,190325
190346,0,190345
190347,53,190325
190348,0,190347
190349,53,190325
190350,0,190349
190351,17,190160
190352,52,190351
190353,55,190352
190354,12,190353
190355,13,190354
190356,13,190353
190357,52,190352
190358,12,190357
190359,13,190358
190360,53,190357
190361,7,190360
190362,0,190361
190363,0,190361
190364,13,190361
190365,53,190357
190366,12,190365
190367,13,190366
190368,53,190357
190369,12,190368
190370,13,190369
190371,53,190357
190372,0,190371
190373,53,190357
190374,7,190373
190375,0,190374
190376,0,190374
190377,13,190374
190378,53,190357
190379,0,190378
190380,53,190357
190381,0,190380
190382,53,190357
190383,0,190382
190384,53,190357
190385,0,190384
190386,17,190160
190387,52,190386
190388,55,190387
190389,12,190388
190390,13,190389
190391,13,190388
190392,52,190387
190393,12,190392
190394,13,190393
190395,53,190392
190396,7,190395
190397,0,190396
190398,0,190396
190399,13,190396
190400,53,190392
190401,12,190400
190402,13,190401
190403,53,190392
190404,12,190403
190405,13,190404
190406,53,190392
190407,7,190406
190408,0,190407
190409,0,190407
190410,13,190407
190411,53,190392
190412,0,190411
190413,53,190392
190414,0,190413
190415,53,190392
190416,0,190415
190417,53,190392
190418,0,190417
190419,17,190160
190420,52,190419
190421,55,190420
190422,12,190421
190423,13,190422
190424,13,190421
190425,52,190420
190426,12,190425
190427,13,190426
190428,53,190425
190429,7,190428
190430,0,190429
190431,0,190429
190432,13,190429
190433,53,190425
190434,0,190433
190435,53,190425
190436,0,190435
190437,53,190425
190438,0,190437
190439,53,190425
190440,0,190439
190441,91,190160
190442,12,190441
190443,13,190442
