node_id,class_name,parent_id
239479,100,-1
239480,17,239479
239481,0,239480
239482,73,239479
239483,75,239482
239484,73,239479
239485,75,239484
239486,74,239479
239487,75,239486
239488,73,239479
239489,75,239488
239490,74,239479
239491,75,239490
239492,65,239479
239493,12,239492
239494,14,239493
239495,52,239492
239496,55,239495
239497,12,239496
239498,13,239497
239499,13,239496
239500,12,239495
239501,13,239500
239502,95,239479
239503,17,239502
239504,0,239503
239505,87,239502
239506,89,239505
239507,90,239506
239508,90,239506
239509,90,239506
239510,90,239506
239511,90,239506
239512,0,239506
239513,0,239506
239514,17,239505
239515,52,239514
239516,55,239515
239517,12,239516
239518,13,239517
239519,13,239516
239520,0,239515
239521,55,239515
239522,55,239521
239523,12,239522
239524,13,239523
239525,13,239522
239526,13,239521
239527,12,239515
239528,13,239527
239529,12,239515
239530,13,239529
239531,12,239515
239532,13,239531
239533,65,239505
239534,55,239533
239535,12,239534
239536,13,239535
239537,14,239534
239538,12,239533
239539,13,239538
239540,65,239505
239541,55,239540
239542,12,239541
239543,13,239542
239544,14,239541
239545,55,239540
239546,12,239545
239547,13,239546
239548,13,239545
239549,65,239505
239550,55,239549
239551,12,239550
239552,13,239551
239553,14,239550
239554,12,239549
239555,13,239554
239556,65,239505
239557,55,239556
239558,12,239557
239559,13,239558
239560,14,239557
239561,52,239556
239562,12,239561
239563,13,239562
239564,65,239505
239565,55,239564
239566,12,239565
239567,13,239566
239568,14,239565
239569,52,239564
239570,12,239569
239571,13,239570
239572,65,239505
239573,55,239572
239574,12,239573
239575,13,239574
239576,14,239573
239577,52,239572
239578,12,239577
239579,13,239578
239580,53,239577
239581,12,239580
239582,13,239581
239583,53,239577
239584,6,239583
239585,13,239584
239586,17,239505
239587,52,239586
239588,55,239587
239589,12,239588
239590,13,239589
239591,13,239588
239592,12,239587
239593,13,239592
239594,17,239505
239595,52,239594
239596,55,239595
239597,12,239596
239598,13,239597
239599,13,239596
239600,17,239505
239601,52,239600
239602,55,239601
239603,12,239602
239604,13,239603
239605,13,239602
239606,17,239505
239607,52,239606
239608,55,239607
239609,12,239608
239610,13,239609
239611,13,239608
239612,65,239505
239613,55,239612
239614,12,239613
239615,13,239614
239616,14,239613
239617,0,239612
239618,65,239505
239619,55,239618
239620,12,239619
239621,13,239620
239622,14,239619
239623,52,239618
239624,12,239623
239625,13,239624
239626,65,239505
239627,55,239626
239628,12,239627
239629,13,239628
239630,14,239627
239631,0,239626
239632,17,239505
239633,52,239632
239634,55,239633
239635,12,239634
239636,13,239635
239637,13,239634
239638,17,239505
239639,52,239638
239640,55,239639
239641,12,239640
239642,13,239641
239643,13,239640
239644,0,239639
239645,55,239639
239646,55,239645
239647,12,239646
239648,13,239647
239649,13,239646
