node_id,class_name,parent_id
244432,100,-1
244433,17,244432
244434,0,244433
244435,73,244432
244436,75,244435
244437,73,244432
244438,75,244437
244439,73,244432
244440,75,244439
244441,74,244432
244442,75,244441
244443,73,244432
244444,75,244443
244445,73,244432
244446,75,244445
244447,74,244432
244448,75,244447
244449,74,244432
244450,75,244449
244451,75,244449
244452,73,244432
244453,75,244452
244454,73,244432
244455,75,244454
244456,74,244432
244457,75,244456
244458,75,244456
244459,74,244432
244460,75,244459
244461,75,244459
244462,74,244432
244463,75,244462
244464,74,244432
244465,75,244464
244466,75,244464
244467,75,244464
244468,75,244464
244469,74,244432
244470,75,244469
244471,74,244432
244472,75,244471
244473,75,244471
244474,74,244432
244475,75,244474
244476,74,244432
244477,75,244476
244478,74,244432
244479,75,244478
244480,74,244432
244481,75,244480
244482,74,244432
244483,75,244482
244484,75,244482
244485,74,244432
244486,75,244485
244487,74,244432
244488,75,244487
244489,74,244432
244490,75,244489
244491,65,244432
244492,12,244491
244493,14,244492
244494,52,244491
244495,55,244494
244496,12,244495
244497,13,244496
244498,13,244495
244499,12,244494
244500,13,244499
244501,95,244432
244502,55,244501
244503,12,244502
244504,13,244503
244505,13,244502
244506,17,244501
244507,0,244506
244508,87,244501
244509,89,244508
244510,90,244509
244511,90,244509
244512,17,244508
244513,52,244512
244514,55,244513
244515,12,244514
244516,13,244515
244517,13,244514
244518,0,244513
244519,55,244513
244520,55,244519
244521,12,244520
244522,13,244521
244523,13,244520
244524,13,244519
244525,12,244513
244526,13,244525
244527,17,244508
244528,52,244527
244529,55,244528
244530,52,244529
244531,12,244530
244532,13,244531
244533,13,244529
244534,65,244508
244535,55,244534
244536,12,244535
244537,13,244536
244538,14,244535
244539,52,244534
244540,12,244539
244541,13,244540
244542,65,244508
244543,55,244542
244544,12,244543
244545,13,244544
244546,14,244543
244547,52,244542
244548,12,244547
244549,13,244548
244550,65,244508
244551,55,244550
244552,12,244551
244553,13,244552
244554,14,244551
244555,52,244550
244556,12,244555
244557,13,244556
244558,53,244555
244559,52,244558
244560,55,244559
244561,12,244560
244562,13,244561
244563,13,244560
244564,53,244555
244565,52,244564
244566,55,244565
244567,12,244566
244568,13,244567
244569,13,244566
244570,77,244508
244571,12,244570
244572,14,244571
244573,52,244570
244574,55,244573
244575,55,244574
244576,12,244575
244577,13,244576
244578,13,244575
244579,13,244574
244580,17,244570
244581,52,244580
244582,55,244581
244583,12,244582
244584,13,244583
244585,13,244582
244586,0,244581
244587,65,244508
244588,55,244587
244589,12,244588
244590,13,244589
244591,14,244588
244592,52,244587
244593,12,244592
244594,13,244593
244595,0,244592
244596,0,244592
244597,55,244592
244598,12,244597
244599,13,244598
244600,13,244597
244601,65,244508
244602,12,244601
244603,14,244602
244604,52,244601
244605,12,244604
244606,13,244605
244607,65,244508
244608,55,244607
244609,12,244608
244610,13,244609
244611,14,244608
244612,52,244607
244613,12,244612
244614,13,244613
244615,12,244612
244616,13,244615
244617,0,244612
244618,55,244612
244619,12,244618
244620,13,244619
244621,13,244618
244622,55,244612
244623,12,244622
244624,13,244623
244625,13,244622
244626,12,244612
244627,13,244626
244628,65,244508
244629,55,244628
244630,12,244629
244631,13,244630
244632,14,244629
244633,52,244628
244634,12,244633
244635,13,244634
244636,12,244633
244637,13,244636
244638,55,244633
244639,12,244638
244640,13,244639
244641,13,244638
244642,55,244633
244643,12,244642
244644,13,244643
244645,13,244642
244646,55,244633
244647,12,244646
244648,13,244647
244649,13,244646
244650,55,244633
244651,12,244650
244652,13,244651
244653,13,244650
244654,12,244633
244655,13,244654
244656,55,244633
244657,12,244656
244658,13,244657
244659,13,244656
244660,55,244633
244661,12,244660
244662,13,244661
244663,13,244660
244664,17,244508
244665,52,244664
244666,55,244665
244667,12,244666
244668,13,244667
244669,13,244666
244670,65,244508
244671,55,244670
244672,12,244671
244673,13,244672
244674,14,244671
244675,0,244670
244676,65,244508
244677,55,244676
244678,12,244677
244679,13,244678
244680,14,244677
244681,0,244676
244682,65,244508
244683,55,244682
244684,12,244683
244685,13,244684
244686,14,244683
244687,0,244682
244688,17,244508
244689,52,244688
244690,55,244689
244691,12,244690
244692,13,244691
244693,13,244690
244694,0,244689
244695,55,244689
244696,55,244695
244697,12,244696
244698,13,244697
244699,13,244696
244700,13,244695
244701,87,244501
244702,89,244701
244703,90,244702
244704,17,244701
244705,0,244704
244706,65,244701
244707,12,244706
244708,14,244707
244709,60,244706
244710,12,244709
244711,13,244710
244712,64,244709
244713,7,244712
244714,12,244713
244715,14,244714
244716,12,244713
244717,14,244716
244718,14,244713
244719,52,244712
244720,55,244719
244721,55,244720
244722,55,244721
244723,55,244722
244724,12,244723
244725,13,244724
244726,13,244723
244727,13,244722
244728,13,244721
244729,13,244720
244730,41,244712
244731,12,244730
244732,13,244731
244733,42,244730
244734,55,244730
244735,55,244734
244736,55,244735
244737,12,244736
244738,13,244737
244739,13,244736
244740,13,244735
244741,13,244734
244742,91,244701
244743,12,244742
244744,13,244743
244745,12,244701
244746,13,244745
244747,87,244501
244748,89,244747
244749,90,244748
244750,17,244747
244751,0,244750
244752,17,244747
244753,52,244752
244754,55,244753
244755,12,244754
244756,13,244755
244757,13,244754
244758,0,244753
244759,17,244747
244760,52,244759
244761,12,244760
244762,13,244761
244763,12,244760
244764,13,244763
244765,0,244760
244766,0,244760
244767,17,244747
244768,52,244767
244769,12,244768
244770,13,244769
244771,17,244747
244772,52,244771
244773,55,244772
244774,52,244773
244775,12,244774
244776,13,244775
244777,13,244773
244778,0,244772
244779,0,244772
244780,53,244772
244781,0,244780
244782,17,244747
244783,52,244782
244784,55,244783
244785,12,244784
244786,13,244785
244787,13,244784
244788,0,244783
244789,17,244747
244790,52,244789
244791,55,244790
244792,55,244791
244793,12,244792
244794,13,244793
244795,13,244792
244796,13,244791
244797,0,244790
244798,0,244790
244799,55,244790
244800,12,244799
244801,13,244800
244802,13,244799
244803,56,244790
244804,55,244803
244805,52,244804
244806,12,244805
244807,13,244806
244808,13,244804
244809,57,244803
244810,0,244809
244811,13,244803
244812,17,244747
244813,52,244812
244814,55,244813
244815,12,244814
244816,13,244815
244817,13,244814
244818,0,244813
244819,87,244501
244820,89,244819
244821,90,244820
244822,17,244819
244823,0,244822
244824,17,244819
244825,52,244824
244826,55,244825
244827,12,244826
244828,13,244827
244829,13,244826
244830,17,244819
244831,52,244830
