node_id,class_name,parent_id,Generator
20055,100,-1,0
20056,17,20055,0
20057,0,20056,0
20058,73,20055,0
20059,75,20058,0
20060,87,20055,0
20061,89,20060,0
20062,90,20061,0
20063,90,20061,0
20064,90,20061,0
20065,90,20061,0
20066,90,20061,0
20067,0,20061,0
20068,0,20061,0
20069,0,20061,0
20070,17,20060,0
20071,0,20070,0
20072,76,20060,0
20073,41,20072,0
20074,52,20073,0
20075,55,20074,0
20076,12,20075,0
20077,13,20076,0
20078,13,20075,0
20079,43,20073,0
20080,0,20073,0
20081,69,20072,0
20082,52,20081,0
20083,12,20082,0
20084,13,20083,0
20085,0,20082,0
20086,76,20060,0
20087,41,20086,0
20088,12,20087,0
20089,13,20088,0
20090,43,20087,0
20091,0,20087,0
20092,69,20086,0
20093,52,20092,0
20094,12,20093,0
20095,13,20094,0
20096,0,20093,0
20097,91,20060,0
20098,52,20097,0
20099,55,20098,0
20100,55,20099,0
20101,12,20100,0
20102,13,20101,0
20103,13,20100,0
20104,13,20099,0
20105,12,20098,0
20106,13,20105,0
20107,12,20098,0
20108,13,20107,0
20109,87,20055,0
20110,89,20109,0
20111,90,20110,0
20112,17,20109,0
20113,0,20112,0
20114,91,20109,0
20115,52,20114,0
20116,12,20115,0
20117,13,20116,0
20118,12,20115,0
20119,13,20118,0
20120,55,20115,0
20121,55,20120,0
20122,12,20121,0
20123,13,20122,0
20124,13,20121,0
20125,13,20120,0
