node_id,class_name,parent_id,Generator
99931,100,-1,0
99932,17,99931,0
99933,0,99932,0
99934,73,99931,0
99935,75,99934,0
99936,73,99931,0
99937,75,99936,0
99938,74,99931,0
99939,75,99938,0
99940,74,99931,0
99941,75,99940,0
99942,75,99940,0
99943,75,99940,0
99944,74,99931,0
99945,75,99944,0
99946,74,99931,0
99947,75,99946,0
99948,65,99931,0
99949,12,99948,0
99950,14,99949,0
99951,52,99948,0
99952,55,99951,0
99953,12,99952,0
99954,13,99953,0
99955,13,99952,0
99956,12,99951,0
99957,13,99956,0
99958,95,99931,0
99959,17,99958,0
99960,0,99959,0
99961,87,99958,0
99962,89,99961,0
99963,90,99962,0
99964,90,99962,0
99965,90,99962,0
99966,17,99961,0
99967,52,99966,0
99968,55,99967,0
99969,12,99968,0
99970,13,99969,0
99971,13,99968,0
99972,0,99967,0
99973,55,99967,0
99974,55,99973,0
99975,12,99974,0
99976,13,99975,0
99977,13,99974,0
99978,13,99973,0
99979,12,99967,0
99980,13,99979,0
99981,12,99967,0
99982,13,99981,0
99983,65,99961,0
99984,55,99983,0
99985,12,99984,0
99986,13,99985,0
99987,14,99984,0
99988,52,99983,0
99989,12,99988,0
99990,13,99989,0
99991,12,99988,0
99992,13,99991,0
99993,65,99961,0
99994,55,99993,0
99995,12,99994,0
99996,13,99995,0
99997,14,99994,0
99998,12,99993,0
99999,13,99998,0
100000,17,99961,0
100001,52,100000,0
100002,55,100001,0
100003,12,100002,0
100004,13,100003,0
100005,13,100002,0
100006,0,100001,0
100007,55,100001,0
100008,55,100007,0
100009,12,100008,0
100010,13,100009,0
100011,13,100008,0
100012,13,100007,0
100013,87,99958,0
100014,89,100013,0
100015,90,100014,0
100016,90,100014,0
100017,90,100014,0
100018,0,100014,0
100019,17,100013,0
100020,0,100019,0
100021,65,100013,0
100022,12,100021,0
100023,14,100022,0
100024,52,100021,0
100025,55,100024,0
100026,55,100025,0
100027,12,100026,0
100028,13,100027,0
100029,13,100026,0
100030,13,100025,0
100031,55,100024,0
100032,12,100031,0
100033,13,100032,0
100034,13,100031,0
100035,12,100024,0
100036,13,100035,0
100037,76,100013,0
100038,19,100037,0
100039,22,100038,0
100040,52,100038,0
100041,55,100040,0
100042,12,100041,0
100043,13,100042,0
100044,13,100041,0
100045,55,100040,0
100046,12,100045,0
100047,13,100046,0
100048,13,100045,0
100049,65,100037,0
100050,12,100049,0
100051,14,100050,0
100052,0,100049,0
100053,76,100037,0
100054,38,100053,0
100055,39,100054,0
100056,12,100054,0
100057,13,100056,0
100058,52,100054,0
100059,55,100058,0
100060,12,100059,0
100061,13,100060,0
100062,13,100059,0
100063,0,100058,0
100064,65,100053,0
100065,12,100064,0
100066,14,100065,0
100067,0,100064,0
100068,76,100053,0
100069,38,100068,0
100070,39,100069,0
100071,19,100069,0
100072,22,100071,0
100073,12,100071,0
100074,13,100073,0
100075,38,100069,0
100076,40,100075,0
100077,38,100075,0
100078,39,100077,0
100079,52,100077,0
100080,55,100079,0
100081,55,100080,0
100082,12,100081,0
100083,13,100082,0
100084,13,100081,0
100085,13,100080,0
100086,12,100079,0
100087,13,100086,0
100088,19,100077,0
100089,22,100088,0
100090,52,100088,0
100091,55,100090,0
100092,12,100091,0
100093,13,100092,0
100094,13,100091,0
100095,0,100090,0
100096,38,100075,0
100097,39,100096,0
100098,52,100096,0
100099,55,100098,0
100100,55,100099,0
100101,12,100100,0
100102,13,100101,0
100103,13,100100,0
100104,13,100099,0
100105,12,100098,0
100106,13,100105,0
100107,41,100096,0
100108,12,100107,0
100109,13,100108,0
100110,42,100107,0
100111,52,100107,0
100112,55,100111,0
100113,0,100112,0
100114,13,100112,0
100115,55,100111,0
100116,12,100115,0
100117,13,100116,0
100118,13,100115,0
100119,65,100068,0
100120,12,100119,0
100121,14,100120,0
100122,0,100119,0
100123,65,100068,0
100124,12,100123,0
100125,14,100124,0
100126,0,100123,0
100127,17,100013,0
100128,52,100127,0
100129,55,100128,0
100130,12,100129,0
100131,13,100130,0
100132,13,100129,0
100133,0,100128,0
100134,12,100128,0
100135,13,100134,0
100136,12,100128,0
100137,13,100136,0
100138,91,100013,0
100139,12,100138,0
100140,13,100139,0
100141,87,99958,0
100142,89,100141,0
100143,90,100142,0
100144,17,100141,0
100145,0,100144,0
100146,65,100141,0
100147,12,100146,0
100148,14,100147,0
100149,24,100146,0
100150,12,100149,0
100151,13,100150,0
100152,25,100149,0
100153,0,100149,0
100154,76,100141,0
100155,52,100154,0
100156,55,100155,0
100157,55,100156,0
100158,12,100157,0
100159,13,100158,0
100160,13,100157,0
100161,13,100156,0
100162,12,100155,0
100163,13,100162,0
100164,17,100154,0
100165,52,100164,0
100166,55,100165,0
100167,12,100166,0
100168,13,100167,0
100169,13,100166,0
100170,12,100165,0
100171,13,100170,0
100172,76,100141,0
100173,52,100172,0
100174,55,100173,0
100175,55,100174,0
100176,12,100175,0
100177,13,100176,0
