node_id,class_name,parent_id,Generator
119966,100,-1,0
119967,17,119966,0
119968,0,119967,0
119969,73,119966,0
119970,75,119969,0
119971,73,119966,0
119972,75,119971,0
119973,74,119966,0
119974,75,119973,0
119975,65,119966,0
119976,12,119975,0
119977,14,119976,0
119978,52,119975,0
119979,55,119978,0
119980,12,119979,0
119981,13,119980,0
119982,13,119979,0
119983,12,119978,0
119984,13,119983,0
119985,87,119966,0
119986,89,119985,0
119987,90,119986,0
119988,90,119986,0
119989,0,119986,0
119990,17,119985,0
119991,0,119990,0
119992,91,119985,0
119993,55,119992,0
119994,52,119993,0
119995,12,119994,0
119996,13,119995,0
119997,12,119994,0
119998,13,119997,0
119999,53,119994,0
120000,12,119999,0
120001,13,120000,0
120002,13,119993,0
120003,95,119966,0
120004,17,120003,0
120005,0,120004,0
120006,87,120003,0
120007,89,120006,0
120008,90,120007,0
120009,90,120007,0
120010,90,120007,0
120011,90,120007,0
120012,90,120007,0
120013,0,120007,0
120014,0,120007,0
120015,17,120006,0
120016,52,120015,0
120017,55,120016,0
120018,12,120017,0
120019,13,120018,0
120020,13,120017,0
120021,0,120016,0
120022,55,120016,0
120023,55,120022,0
120024,12,120023,0
120025,13,120024,0
120026,13,120023,0
120027,13,120022,0
120028,12,120016,0
120029,13,120028,0
120030,12,120016,0
120031,13,120030,0
120032,12,120016,0
120033,13,120032,0
120034,12,120016,0
120035,13,120034,0
120036,65,120006,0
120037,55,120036,0
120038,12,120037,0
120039,13,120038,0
120040,14,120037,0
120041,52,120036,0
120042,55,120041,0
120043,12,120042,0
120044,13,120043,0
120045,13,120042,0
120046,12,120041,0
120047,13,120046,0
120048,12,120041,0
120049,13,120048,0
120050,17,120006,0
120051,52,120050,0
120052,55,120051,0
120053,12,120052,0
120054,13,120053,0
120055,13,120052,0
120056,0,120051,0
120057,55,120051,0
120058,12,120057,0
120059,13,120058,0
120060,13,120057,0
120061,65,120006,0
120062,55,120061,0
120063,12,120062,0
120064,13,120063,0
120065,14,120062,0
120066,12,120061,0
120067,13,120066,0
120068,65,120006,0
120069,55,120068,0
120070,12,120069,0
120071,13,120070,0
120072,14,120069,0
120073,52,120068,0
120074,55,120073,0
120075,12,120074,0
120076,13,120075,0
120077,13,120074,0
120078,7,120073,0
120079,12,120078,0
120080,13,120079,0
120081,12,120078,0
120082,13,120081,0
120083,0,120078,0
120084,13,120078,0
120085,53,120073,0
120086,0,120085,0
120087,17,120006,0
120088,52,120087,0
120089,55,120088,0
120090,12,120089,0
120091,13,120090,0
120092,13,120089,0
120093,0,120088,0
120094,55,120088,0
120095,55,120094,0
120096,12,120095,0
120097,13,120096,0
120098,13,120095,0
120099,13,120094,0
120100,87,120003,0
120101,89,120100,0
120102,90,120101,0
120103,17,120100,0
120104,0,120103,0
120105,91,120100,0
120106,55,120105,0
120107,12,120106,0
120108,13,120107,0
120109,13,120106,0
120110,12,120100,0
120111,13,120110,0
120112,87,120003,0
120113,89,120112,0
120114,90,120113,0
120115,17,120112,0
120116,0,120115,0
120117,91,120112,0
120118,41,120117,0
120119,52,120118,0
120120,55,120119,0
120121,55,120120,0
120122,12,120121,0
120123,13,120122,0
120124,13,120121,0
120125,13,120120,0
120126,0,120119,0
120127,0,120119,0
120128,48,120118,0
120129,0,120118,0
120130,12,120112,0
120131,13,120130,0
120132,87,120003,0
120133,89,120132,0
120134,90,120133,0
120135,90,120133,0
120136,90,120133,0
120137,17,120132,0
120138,0,120137,0
120139,65,120132,0
120140,12,120139,0
120141,14,120140,0
120142,52,120139,0
120143,55,120142,0
120144,0,120143,0
120145,13,120143,0
120146,56,120142,0
120147,52,120146,0
120148,55,120147,0
120149,55,120148,0
120150,12,120149,0
120151,13,120150,0
120152,13,120149,0
120153,13,120148,0
120154,0,120147,0
120155,58,120146,0
120156,19,120155,0
120157,21,120156,0
120158,0,120156,0
120159,13,120146,0
120160,76,120132,0
120161,41,120160,0
120162,12,120161,0
120163,13,120162,0
120164,48,120161,0
120165,0,120161,0
120166,65,120160,0
120167,12,120166,0
120168,14,120167,0
120169,52,120166,0
120170,12,120169,0
120171,13,120170,0
120172,12,120169,0
120173,13,120172,0
120174,53,120169,0
120175,12,120174,0
120176,13,120175,0
120177,65,120160,0
120178,55,120177,0
120179,12,120178,0
120180,13,120179,0
120181,14,120178,0
120182,12,120177,0
120183,13,120182,0
120184,65,120160,0
120185,12,120184,0
120186,14,120185,0
120187,55,120184,0
120188,12,120187,0
120189,13,120188,0
120190,13,120187,0
120191,65,120160,0
120192,55,120191,0
120193,12,120192,0
120194,13,120193,0
120195,14,120192,0
120196,0,120191,0
