node_id,class_name,parent_id,Generator
122536,100,-1,0
122537,17,122536,0
122538,0,122537,0
122539,73,122536,0
122540,75,122539,0
122541,73,122536,0
122542,75,122541,0
122543,73,122536,0
122544,75,122543,0
122545,74,122536,0
122546,75,122545,0
122547,75,122545,0
122548,95,122536,0
122549,12,122548,0
122550,13,122549,0
122551,17,122548,0
122552,0,122551,0
122553,87,122548,0
122554,89,122553,0
122555,90,122554,0
122556,90,122554,0
122557,90,122554,0
122558,90,122554,0
122559,90,122554,0
122560,17,122553,0
122561,52,122560,0
122562,55,122561,0
122563,12,122562,0
122564,13,122563,0
122565,13,122562,0
122566,0,122561,0
122567,12,122561,0
122568,13,122567,0
122569,12,122561,0
122570,13,122569,0
122571,17,122553,0
122572,52,122571,0
122573,55,122572,0
122574,52,122573,0
122575,12,122574,0
122576,13,122575,0
122577,13,122573,0
122578,12,122572,0
122579,13,122578,0
122580,53,122572,0
122581,12,122580,0
122582,13,122581,0
122583,65,122553,0
122584,55,122583,0
122585,12,122584,0
122586,13,122585,0
122587,14,122584,0
122588,52,122583,0
122589,55,122588,0
122590,12,122589,0
122591,13,122590,0
122592,13,122589,0
122593,12,122588,0
122594,13,122593,0
122595,12,122588,0
122596,13,122595,0
122597,65,122553,0
122598,55,122597,0
122599,12,122598,0
122600,13,122599,0
122601,14,122598,0
122602,0,122597,0
122603,65,122553,0
122604,55,122603,0
122605,12,122604,0
122606,13,122605,0
122607,14,122604,0
122608,0,122603,0
122609,65,122553,0
122610,55,122609,0
122611,12,122610,0
122612,13,122611,0
122613,14,122610,0
122614,0,122609,0
122615,87,122548,0
122616,89,122615,0
122617,90,122616,0
122618,17,122615,0
122619,0,122618,0
122620,65,122615,0
122621,12,122620,0
122622,14,122621,0
122623,63,122620,0
122624,12,122623,0
122625,13,122624,0
122626,52,122623,0
122627,12,122626,0
122628,13,122627,0
122629,12,122626,0
122630,13,122629,0
122631,64,122623,0
122632,7,122631,0
122633,12,122632,0
122634,14,122633,0
122635,12,122632,0
122636,14,122635,0
122637,14,122632,0
122638,52,122631,0
122639,55,122638,0
122640,55,122639,0
122641,12,122640,0
122642,13,122641,0
122643,13,122640,0
122644,13,122639,0
122645,17,122615,0
122646,52,122645,0
122647,55,122646,0
122648,12,122647,0
122649,13,122648,0
122650,13,122647,0
122651,12,122646,0
122652,13,122651,0
122653,91,122615,0
122654,12,122653,0
122655,13,122654,0
122656,12,122615,0
122657,13,122656,0
122658,87,122548,0
122659,89,122658,0
122660,90,122659,0
122661,90,122659,0
122662,17,122658,0
122663,0,122662,0
122664,76,122658,0
122665,41,122664,0
122666,12,122665,0
122667,13,122666,0
122668,48,122665,0
122669,0,122665,0
122670,65,122664,0
122671,12,122670,0
122672,14,122671,0
122673,52,122670,0
122674,12,122673,0
122675,13,122674,0
122676,52,122673,0
122677,12,122676,0
122678,13,122677,0
122679,0,122676,0
122680,24,122676,0
122681,12,122680,0
122682,13,122681,0
122683,25,122680,0
122684,0,122680,0
122685,65,122664,0
122686,12,122685,0
122687,14,122686,0
122688,52,122685,0
122689,12,122688,0
122690,13,122689,0
122691,77,122664,0
122692,12,122691,0
122693,14,122692,0
122694,12,122691,0
122695,13,122694,0
122696,17,122691,0
122697,52,122696,0
122698,55,122697,0
122699,12,122698,0
122700,13,122699,0
122701,13,122698,0
122702,52,122697,0
122703,12,122702,0
122704,13,122703,0
122705,52,122702,0
122706,12,122705,0
122707,13,122706,0
122708,56,122705,0
122709,12,122708,0
122710,13,122709,0
122711,57,122708,0
122712,0,122711,0
122713,13,122708,0
122714,24,122705,0
122715,56,122714,0
122716,12,122715,0
122717,13,122716,0
122718,57,122715,0
122719,0,122718,0
122720,13,122715,0
122721,25,122714,0
122722,0,122714,0
122723,17,122658,0
122724,52,122723,0
122725,55,122724,0
122726,12,122725,0
122727,13,122726,0
122728,13,122725,0
122729,0,122724,0
122730,12,122724,0
122731,13,122730,0
122732,91,122658,0
122733,12,122732,0
122734,13,122733,0
122735,12,122658,0
122736,13,122735,0
122737,87,122548,0
122738,89,122737,0
122739,90,122738,0
122740,17,122737,0
122741,0,122740,0
122742,17,122737,0
122743,52,122742,0
122744,55,122743,0
122745,12,122744,0
122746,13,122745,0
122747,13,122744,0
122748,0,122743,0
122749,55,122743,0
122750,12,122749,0
122751,13,122750,0
