node_id,class_name,parent_id,Generator
153337,100,-1,0
153338,17,153337,0
153339,0,153338,0
153340,74,153337,0
153341,75,153340,0
153342,75,153340,0
153343,75,153340,0
153344,75,153340,0
153345,75,153340,0
153346,75,153340,0
153347,75,153340,0
153348,75,153340,0
153349,75,153340,0
153350,75,153340,0
153351,74,153337,0
153352,75,153351,0
153353,75,153351,0
153354,75,153351,0
153355,75,153351,0
153356,75,153351,0
153357,74,153337,0
153358,75,153357,0
153359,74,153337,0
153360,75,153359,0
153361,75,153359,0
153362,75,153359,0
153363,95,153337,0
153364,12,153363,0
153365,13,153364,0
153366,17,153363,0
153367,0,153366,0
153368,87,153363,0
153369,89,153368,0
153370,90,153369,0
153371,90,153369,0
153372,90,153369,0
153373,17,153368,0
153374,52,153373,0
153375,55,153374,0
153376,52,153375,0
153377,12,153376,0
153378,13,153377,0
153379,13,153375,0
153380,16,153374,0
153381,12,153380,0
153382,13,153381,0
153383,13,153380,0
153384,53,153374,0
153385,12,153384,0
153386,13,153385,0
153387,65,153368,0
153388,55,153387,0
153389,12,153388,0
153390,13,153389,0
153391,14,153388,0
153392,7,153387,0
153393,0,153392,0
153394,0,153392,0
153395,0,153392,0
153396,13,153392,0
153397,65,153368,0
153398,55,153397,0
153399,12,153398,0
153400,13,153399,0
153401,14,153398,0
153402,56,153397,0
153403,52,153402,0
153404,12,153403,0
153405,13,153404,0
153406,53,153403,0
153407,0,153406,0
153408,53,153403,0
153409,0,153408,0
153410,53,153403,0
153411,0,153410,0
153412,57,153402,0
153413,56,153412,0
153414,55,153413,0
153415,12,153414,0
153416,13,153415,0
153417,13,153414,0
153418,57,153413,0
153419,0,153418,0
153420,13,153413,0
153421,13,153402,0
153422,65,153368,0
153423,55,153422,0
153424,12,153423,0
153425,13,153424,0
153426,14,153423,0
153427,54,153422,0
153428,41,153427,0
153429,55,153428,0
153430,12,153429,0
153431,13,153430,0
153432,13,153429,0
153433,46,153428,0
153434,0,153428,0
153435,0,153427,0
153436,0,153427,0
153437,65,153368,0
153438,12,153437,0
153439,14,153438,0
153440,0,153437,0
153441,65,153368,0
153442,55,153441,0
153443,12,153442,0
153444,13,153443,0
153445,14,153442,0
153446,56,153441,0
153447,9,153446,0
153448,0,153447,0
153449,0,153447,0
153450,0,153447,0
153451,24,153447,0
153452,0,153451,0
153453,25,153451,0
153454,12,153451,0
153455,13,153454,0
153456,24,153447,0
153457,0,153456,0
153458,25,153456,0
153459,12,153456,0
153460,13,153459,0
153461,24,153447,0
153462,0,153461,0
153463,25,153461,0
153464,12,153461,0
153465,13,153464,0
153466,57,153446,0
153467,55,153466,0
153468,12,153467,0
153469,13,153468,0
153470,13,153467,0
153471,13,153446,0
153472,65,153368,0
153473,55,153472,0
153474,12,153473,0
153475,13,153474,0
153476,14,153473,0
153477,56,153472,0
153478,52,153477,0
153479,12,153478,0
153480,13,153479,0
153481,53,153478,0
153482,0,153481,0
153483,53,153478,0
153484,0,153483,0
153485,57,153477,0
153486,56,153485,0
153487,55,153486,0
153488,12,153487,0
153489,13,153488,0
153490,13,153487,0
153491,57,153486,0
153492,0,153491,0
153493,13,153486,0
153494,13,153477,0
153495,81,153368,0
153496,65,153495,0
153497,55,153496,0
153498,12,153497,0
153499,13,153498,0
153500,14,153497,0
153501,56,153496,0
153502,9,153501,0
153503,0,153502,0
153504,0,153502,0
153505,0,153502,0
153506,0,153502,0
153507,0,153502,0
153508,0,153502,0
153509,57,153501,0
153510,56,153509,0
153511,55,153510,0
153512,12,153511,0
153513,13,153512,0
153514,13,153511,0
153515,57,153510,0
153516,0,153515,0
153517,13,153510,0
153518,13,153501,0
153519,84,153495,0
153520,12,153519,0
153521,13,153520,0
153522,17,153519,0
153523,52,153522,0
153524,55,153523,0
153525,12,153524,0
153526,13,153525,0
153527,13,153524,0
153528,0,153523,0
153529,69,153519,0
153530,52,153529,0
153531,12,153530,0
153532,13,153531,0
153533,0,153530,0
153534,17,153368,0
153535,52,153534,0
153536,55,153535,0
153537,12,153536,0
153538,13,153537,0
