node_id,class_name,parent_id,Generator
160010,100,-1,0
160011,17,160010,0
160012,0,160011,0
160013,65,160010,0
160014,12,160013,0
160015,14,160014,0
160016,0,160013,0
160017,65,160010,0
160018,12,160017,0
160019,14,160018,0
160020,9,160017,0
160021,0,160020,0
160022,9,160020,0
160023,0,160022,0
160024,0,160022,0
160025,0,160022,0
160026,0,160022,0
160027,0,160022,0
160028,0,160022,0
160029,0,160022,0
160030,0,160022,0
160031,0,160022,0
160032,0,160022,0
160033,0,160022,0
160034,12,160022,0
160035,13,160034,0
160036,0,160022,0
160037,0,160022,0
160038,6,160022,0
160039,13,160038,0
160040,0,160022,0
160041,0,160022,0
160042,0,160022,0
