node_id,class_name,parent_id,Generator
189827,100,-1,0
189828,17,189827,0
189829,0,189828,0
189830,73,189827,0
189831,75,189830,0
189832,73,189827,0
189833,75,189832,0
189834,74,189827,0
189835,75,189834,0
189836,74,189827,0
189837,75,189836,0
189838,75,189836,0
189839,75,189836,0
189840,75,189836,0
189841,75,189836,0
189842,75,189836,0
189843,75,189836,0
189844,75,189836,0
189845,75,189836,0
189846,65,189827,0
189847,12,189846,0
189848,14,189847,0
189849,52,189846,0
189850,55,189849,0
189851,12,189850,0
189852,13,189851,0
189853,13,189850,0
189854,12,189849,0
189855,13,189854,0
189856,95,189827,0
189857,17,189856,0
189858,0,189857,0
189859,87,189856,0
189860,89,189859,0
189861,90,189860,0
189862,90,189860,0
189863,17,189859,0
189864,52,189863,0
189865,55,189864,0
189866,12,189865,0
189867,13,189866,0
189868,13,189865,0
189869,0,189864,0
189870,55,189864,0
189871,55,189870,0
189872,12,189871,0
189873,13,189872,0
189874,13,189871,0
189875,13,189870,0
189876,12,189864,0
189877,13,189876,0
189878,65,189859,0
189879,55,189878,0
189880,12,189879,0
189881,13,189880,0
189882,14,189879,0
189883,12,189878,0
189884,13,189883,0
189885,65,189859,0
189886,55,189885,0
189887,12,189886,0
189888,13,189887,0
189889,14,189886,0
189890,52,189885,0
189891,55,189890,0
189892,12,189891,0
189893,13,189892,0
189894,13,189891,0
189895,17,189859,0
189896,52,189895,0
189897,55,189896,0
189898,12,189897,0
189899,13,189898,0
189900,13,189897,0
189901,0,189896,0
189902,55,189896,0
189903,55,189902,0
189904,12,189903,0
189905,13,189904,0
189906,13,189903,0
189907,13,189902,0
189908,87,189856,0
189909,89,189908,0
189910,90,189909,0
189911,17,189908,0
189912,0,189911,0
189913,17,189908,0
189914,52,189913,0
189915,55,189914,0
189916,12,189915,0
189917,13,189916,0
189918,13,189915,0
189919,0,189914,0
189920,76,189908,0
189921,38,189920,0
189922,39,189921,0
189923,41,189921,0
189924,52,189923,0
189925,12,189924,0
189926,13,189925,0
189927,55,189924,0
189928,55,189927,0
189929,12,189928,0
189930,13,189929,0
189931,13,189928,0
189932,13,189927,0
189933,46,189923,0
189934,0,189923,0
189935,41,189921,0
189936,55,189935,0
189937,55,189936,0
189938,12,189937,0
189939,13,189938,0
189940,13,189937,0
189941,13,189936,0
189942,43,189935,0
189943,0,189935,0
189944,17,189920,0
189945,52,189944,0
189946,55,189945,0
189947,12,189946,0
189948,13,189947,0
189949,13,189946,0
189950,0,189945,0
189951,17,189920,0
189952,52,189951,0
189953,55,189952,0
189954,12,189953,0
189955,13,189954,0
189956,13,189953,0
189957,0,189952,0
189958,76,189908,0
189959,38,189958,0
189960,39,189959,0
189961,41,189959,0
189962,52,189961,0
189963,12,189962,0
