node_id,class_name,parent_id,Generator
228724,100,-1,0
228725,17,228724,0
228726,0,228725,0
228727,73,228724,0
228728,75,228727,0
228729,74,228724,0
228730,75,228729,0
228731,73,228724,0
228732,75,228731,0
228733,74,228724,0
228734,75,228733,0
228735,74,228724,0
228736,75,228735,0
228737,75,228735,0
228738,75,228735,0
228739,95,228724,0
228740,12,228739,0
228741,13,228740,0
228742,17,228739,0
228743,0,228742,0
228744,87,228739,0
228745,89,228744,0
228746,90,228745,0
228747,90,228745,0
228748,90,228745,0
228749,65,228744,0
228750,55,228749,0
228751,12,228750,0
228752,13,228751,0
228753,14,228750,0
228754,0,228749,0
228755,65,228744,0
228756,55,228755,0
228757,12,228756,0
228758,13,228757,0
228759,14,228756,0
228760,52,228755,0
228761,12,228760,0
228762,13,228761,0
228763,6,228760,0
228764,0,228763,0
228765,13,228763,0
228766,6,228760,0
228767,55,228766,0
228768,12,228767,0
228769,13,228768,0
228770,13,228767,0
228771,13,228766,0
228772,6,228760,0
228773,0,228772,0
228774,13,228772,0
228775,65,228744,0
228776,12,228775,0
228777,14,228776,0
228778,0,228775,0
228779,65,228744,0
228780,12,228779,0
228781,14,228780,0
228782,9,228779,0
228783,0,228782,0
228784,55,228782,0
228785,12,228784,0
228786,13,228785,0
228787,13,228784,0
228788,17,228744,0
228789,52,228788,0
228790,55,228789,0
228791,52,228790,0
228792,12,228791,0
228793,13,228792,0
228794,13,228790,0
228795,12,228789,0
228796,13,228795,0
228797,12,228789,0
228798,13,228797,0
228799,53,228789,0
228800,12,228799,0
228801,13,228800,0
228802,53,228789,0
228803,12,228802,0
228804,13,228803,0
228805,87,228739,0
228806,89,228805,0
228807,90,228806,0
228808,17,228805,0
228809,0,228808,0
228810,91,228805,0
228811,9,228810,0
228812,0,228811,0
228813,0,228811,0
228814,0,228811,0
228815,0,228811,0
228816,7,228811,0
228817,0,228816,0
228818,0,228816,0
228819,13,228816,0
228820,7,228811,0
228821,0,228820,0
228822,0,228820,0
228823,13,228820,0
228824,7,228811,0
228825,0,228824,0
228826,0,228824,0
228827,13,228824,0
228828,7,228811,0
228829,0,228828,0
228830,0,228828,0
228831,13,228828,0
228832,12,228805,0
228833,13,228832,0
228834,87,228739,0
228835,89,228834,0
228836,90,228835,0
228837,17,228834,0
228838,0,228837,0
228839,65,228834,0
228840,12,228839,0
228841,14,228840,0
228842,52,228839,0
228843,55,228842,0
228844,55,228843,0
228845,12,228844,0
228846,13,228845,0
228847,13,228844,0
228848,13,228843,0
228849,0,228842,0
228850,91,228834,0
228851,60,228850,0
228852,52,228851,0
228853,55,228852,0
228854,55,228853,0
228855,12,228854,0
228856,13,228855,0
228857,13,228854,0
228858,13,228853,0
228859,12,228852,0
228860,13,228859,0
228861,64,228851,0
228862,12,228861,0
228863,14,228862,0
228864,12,228861,0
228865,13,228864,0
228866,41,228861,0
228867,52,228866,0
228868,55,228867,0
228869,55,228868,0
228870,12,228869,0
228871,13,228870,0
228872,13,228869,0
228873,13,228868,0
228874,12,228867,0
228875,13,228874,0
228876,0,228867,0
228877,43,228866,0
228878,0,228866,0
228879,12,228834,0
228880,13,228879,0
228881,87,228739,0
228882,89,228881,0
228883,90,228882,0
228884,17,228881,0
228885,0,228884,0
228886,65,228881,0
228887,12,228886,0
228888,14,228887,0
228889,52,228886,0
228890,12,228889,0
228891,13,228890,0
228892,0,228889,0
228893,12,228889,0
228894,13,228893,0
228895,53,228889,0
228896,0,228895,0
228897,53,228889,0
228898,6,228897,0
228899,0,228898,0
228900,0,228898,0
228901,13,228898,0
228902,53,228889,0
228903,0,228902,0
228904,53,228889,0
228905,0,228904,0
228906,53,228889,0
228907,0,228906,0
228908,65,228881,0
228909,55,228908,0
228910,12,228909,0
228911,13,228910,0
228912,14,228909,0
228913,55,228908,0
228914,12,228913,0
228915,13,228914,0
228916,13,228913,0
228917,17,228881,0
228918,52,228917,0
228919,55,228918,0
228920,12,228919,0
228921,13,228920,0
228922,13,228919,0
228923,12,228918,0
228924,13,228923,0
228925,65,228881,0
228926,12,228925,0
228927,14,228926,0
228928,52,228925,0
228929,12,228928,0
228930,13,228929,0
228931,0,228928,0
228932,12,228928,0
228933,13,228932,0
228934,53,228928,0
228935,0,228934,0
228936,53,228928,0
228937,6,228936,0
228938,0,228937,0
228939,0,228937,0
228940,0,228937,0
228941,0,228937,0
228942,13,228937,0
228943,53,228928,0
228944,0,228943,0
228945,53,228928,0
228946,0,228945,0
228947,53,228928,0
228948,0,228947,0
228949,65,228881,0
228950,12,228949,0
228951,14,228950,0
228952,55,228949,0
228953,12,228952,0
228954,13,228953,0
228955,13,228952,0
228956,17,228881,0
228957,52,228956,0
228958,55,228957,0
228959,12,228958,0
228960,13,228959,0
228961,13,228958,0
228962,0,228957,0
228963,88,228957,0
228964,89,228963,0
228965,90,228964,0
228966,90,228964,0
228967,12,228964,0
228968,13,228967,0
228969,52,228963,0
228970,55,228969,0
228971,55,228970,0
228972,55,228971,0
228973,12,228972,0
228974,13,228973,0
228975,13,228972,0
228976,13,228971,0
228977,13,228970,0
228978,52,228969,0
228979,55,228978,0
228980,12,228979,0
228981,13,228980,0
228982,13,228979,0
228983,17,228881,0
228984,52,228983,0
228985,55,228984,0
228986,12,228985,0
228987,13,228986,0
228988,13,228985,0
228989,12,228984,0
228990,13,228989,0
228991,87,228739,0
228992,89,228991,0
228993,90,228992,0
228994,17,228991,0
228995,0,228994,0
228996,76,228991,0
228997,55,228996,0
228998,55,228997,0
228999,12,228998,0
229000,13,228999,0
229001,13,228998,0
229002,13,228997,0
229003,17,228996,0
229004,52,229003,0
229005,55,229004,0
229006,12,229005,0
229007,13,229006,0
229008,13,229005,0
229009,0,229004,0
229010,17,228996,0
229011,52,229010,0
