node_id,class_name,parent_id,Generator
209167,100,-1,0
209168,17,209167,0
209169,0,209168,0
209170,73,209167,0
209171,75,209170,0
209172,73,209167,0
209173,75,209172,0
209174,73,209167,0
209175,75,209174,0
209176,73,209167,0
209177,75,209176,0
209178,74,209167,0
209179,75,209178,0
209180,74,209167,0
209181,75,209180,0
209182,73,209167,0
209183,75,209182,0
209184,73,209167,0
209185,75,209184,0
209186,74,209167,0
209187,75,209186,0
209188,74,209167,0
209189,75,209188,0
209190,75,209188,0
209191,75,209188,0
209192,75,209188,0
209193,74,209167,0
209194,75,209193,0
209195,74,209167,0
209196,75,209195,0
209197,74,209167,0
209198,75,209197,0
209199,74,209167,0
209200,75,209199,0
209201,75,209199,0
209202,74,209167,0
209203,75,209202,0
209204,75,209202,0
209205,74,209167,0
209206,75,209205,0
209207,74,209167,0
209208,75,209207,0
209209,65,209167,0
209210,12,209209,0
209211,14,209210,0
209212,52,209209,0
209213,55,209212,0
209214,12,209213,0
209215,13,209214,0
209216,13,209213,0
209217,12,209212,0
209218,13,209217,0
209219,95,209167,0
209220,55,209219,0
209221,12,209220,0
209222,13,209221,0
209223,13,209220,0
209224,17,209219,0
209225,0,209224,0
209226,87,209219,0
209227,89,209226,0
209228,90,209227,0
209229,90,209227,0
209230,17,209226,0
209231,52,209230,0
209232,55,209231,0
209233,12,209232,0
209234,13,209233,0
209235,13,209232,0
209236,0,209231,0
209237,55,209231,0
209238,55,209237,0
209239,12,209238,0
209240,13,209239,0
209241,13,209238,0
209242,13,209237,0
209243,12,209231,0
209244,13,209243,0
209245,17,209226,0
209246,52,209245,0
209247,55,209246,0
209248,52,209247,0
209249,12,209248,0
209250,13,209249,0
209251,13,209247,0
209252,17,209226,0
209253,52,209252,0
209254,55,209253,0
209255,12,209254,0
209256,13,209255,0
209257,13,209254,0
209258,65,209226,0
209259,55,209258,0
209260,12,209259,0
209261,13,209260,0
209262,14,209259,0
209263,52,209258,0
209264,12,209263,0
209265,13,209264,0
209266,55,209263,0
209267,12,209266,0
209268,13,209267,0
209269,13,209266,0
209270,65,209226,0
209271,12,209270,0
209272,14,209271,0
209273,52,209270,0
209274,12,209273,0
209275,13,209274,0
209276,55,209273,0
209277,12,209276,0
209278,13,209277,0
209279,13,209276,0
209280,55,209273,0
209281,12,209280,0
209282,13,209281,0
209283,13,209280,0
209284,65,209226,0
209285,55,209284,0
209286,12,209285,0
209287,13,209286,0
209288,14,209285,0
209289,52,209284,0
209290,12,209289,0
209291,13,209290,0
209292,55,209289,0
209293,12,209292,0
209294,13,209293,0
209295,13,209292,0
209296,55,209289,0
209297,12,209296,0
209298,13,209297,0
209299,13,209296,0
209300,55,209289,0
209301,12,209300,0
209302,13,209301,0
209303,13,209300,0
209304,12,209289,0
209305,13,209304,0
209306,65,209226,0
209307,12,209306,0
209308,14,209307,0
209309,55,209306,0
209310,55,209309,0
209311,12,209310,0
209312,13,209311,0
209313,13,209310,0
209314,13,209309,0
209315,65,209226,0
209316,12,209315,0
209317,14,209316,0
209318,52,209315,0
209319,12,209318,0
209320,13,209319,0
209321,55,209318,0
209322,12,209321,0
209323,13,209322,0
209324,13,209321,0
209325,55,209318,0
209326,12,209325,0
209327,13,209326,0
209328,13,209325,0
209329,12,209318,0
209330,13,209329,0
209331,17,209226,0
209332,52,209331,0
209333,55,209332,0
209334,55,209333,0
209335,12,209334,0
209336,13,209335,0
209337,13,209334,0
209338,13,209333,0
209339,65,209226,0
209340,55,209339,0
209341,12,209340,0
209342,13,209341,0
209343,14,209340,0
209344,52,209339,0
209345,55,209344,0
209346,12,209345,0
209347,13,209346,0
209348,13,209345,0
209349,17,209226,0
209350,52,209349,0
209351,55,209350,0
209352,12,209351,0
209353,13,209352,0
209354,13,209351,0
209355,12,209350,0
209356,13,209355,0
209357,12,209350,0
209358,13,209357,0
209359,12,209350,0
209360,13,209359,0
209361,17,209226,0
209362,52,209361,0
209363,55,209362,0
209364,12,209363,0
209365,13,209364,0
209366,13,209363,0
209367,55,209362,0
209368,12,209367,0
209369,13,209368,0
209370,13,209367,0
209371,55,209362,0
209372,12,209371,0
209373,13,209372,0
209374,13,209371,0
209375,55,209362,0
209376,12,209375,0
209377,13,209376,0
209378,13,209375,0
209379,65,209226,0
