node_id,class_name,parent_id,Generator
251334,100,-1,0
251335,17,251334,0
251336,0,251335,0
251337,74,251334,0
251338,75,251337,0
251339,74,251334,0
251340,75,251339,0
251341,65,251334,0
251342,12,251341,0
251343,14,251342,0
251344,0,251341,0
251345,95,251334,0
251346,12,251345,0
251347,13,251346,0
251348,17,251345,0
251349,0,251348,0
251350,87,251345,0
251351,89,251350,0
251352,17,251350,0
251353,0,251352,0
251354,91,251350,0
251355,0,251354,0
251356,12,251350,0
251357,13,251356,0
251358,87,251345,0
251359,89,251358,0
251360,17,251358,0
251361,0,251360,0
251362,65,251358,0
251363,12,251362,0
251364,14,251363,0
251365,52,251362,0
251366,12,251365,0
251367,13,251366,0
251368,17,251358,0
251369,52,251368,0
251370,55,251369,0
251371,12,251370,0
251372,13,251371,0
251373,13,251370,0
251374,9,251369,0
251375,0,251374,0
251376,0,251374,0
251377,0,251374,0
251378,0,251374,0
251379,0,251374,0
251380,7,251374,0
251381,0,251380,0
251382,0,251380,0
251383,13,251380,0
251384,12,251374,0
251385,13,251384,0
251386,0,251374,0
251387,0,251374,0
251388,0,251374,0
251389,91,251358,0
251390,12,251389,0
251391,13,251390,0
251392,12,251358,0
251393,13,251392,0
