node_id,class_name,parent_id
43834,100,-1
43835,65,43834
43836,12,43835
43837,14,43836
43838,6,43835
43839,0,43838
43840,0,43838
43841,0,43838
43842,0,43838
43843,13,43838
43844,74,43834
43845,75,43844
43846,73,43834
43847,75,43846
43848,74,43834
43849,75,43848
43850,74,43834
43851,75,43850
43852,74,43834
43853,75,43852
43854,95,43834
43855,12,43854
43856,13,43855
43857,65,43854
43858,12,43857
43859,14,43858
43860,24,43857
43861,55,43860
43862,12,43861
43863,13,43862
43864,13,43861
43865,25,43860
43866,0,43860
43867,17,43854
43868,0,43867
43869,87,43854
43870,89,43869
43871,90,43870
43872,65,43869
43873,55,43872
43874,12,43873
43875,13,43874
43876,14,43873
43877,0,43872
43878,87,43854
43879,89,43878
43880,90,43879
43881,76,43878
43882,55,43881
43883,12,43882
43884,13,43883
43885,13,43882
43886,65,43881
43887,55,43886
43888,12,43887
43889,13,43888
43890,14,43887
43891,52,43886
43892,12,43891
43893,13,43892
43894,55,43891
43895,12,43894
43896,13,43895
43897,13,43894
43898,55,43891
43899,12,43898
43900,13,43899
43901,13,43898
43902,55,43891
43903,12,43902
43904,13,43903
43905,13,43902
43906,87,43854
43907,89,43906
43908,90,43907
43909,76,43906
43910,19,43909
43911,22,43910
43912,55,43910
43913,12,43912
43914,13,43913
43915,13,43912
43916,91,43909
43917,65,43906
43918,55,43917
43919,12,43918
43920,13,43919
43921,14,43918
43922,0,43917
43923,17,43906
43924,52,43923
43925,55,43924
43926,12,43925
43927,13,43926
43928,13,43925
43929,17,43906
43930,52,43929
43931,12,43930
43932,13,43931
43933,55,43930
43934,12,43933
43935,13,43934
43936,13,43933
43937,55,43930
43938,12,43937
43939,13,43938
43940,13,43937
43941,55,43930
43942,12,43941
43943,13,43942
43944,13,43941
43945,87,43854
43946,89,43945
43947,90,43946
43948,76,43945
43949,55,43948
43950,12,43949
43951,13,43950
43952,13,43949
43953,17,43948
43954,52,43953
43955,55,43954
43956,55,43955
43957,12,43956
43958,13,43957
43959,13,43956
43960,13,43955
43961,87,43854
43962,89,43961
43963,90,43962
43964,65,43961
43965,55,43964
43966,12,43965
43967,13,43966
43968,14,43965
43969,0,43964
43970,65,43961
43971,55,43970
43972,12,43971
43973,13,43972
43974,14,43971
43975,52,43970
43976,12,43975
43977,13,43976
43978,54,43975
43979,19,43978
43980,22,43979
43981,55,43979
43982,12,43981
43983,13,43982
43984,13,43981
43985,56,43978
43986,56,43985
43987,55,43986
43988,55,43987
43989,12,43988
43990,13,43989
43991,13,43988
43992,13,43987
43993,57,43986
43994,0,43993
43995,13,43986
43996,57,43985
43997,0,43996
43998,13,43985
43999,55,43978
44000,12,43999
44001,13,44000
44002,13,43999
44003,65,43961
44004,55,44003
44005,12,44004
44006,13,44005
44007,14,44004
44008,9,44003
44009,87,43854
44010,89,44009
44011,90,44010
44012,65,44009
44013,55,44012
44014,12,44013
44015,13,44014
44016,14,44013
44017,52,44012
44018,12,44017
44019,13,44018
44020,53,44017
44021,55,44020
44022,12,44021
44023,13,44022
44024,13,44021
44025,87,43854
44026,89,44025
44027,90,44026
44028,17,44025
44029,52,44028
44030,55,44029
44031,12,44030
44032,13,44031
44033,13,44030
44034,87,43854
44035,89,44034
44036,90,44035
44037,76,44034
44038,52,44037
44039,12,44038
44040,13,44039
44041,12,44038
44042,13,44041
44043,0,44038
44044,0,44038
44045,17,44037
44046,52,44045
44047,55,44046
44048,55,44047
44049,12,44048
44050,13,44049
44051,13,44048
44052,13,44047
44053,95,43834
44054,12,44053
44055,13,44054
44056,17,44053
44057,0,44056
44058,87,44053
44059,89,44058
44060,90,44059
44061,90,44059
44062,90,44059
44063,90,44059
44064,90,44059
44065,90,44059
44066,90,44059
44067,0,44059
44068,0,44059
44069,0,44059
44070,0,44059
44071,0,44059
44072,0,44059
44073,17,44058
44074,52,44073
44075,55,44074
44076,52,44075
44077,12,44076
44078,13,44077
44079,13,44075
44080,17,44058
44081,52,44080
44082,12,44081
44083,13,44082
44084,87,44053
44085,89,44084
44086,90,44085
44087,65,44084
44088,55,44087
44089,12,44088
44090,13,44089
44091,14,44088
44092,38,44087
44093,39,44092
44094,19,44092
44095,22,44094
44096,52,44094
44097,12,44096
44098,13,44097
44099,55,44096
44100,12,44099
44101,13,44100
44102,13,44099
44103,0,44096
44104,19,44092
44105,22,44104
44106,52,44104
44107,12,44106
44108,13,44107
44109,12,44106
44110,13,44109
44111,0,44106
44112,41,44092
44113,52,44112
44114,12,44113
44115,13,44114
44116,42,44112
44117,0,44112
44118,76,44084
44119,19,44118
44120,22,44119
44121,55,44119
44122,12,44121
44123,13,44122
44124,13,44121
44125,91,44118
44126,17,44084
44127,52,44126
44128,55,44127
44129,12,44128
44130,13,44129
44131,13,44128
44132,76,44084
44133,55,44132
44134,12,44133
44135,13,44134
44136,13,44133
44137,76,44132
44138,52,44137
44139,12,44138
44140,13,44139
44141,55,44138
44142,12,44141
44143,13,44142
44144,13,44141
44145,0,44138
44146,69,44137
44147,52,44146
44148,12,44147
44149,13,44148
44150,0,44147
44151,65,44132
44152,12,44151
44153,14,44152
44154,52,44151
44155,55,44154
44156,55,44155
44157,12,44156
44158,13,44157
44159,13,44156
44160,13,44155
44161,17,44132
44162,52,44161
44163,55,44162
44164,55,44163
44165,12,44164
44166,13,44165
44167,13,44164
44168,13,44163
44169,12,44162
44170,13,44169
44171,17,44132
44172,52,44171
44173,55,44172
44174,55,44173
44175,12,44174
44176,13,44175
44177,13,44174
44178,13,44173
44179,55,44172
44180,12,44179
44181,13,44180
44182,13,44179
44183,16,44172
44184,55,44183
44185,12,44184
44186,13,44185
44187,13,44184
44188,13,44183
44189,87,44053
44190,89,44189
44191,90,44190
44192,17,44189
44193,52,44192
44194,55,44193
44195,55,44194
44196,12,44195
44197,13,44196
44198,13,44195
44199,13,44194
44200,0,44193
44201,55,44193
44202,12,44201
44203,13,44202
44204,13,44201
44205,55,44193
44206,12,44205
44207,13,44206
44208,13,44205
44209,77,44189
44210,7,44209
44211,12,44210
44212,14,44211
44213,12,44210
44214,14,44213
44215,14,44210
44216,52,44209
44217,12,44216
44218,13,44217
44219,55,44216
44220,55,44219
44221,12,44220
44222,13,44221
44223,13,44220
44224,13,44219
44225,77,44209
44226,7,44225
44227,12,44226
44228,14,44227
44229,12,44226
44230,14,44229
44231,14,44226
44232,52,44225
44233,55,44232
44234,12,44233
44235,13,44234
44236,13,44233
44237,17,44225
44238,52,44237
44239,55,44238
44240,55,44239
44241,12,44240
44242,13,44241
44243,13,44240
44244,13,44239
44245,4,44238
44246,3,44245
44247,12,44246
44248,13,44247
44249,0,44245
44250,3,44245
44251,12,44250
44252,13,44251
44253,12,44238
44254,13,44253
44255,55,44238
44256,12,44255
44257,13,44256
44258,13,44255
44259,87,44053
44260,89,44259
44261,90,44260
44262,77,44259
44263,7,44262
44264,12,44263
44265,14,44264
44266,12,44263
44267,14,44266
44268,14,44263
44269,52,44262
44270,12,44269
44271,13,44270
44272,56,44269
44273,55,44272
44274,55,44273
44275,12,44274
44276,13,44275
44277,13,44274
44278,13,44273
44279,58,44272
44280,0,44279
44281,19,44279
44282,21,44281
44283,0,44281
44284,13,44272
44285,56,44269
44286,55,44285
44287,55,44286
44288,12,44287
44289,13,44288
44290,13,44287
44291,13,44286
44292,58,44285
44293,0,44292
44294,19,44292
44295,21,44294
44296,0,44294
44297,13,44285
44298,17,44262
44299,52,44298
44300,55,44299
44301,55,44300
44302,12,44301
44303,13,44302
44304,13,44301
44305,13,44300
44306,12,44299
44307,13,44306
44308,12,44299
44309,13,44308
44310,55,44299
44311,12,44310
44312,13,44311
44313,13,44310
44314,76,44259
44315,55,44314
44316,12,44315
44317,13,44316
44318,13,44315
44319,65,44314
44320,12,44319
44321,14,44320
44322,52,44319
44323,55,44322
44324,55,44323
44325,55,44324
44326,12,44325
44327,13,44326
44328,13,44325
44329,13,44324
44330,13,44323
44331,17,44314
44332,52,44331
44333,55,44332
44334,55,44333
44335,12,44334
44336,13,44335
44337,13,44334
44338,13,44333
44339,0,44332
44340,12,44332
44341,13,44340
44342,65,44314
44343,12,44342
44344,14,44343
44345,52,44342
44346,52,44345
44347,12,44346
44348,13,44347
44349,55,44346
44350,12,44349
44351,13,44350
44352,13,44349
44353,0,44346
44354,12,44346
44355,13,44354
44356,55,44345
44357,12,44356
44358,13,44357
44359,13,44356
44360,65,44314
44361,12,44360
44362,14,44361
44363,52,44360
44364,52,44363
44365,12,44364
44366,13,44365
44367,55,44364
44368,12,44367
44369,13,44368
44370,13,44367
44371,0,44364
44372,12,44364
44373,13,44372
44374,12,44363
44375,13,44374
44376,65,44314
44377,7,44376
44378,12,44377
44379,14,44378
44380,12,44377
44381,14,44380
44382,12,44377
44383,14,44382
44384,12,44377
44385,14,44384
44386,14,44377
44387,52,44376
44388,55,44387
44389,55,44388
44390,55,44389
44391,12,44390
44392,13,44391
44393,13,44390
44394,13,44389
44395,13,44388
44396,12,44387
44397,13,44396
44398,12,44387
44399,13,44398
44400,53,44387
44401,0,44400
44402,53,44387
44403,55,44402
44404,12,44403
44405,13,44404
44406,13,44403
44407,17,44314
44408,52,44407
44409,12,44408
44410,13,44409
44411,12,44408
44412,13,44411
44413,12,44408
44414,13,44413
44415,12,44408
44416,13,44415
44417,12,44408
44418,13,44417
44419,55,44408
44420,12,44419
44421,13,44420
44422,13,44419
44423,55,44408
44424,12,44423
44425,13,44424
44426,13,44423
44427,87,44053
44428,89,44427
44429,90,44428
44430,76,44427
44431,55,44430
44432,12,44431
44433,13,44432
44434,13,44431
44435,17,44430
44436,52,44435
44437,55,44436
44438,12,44437
44439,13,44438
44440,13,44437
44441,95,43834
44442,12,44441
44443,13,44442
44444,17,44441
44445,0,44444
44446,87,44441
44447,89,44446
44448,90,44447
44449,90,44447
44450,90,44447
44451,0,44447
44452,0,44447
44453,17,44446
44454,52,44453
44455,55,44454
44456,52,44455
44457,12,44456
44458,13,44457
44459,13,44455
44460,17,44446
44461,52,44460
44462,12,44461
44463,13,44462
44464,87,44441
44465,89,44464
44466,90,44465
44467,65,44464
44468,55,44467
44469,12,44468
44470,13,44469
44471,14,44468
44472,38,44467
44473,39,44472
44474,19,44472
44475,22,44474
44476,52,44474
44477,12,44476
44478,13,44477
44479,55,44476
44480,12,44479
44481,13,44480
44482,13,44479
44483,0,44476
44484,52,44472
44485,12,44484
44486,13,44485
44487,12,44484
44488,13,44487
44489,0,44484
44490,41,44472
44491,52,44490
44492,12,44491
44493,13,44492
44494,42,44490
44495,0,44490
44496,76,44464
44497,19,44496
44498,22,44497
44499,55,44497
44500,12,44499
44501,13,44500
44502,13,44499
44503,91,44496
44504,17,44464
44505,52,44504
44506,55,44505
44507,12,44506
44508,13,44507
44509,13,44506
44510,87,44441
44511,89,44510
44512,90,44511
44513,17,44510
44514,52,44513
44515,55,44514
44516,12,44515
44517,13,44516
44518,13,44515
44519,87,43834
44520,89,44519
44521,90,44520
44522,90,44520
44523,90,44520
44524,65,44519
44525,12,44524
44526,14,44525
44527,54,44524
44528,52,44527
44529,12,44528
44530,13,44529
44531,55,44528
44532,12,44531
44533,13,44532
44534,13,44531
44535,0,44528
44536,0,44528
44537,60,44527
44538,56,44537
44539,55,44538
44540,55,44539
44541,12,44540
44542,13,44541
44543,13,44540
44544,13,44539
44545,57,44538
44546,12,44545
44547,13,44546
44548,13,44538
44549,64,44537
44550,12,44549
44551,14,44550
44552,56,44549
44553,12,44552
44554,13,44553
44555,57,44552
44556,0,44555
44557,13,44552
44558,0,44527
44559,65,44519
44560,12,44559
44561,14,44560
44562,52,44559
44563,55,44562
44564,56,44563
44565,12,44564
44566,13,44565
44567,57,44564
44568,0,44567
44569,13,44564
44570,13,44563
44571,17,44519
44572,52,44571
44573,55,44572
44574,12,44573
44575,13,44574
44576,13,44573
44577,12,44572
44578,13,44577
44579,53,44572
44580,12,44579
44581,13,44580
44582,53,44572
44583,56,44582
44584,12,44583
44585,13,44584
44586,57,44583
44587,0,44586
44588,13,44583
44589,53,44572
44590,55,44589
44591,12,44590
44592,13,44591
44593,13,44590
44594,87,43834
44595,89,44594
44596,90,44595
44597,90,44595
44598,90,44595
44599,65,44594
44600,12,44599
44601,14,44600
44602,52,44599
44603,12,44602
44604,13,44603
44605,55,44602
44606,12,44605
44607,13,44606
44608,13,44605
44609,65,44594
44610,12,44609
44611,14,44610
44612,54,44609
44613,41,44612
44614,55,44613
44615,12,44614
44616,13,44615
44617,13,44614
44618,42,44613
44619,0,44613
44620,0,44612
44621,0,44612
44622,65,44594
44623,56,44622
44624,12,44623
44625,13,44624
44626,57,44623
44627,0,44626
44628,14,44623
44629,54,44622
44630,12,44629
44631,13,44630
44632,55,44629
44633,12,44632
44634,13,44633
44635,13,44632
44636,52,44629
44637,55,44636
44638,12,44637
44639,13,44638
44640,13,44637
44641,7,44636
44642,56,44641
44643,12,44642
44644,13,44643
44645,57,44642
44646,0,44645
44647,13,44642
44648,55,44641
44649,12,44648
44650,13,44649
44651,13,44648
44652,13,44641
44653,0,44636
44654,65,44594
44655,56,44654
44656,12,44655
44657,13,44656
44658,57,44655
44659,0,44658
44660,14,44655
44661,54,44654
44662,12,44661
44663,13,44662
44664,12,44661
44665,13,44664
44666,52,44661
44667,55,44666
44668,12,44667
44669,13,44668
44670,13,44667
44671,7,44666
44672,56,44671
44673,12,44672
44674,13,44673
44675,57,44672
44676,0,44675
44677,13,44672
44678,12,44671
44679,13,44678
44680,13,44671
44681,0,44666
44682,76,44594
44683,52,44682
44684,12,44683
44685,13,44684
44686,55,44683
44687,12,44686
44688,13,44687
44689,13,44686
44690,0,44683
44691,0,44683
44692,65,44682
44693,56,44692
44694,12,44693
44695,13,44694
44696,57,44693
44697,0,44696
44698,14,44693
44699,54,44692
44700,12,44699
44701,13,44700
44702,55,44699
44703,12,44702
44704,13,44703
44705,13,44702
44706,52,44699
44707,55,44706
44708,12,44707
44709,13,44708
44710,13,44707
44711,7,44706
44712,56,44711
44713,12,44712
44714,13,44713
44715,57,44712
44716,0,44715
44717,13,44712
44718,55,44711
44719,12,44718
44720,13,44719
44721,13,44718
44722,13,44711
44723,0,44706
44724,91,44594
44725,12,44724
