node_id,class_name,parent_id
4389,100,-1
4390,65,4389
4391,12,4390
4392,14,4391
4393,6,4390
4394,0,4393
4395,0,4393
4396,0,4393
4397,0,4393
4398,13,4393
4399,74,4389
4400,75,4399
4401,74,4389
4402,75,4401
4403,74,4389
4404,75,4403
4405,73,4389
4406,75,4405
4407,87,4389
4408,89,4407
4409,90,4408
4410,90,4408
4411,90,4408
4412,90,4408
4413,69,4407
4414,52,4413
4415,12,4414
4416,13,4415
4417,4,4414
4418,0,4417
4419,3,4417
4420,52,4419
4421,12,4420
4422,13,4421
4423,12,4420
4424,13,4423
4425,0,4417
4426,3,4417
4427,52,4426
4428,12,4427
4429,13,4428
4430,12,4427
4431,13,4430
4432,12,4407
4433,13,4432
4434,95,4389
4435,17,4434
4436,0,4435
4437,87,4434
4438,89,4437
4439,90,4438
4440,90,4438
4441,90,4438
4442,90,4438
4443,90,4438
4444,90,4438
4445,90,4438
4446,17,4437
4447,52,4446
4448,12,4447
4449,13,4448
4450,0,4447
4451,87,4434
4452,89,4451
4453,90,4452
4454,90,4452
4455,90,4452
4456,90,4452
4457,90,4452
4458,0,4452
4459,0,4452
4460,0,4452
4461,17,4451
4462,0,4461
4463,76,4451
4464,41,4463
4465,12,4464
4466,13,4465
4467,48,4464
4468,0,4464
4469,65,4463
4470,12,4469
4471,14,4470
4472,56,4469
4473,55,4472
4474,12,4473
4475,13,4474
4476,13,4473
4477,57,4472
4478,12,4477
4479,13,4478
4480,13,4472
4481,91,4451
4482,52,4481
4483,12,4482
4484,13,4483
4485,12,4482
4486,13,4485
4487,16,4482
4488,52,4487
4489,55,4488
4490,12,4489
4491,13,4490
4492,13,4489
4493,53,4488
4494,12,4493
4495,13,4494
4496,53,4488
4497,0,4496
4498,53,4488
4499,0,4498
4500,53,4488
4501,0,4500
4502,53,4488
4503,0,4502
4504,13,4487
4505,12,4451
4506,13,4505
4507,87,4434
4508,89,4507
4509,90,4508
4510,90,4508
4511,90,4508
4512,0,4508
4513,0,4508
4514,17,4507
4515,0,4514
4516,91,4507
4517,52,4516
4518,55,4517
4519,55,4518
4520,12,4519
4521,13,4520
4522,13,4519
4523,13,4518
4524,52,4517
4525,12,4524
4526,13,4525
4527,12,4524
4528,13,4527
4529,52,4524
4530,12,4529
4531,13,4530
4532,55,4529
4533,12,4532
4534,13,4533
4535,13,4532
4536,53,4517
4537,12,4536
4538,13,4537
4539,87,4434
4540,89,4539
4541,90,4540
4542,90,4540
4543,90,4540
4544,90,4540
4545,0,4540
4546,65,4539
4547,7,4546
4548,12,4547
4549,14,4548
4550,12,4547
4551,14,4550
4552,14,4547
4553,52,4546
4554,55,4553
4555,12,4554
4556,13,4555
4557,13,4554
4558,12,4553
4559,13,4558
4560,12,4553
4561,13,4560
4562,76,4539
4563,19,4562
4564,22,4563
4565,52,4563
4566,12,4565
4567,13,4566
4568,55,4565
4569,12,4568
4570,13,4569
4571,13,4568
4572,12,4565
4573,13,4572
4574,65,4562
4575,55,4574
4576,12,4575
4577,13,4576
4578,14,4575
4579,7,4574
4580,55,4579
4581,12,4580
4582,13,4581
4583,13,4580
4584,13,4579
4585,76,4539
4586,52,4585
4587,12,4586
4588,13,4587
4589,56,4586
4590,55,4589
4591,12,4590
4592,13,4591
4593,13,4590
4594,57,4589
4595,0,4594
4596,13,4589
4597,12,4586
4598,13,4597
4599,65,4585
4600,12,4599
4601,14,4600
4602,52,4599
4603,12,4602
4604,13,4603
4605,62,4602
4606,56,4605
4607,12,4606
4608,13,4607
4609,57,4606
4610,12,4609
4611,13,4610
4612,13,4606
4613,64,4605
4614,12,4613
4615,14,4614
4616,55,4613
4617,12,4616
4618,13,4617
4619,13,4616
4620,65,4585
4621,12,4620
4622,14,4621
4623,52,4620
4624,55,4623
4625,55,4624
4626,12,4625
4627,13,4626
4628,13,4625
4629,13,4624
4630,52,4623
4631,55,4630
4632,55,4631
4633,12,4632
4634,13,4633
4635,13,4632
4636,13,4631
4637,60,4630
4638,52,4637
4639,12,4638
4640,13,4639
4641,62,4638
4642,56,4641
4643,12,4642
4644,13,4643
4645,57,4642
4646,12,4645
4647,13,4646
4648,13,4642
4649,64,4641
4650,12,4649
4651,14,4650
4652,55,4649
4653,12,4652
4654,13,4653
4655,13,4652
4656,64,4637
4657,12,4656
4658,14,4657
4659,12,4656
4660,13,4659
4661,65,4539
4662,12,4661
4663,14,4662
4664,24,4661
4665,12,4664
4666,13,4665
4667,25,4664
4668,52,4664
4669,12,4668
4670,13,4669
4671,62,4668
4672,56,4671
4673,12,4672
4674,13,4673
4675,57,4672
4676,12,4675
4677,13,4676
4678,13,4672
4679,64,4671
4680,12,4679
4681,14,4680
4682,54,4679
4683,52,4682
4684,12,4683
4685,13,4684
4686,55,4683
4687,12,4686
4688,13,4687
4689,13,4686
4690,55,4682
4691,12,4690
4692,13,4691
4693,13,4690
4694,7,4682
4695,55,4694
4696,12,4695
4697,13,4696
4698,13,4695
4699,13,4694
4700,65,4539
4701,7,4700
4702,12,4701
4703,14,4702
4704,12,4701
4705,14,4704
4706,12,4701
4707,14,4706
4708,14,4701
4709,52,4700
4710,55,4709
4711,55,4710
4712,12,4711
4713,13,4712
4714,13,4711
4715,13,4710
4716,12,4709
4717,13,4716
4718,53,4709
4719,12,4718
4720,13,4719
4721,65,4539
4722,12,4721
4723,14,4722
4724,24,4721
4725,12,4724
4726,13,4725
4727,25,4724
4728,52,4724
4729,12,4728
4730,13,4729
4731,62,4728
4732,56,4731
4733,12,4732
4734,13,4733
4735,57,4732
4736,12,4735
4737,13,4736
4738,13,4732
4739,64,4731
4740,12,4739
4741,14,4740
4742,54,4739
4743,52,4742
4744,12,4743
4745,13,4744
4746,55,4743
4747,12,4746
4748,13,4747
4749,13,4746
4750,55,4742
4751,12,4750
4752,13,4751
4753,13,4750
4754,7,4742
4755,55,4754
4756,12,4755
4757,13,4756
4758,13,4755
4759,13,4754
4760,65,4539
4761,7,4760
4762,12,4761
4763,14,4762
4764,12,4761
4765,14,4764
4766,12,4761
4767,14,4766
4768,14,4761
4769,52,4760
4770,55,4769
4771,55,4770
4772,12,4771
4773,13,4772
4774,13,4771
4775,13,4770
4776,12,4769
4777,13,4776
4778,53,4769
4779,12,4778
