node_id,class_name,parent_id
68076,100,-1
68077,65,68076
68078,12,68077
68079,14,68078
68080,6,68077
68081,0,68080
68082,0,68080
68083,13,68080
68084,74,68076
68085,75,68084
68086,74,68076
68087,75,68086
68088,74,68076
68089,75,68088
68090,95,68076
68091,12,68090
68092,13,68091
68093,17,68090
68094,0,68093
68095,87,68090
68096,89,68095
68097,90,68096
68098,90,68096
68099,17,68095
68100,0,68099
68101,65,68095
68102,12,68101
68103,14,68102
68104,52,68101
68105,55,68104
68106,55,68105
68107,12,68106
68108,13,68107
68109,13,68106
68110,13,68105
68111,55,68104
68112,52,68111
68113,55,68112
68114,12,68113
68115,13,68114
68116,13,68113
68117,13,68111
68118,65,68095
68119,55,68118
68120,55,68119
68121,12,68120
68122,13,68121
68123,13,68120
68124,14,68119
68125,52,68118
68126,55,68125
68127,55,68126
68128,55,68127
68129,12,68128
68130,13,68129
68131,13,68128
68132,13,68127
68133,13,68126
68134,55,68125
68135,12,68134
68136,13,68135
68137,13,68134
68138,65,68095
68139,7,68138
68140,12,68139
68141,14,68140
68142,12,68139
68143,14,68142
68144,12,68139
68145,14,68144
68146,12,68139
68147,14,68146
68148,14,68139
68149,52,68138
68150,55,68149
68151,12,68150
68152,13,68151
68153,13,68150
68154,53,68149
68155,12,68154
68156,13,68155
68157,53,68149
68158,0,68157
68159,53,68149
68160,0,68159
68161,65,68095
68162,12,68161
68163,14,68162
68164,7,68161
68165,16,68164
68166,52,68165
68167,12,68166
68168,13,68167
68169,12,68166
68170,13,68169
68171,13,68165
68172,16,68164
68173,52,68172
68174,12,68173
68175,13,68174
68176,12,68173
68177,13,68176
68178,13,68172
68179,13,68164
68180,65,68095
68181,12,68180
68182,14,68181
68183,52,68180
68184,55,68183
68185,55,68184
68186,12,68185
68187,13,68186
68188,13,68185
68189,13,68184
68190,12,68183
68191,13,68190
68192,91,68095
68193,7,68192
68194,12,68193
68195,13,68194
68196,56,68193
68197,12,68196
68198,13,68197
68199,57,68196
68200,0,68199
68201,13,68196
68202,56,68193
68203,12,68202
68204,13,68203
68205,57,68202
68206,0,68205
68207,13,68202
68208,13,68193
68209,87,68076
68210,89,68209
68211,90,68210
68212,90,68210
68213,90,68210
68214,90,68210
