node_id,class_name,parent_id
93325,100,-1
93326,65,93325
93327,12,93326
93328,14,93327
93329,6,93326
93330,0,93329
93331,0,93329
93332,0,93329
93333,0,93329
93334,0,93329
93335,0,93329
93336,0,93329
93337,0,93329
93338,0,93329
93339,0,93329
93340,0,93329
93341,0,93329
93342,0,93329
93343,0,93329
93344,0,93329
93345,0,93329
93346,0,93329
93347,0,93329
93348,0,93329
93349,0,93329
93350,0,93329
93351,0,93329
93352,0,93329
93353,0,93329
93354,0,93329
93355,0,93329
93356,0,93329
93357,0,93329
93358,0,93329
93359,13,93329
93360,74,93325
93361,75,93360
93362,74,93325
93363,75,93362
93364,74,93325
93365,75,93364
93366,65,93325
93367,12,93366
93368,14,93367
93369,7,93366
93370,6,93369
93371,0,93370
93372,0,93370
93373,0,93370
93374,13,93370
93375,6,93369
93376,0,93375
93377,0,93375
93378,0,93375
93379,13,93375
93380,13,93369
93381,65,93325
93382,12,93381
93383,14,93382
93384,7,93381
93385,6,93384
93386,0,93385
93387,0,93385
93388,0,93385
93389,13,93385
93390,6,93384
93391,0,93390
93392,0,93390
93393,0,93390
93394,13,93390
93395,13,93384
93396,65,93325
93397,12,93396
93398,14,93397
93399,7,93396
93400,6,93399
93401,0,93400
93402,13,93400
93403,6,93399
93404,0,93403
93405,13,93403
93406,13,93399
93407,76,93325
93408,19,93407
93409,22,93408
93410,52,93408
93411,12,93410
93412,13,93411
93413,12,93410
93414,13,93413
93415,0,93410
93416,65,93407
93417,12,93416
93418,14,93417
93419,55,93416
93420,55,93419
93421,55,93420
93422,12,93421
93423,13,93422
93424,13,93421
93425,13,93420
93426,13,93419
93427,87,93407
93428,89,93427
93429,90,93428
93430,55,93429
93431,12,93430
93432,13,93431
93433,13,93430
93434,91,93427
93435,52,93434
93436,12,93435
93437,13,93436
93438,52,93435
93439,12,93438
93440,13,93439
93441,12,93438
93442,13,93441
93443,52,93427
93444,12,93443
93445,13,93444
93446,53,93443
93447,0,93446
93448,65,93407
93449,55,93448
93450,12,93449
93451,13,93450
93452,14,93449
93453,0,93448
93454,87,93325
93455,89,93454
93456,90,93455
93457,55,93456
93458,12,93457
93459,13,93458
93460,13,93457
93461,91,93454
93462,24,93461
93463,56,93462
93464,55,93463
93465,12,93464
93466,13,93465
93467,13,93464
93468,57,93463
93469,0,93468
93470,13,93463
93471,27,93462
93472,56,93462
93473,55,93472
93474,12,93473
93475,13,93474
93476,13,93473
93477,57,93472
93478,0,93477
93479,13,93472
93480,52,93454
93481,12,93480
93482,13,93481
93483,53,93480
93484,0,93483
93485,87,93325
93486,89,93485
93487,90,93486
93488,55,93487
93489,12,93488
93490,13,93489
93491,13,93488
93492,91,93485
93493,7,93492
93494,56,93493
93495,55,93494
93496,12,93495
93497,13,93496
93498,13,93495
93499,57,93494
93500,0,93499
93501,13,93494
93502,56,93493
93503,55,93502
93504,12,93503
93505,13,93504
93506,13,93503
93507,57,93502
93508,0,93507
93509,13,93502
93510,13,93493
93511,52,93485
93512,12,93511
93513,13,93512
93514,53,93511
93515,0,93514
93516,87,93325
93517,89,93516
93518,90,93517
93519,55,93518
93520,12,93519
93521,13,93520
93522,13,93519
93523,91,93516
93524,24,93523
93525,56,93524
93526,55,93525
93527,12,93526
93528,13,93527
93529,13,93526
93530,57,93525
93531,0,93530
93532,13,93525
93533,28,93524
93534,56,93524
93535,55,93534
93536,12,93535
93537,13,93536
93538,13,93535
93539,57,93534
93540,0,93539
93541,13,93534
93542,52,93516
93543,12,93542
93544,13,93543
93545,53,93542
93546,0,93545
93547,87,93325
93548,89,93547
93549,90,93548
93550,55,93549
93551,12,93550
93552,13,93551
93553,13,93550
93554,90,93548
93555,90,93548
93556,90,93548
93557,0,93548
93558,17,93547
93559,0,93558
93560,91,93547
93561,52,93560
93562,55,93561
93563,12,93562
93564,13,93563
93565,13,93562
93566,7,93561
93567,12,93566
93568,13,93567
93569,12,93566
93570,13,93569
93571,13,93566
93572,53,93561
93573,12,93572
93574,13,93573
93575,12,93547
93576,13,93575
93577,87,93325
93578,89,93577
93579,90,93578
93580,55,93579
93581,12,93580
93582,13,93581
93583,13,93580
93584,90,93578
93585,0,93578
93586,17,93577
93587,0,93586
93588,65,93577
93589,12,93588
93590,14,93589
93591,52,93588
93592,55,93591
93593,12,93592
93594,13,93593
93595,13,93592
93596,17,93577
93597,52,93596
